Municipality,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Unreserved_Fund_Bal,Fund_Equity_Enterprise,Fund_Equity_Internal_Service,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,Moody's_Bond_Ratings_July_2001,area lmt,ACGLFY01,EGL,TANF01 Recipients,Empl,ACMR,Enrollmt,2001 Population
"WESTBROOK",2.0010000000000000e+03,1.5700000000000000e+02,1.5400000000000000e+02,"M",2167263.0000,12109576.0000,15563942.0000,8694313.0000,2530854.0000,15115099.0000,95453.0000,95453.0000,344463.0000,344463.0000,199833.0000,-696222.0000,199833.0000,,16900000.0000,16900000.0000,0.0000,500000.0000,2527609.0000,2527609.0000,,23809.0000,12022193.0000,11872810.0000,9.8757439678434711e-01,12316901.0000,12042526.0000,9.7772369851799568e-01,"A1",1.5710000000000001e+01,543695007.0000,938213393.0000,1.8000000000000000e+01,2.4763069397737696e-02,2.2000000000000000e+01,1.0640200000000000e+03,6390
"WESTON",2.0010000000000000e+03,1.5800000000000000e+02,1.5700000000000000e+02,"F",1977688.0000,35270522.0000,38885253.0000,28983264.0000,2187112.0000,38997248.0000,83568.0000,528539.0000,1699601.0000,1699601.0000,-1728028.0000,-2594425.0000,-1283057.0000,,14842912.0000,14842912.0000,38211.0000,0.0000,3803426.0000,3765215.0000,244555.0000,-9772.0000,35490546.0000,35067920.0000,9.8809187100136475e-01,35816613.0000,35263454.0000,9.8455579817108896e-01,"Aaa",1.9789999999999999e+01,1671890936.0000,2389624551.0000,5.0000000000000000e+00,1.8636084374360026e-02,2.1230000000000000e+01,2.3759200000000001e+03,10199
"WESTPORT",2.0010000000000000e+03,1.5900000000000000e+02,1.5800000000000000e+02,"F",2311798.0000,86392627.0000,104345881.0000,62878557.0000,9149483.0000,107694328.0000,875802.0000,875802.0000,2659319.0000,2659319.0000,-5131964.0000,-612411.0000,-5131964.0000,,104780000.0000,104780000.0000,2853374.0000,4500000.0000,18885332.0000,16031958.0000,,3095178.0000,86337790.0000,85252750.0000,9.8743261786061465e-01,90500426.0000,86504822.0000,9.5584988738064058e-01,"Aaa",2.0000000000000000e+01,5428456604.0000,7758037456.0000,1.9000000000000000e+01,1.9795833908125258e-02,1.5900000000000000e+01,4.7842600000000002e+03,26514
"WETHERSFIELD",2.0010000000000000e+03,1.6000000000000000e+02,1.5900000000000000e+02,"H",5998393.0000,43997674.0000,51704003.0000,30611469.0000,1613588.0000,49992354.0000,1426.0000,1426.0000,2597486.0000,2597486.0000,-884411.0000,-779023.0000,-884411.0000,,11887969.0000,11887969.0000,333534.0000,925000.0000,4166586.0000,3833052.0000,,215151.0000,43888573.0000,43365577.0000,9.8808354967476386e-01,44701141.0000,43773141.0000,9.7923990351834644e-01,"Aa3",1.2390000000000001e+01,1424141865.0000,2043398264.0000,9.6000000000000000e+01,2.4709420466552872e-02,3.0810000000000002e+01,3.4852200000000003e+03,26262
"WILLINGTON",2.0010000000000000e+03,1.6100000000000000e+02,1.6000000000000000e+02,"T",4056236.0000,7158444.0000,11612803.0000,8661242.0000,501373.0000,11405865.0000,0.0000,0.0000,296186.0000,296186.0000,-89248.0000,134778.0000,-89248.0000,7071028.6017,2175000.0000,9246028.6017,32777.0000,375000.0000,1190748.0000,1157971.0000,,,7116435.0000,7082949.0000,9.9529455408501588e-01,7185243.0000,7127683.0000,9.9198913662349342e-01,"A2",3.3250000000000000e+01,274734190.0000,394262843.0000,1.7000000000000000e+01,2.0355504587155963e-02,2.5699999999999999e+01,9.0449000000000001e+02,6071
"WILTON",2.0010000000000000e+03,1.6200000000000000e+02,1.6100000000000000e+02,"F",5024765.0000,54322826.0000,63524347.0000,38738923.0000,7580209.0000,63658563.0000,0.0000,0.0000,105000.0000,105000.0000,-239216.0000,422729.0000,-239216.0000,,80427020.0000,80427020.0000,698983.0000,2697325.0000,5556532.0000,4857549.0000,9942206.0000,-437769.0000,54021354.0000,53627909.0000,9.9271686155811645e-01,54764645.0000,54005732.0000,9.8614228212380450e-01,"Aaa",2.6949999999999999e+01,2069416000.0000,4372391660.0000,1.2000000000000000e+01,1.8948056190787325e-02,2.5910000000000000e+01,3.9357200000000003e+03,17999
"WINCHESTER",2.0010000000000000e+03,1.6300000000000000e+02,1.6200000000000000e+02,"L",8987748.0000,14730409.0000,24353274.0000,15086605.0000,672054.0000,23931227.0000,0.0000,25629.0000,205951.0000,205951.0000,216096.0000,-143936.0000,241725.0000,,3408029.0000,3408029.0000,794806.0000,0.0000,1761259.0000,966453.0000,25608229.0000,,14299040.0000,13769298.0000,9.6295261779811792e-01,15413656.0000,14459894.0000,9.3812227287283434e-01,"A1",3.2270000000000003e+01,434476701.0000,626095978.0000,1.4100000000000000e+02,4.1449031171019377e-02,3.3170000000000002e+01,1.5512800000000000e+03,11140
"WINDHAM",2.0010000000000000e+03,1.6400000000000000e+02,1.6300000000000000e+02,"W",29443974.0000,18526079.0000,52869783.0000,33112131.0000,3683165.0000,50645714.0000,324739.0000,767169.0000,349256.0000,349256.0000,2199552.0000,388788.0000,2641982.0000,,26132949.0000,26132949.0000,267527.0000,250000.0000,6867319.0000,6599792.0000,341986.0000,,18093543.0000,17511492.0000,9.6783101021176454e-01,19391680.0000,18167474.0000,9.3686952342447893e-01,"A2",2.7050000000000001e+01,549289627.0000,804201204.0000,8.9000000000000000e+02,4.2880973407908939e-02,2.6340000000000000e+01,3.4862400000000002e+03,23010
"WINDSOR",2.0010000000000000e+03,1.6500000000000000e+02,1.6400000000000000e+02,"H",12461117.0000,49514476.0000,66627331.0000,42316696.0000,3994619.0000,59598266.0000,0.0000,0.0000,7062409.0000,7062409.0000,-33344.0000,-446354.0000,-33344.0000,,42415000.0000,42415000.0000,300290.0000,448895.0000,6441749.0000,6141459.0000,-19666465.0000,4877166.0000,49311069.0000,48683768.0000,9.8727869801403012e-01,49996837.0000,49065673.0000,9.8137554181677533e-01,"Aa2",2.9629999999999999e+01,1650906160.0000,2419305071.0000,2.2700000000000000e+02,2.9761092150170650e-02,2.9699999999999999e+01,4.7038400000000001e+03,27731
"WINDSOR LOCKS",2.0010000000000000e+03,1.6600000000000000e+02,1.6500000000000000e+02,"H",10237291.0000,19793522.0000,31486688.0000,17238293.0000,2428950.0000,27089195.0000,550829.0000,550829.0000,2597905.0000,2597905.0000,2350417.0000,599299.0000,2350417.0000,,20850000.0000,20850000.0000,0.0000,790000.0000,5177145.0000,5177145.0000,,396915.0000,19788959.0000,19388799.0000,9.7977862301902796e-01,20669908.0000,19661320.0000,9.5120500778232786e-01,"Aa2",9.0299999999999994e+00,881439234.0000,1323941720.0000,1.0000000000000000e+02,3.0276046304541407e-02,2.1210000000000001e+01,2.1048400000000001e+03,11919
"WOLCOTT",2.0010000000000000e+03,1.6700000000000000e+02,1.6600000000000000e+02,"NH",13656292.0000,20861282.0000,37284436.0000,24271622.0000,3270044.0000,36847377.0000,637864.0000,637864.0000,387392.0000,387392.0000,687531.0000,354447.0000,687531.0000,,30095897.0000,30095897.0000,0.0000,300000.0000,1678578.0000,1678578.0000,,59101.0000,20723921.0000,20200216.0000,9.7472944429772723e-01,22160125.0000,20672491.0000,9.3286888047788541e-01,"A3",2.0430000000000000e+01,690251202.0000,1065655157.0000,5.7000000000000000e+01,3.0999771219400594e-02,2.9680000000000000e+01,3.0279600000000000e+03,15703
"WOODBRIDGE",2.0010000000000000e+03,1.6800000000000000e+02,1.6700000000000000e+02,"NH",1434441.0000,25311693.0000,27890514.0000,17160956.0000,1871650.0000,27476336.0000,346755.0000,7191845.0000,1368350.0000,8111478.0000,-607417.0000,-242291.0000,-505455.0000,7923300.0000,20341669.0000,28264969.0000,349069.0000,600000.0000,3173611.0000,2824542.0000,,,24877568.0000,24684323.0000,9.9223215870618864e-01,25082421.0000,24823638.0000,9.8968269450544666e-01,"Aa1",1.8830000000000002e+01,784351380.0000,1267242519.0000,1.2000000000000000e+01,1.6070620190131280e-02,3.1590000000000000e+01,1.7769000000000001e+03,9060
"WOODBURY",2.0010000000000000e+03,1.6900000000000000e+02,1.6800000000000000e+02,"L",1244176.0000,16145619.0000,18242087.0000,12400593.0000,51870.0000,18515246.0000,0.0000,0.0000,73970.0000,73970.0000,-347129.0000,-292805.0000,-347129.0000,10505527.1360,0.0000,10505527.1360,492251.0000,10000.0000,1894755.0000,1402504.0000,,,15964849.0000,15659357.0000,9.8086471096594774e-01,16768031.0000,15943304.0000,9.5081551316311375e-01,,3.6460000000000001e+01,660965070.0000,947177347.0000,9.0000000000000000e+00,2.4722600739731360e-02,2.3900000000000002e+01,1.4773700000000001e+03,9348
"WOODSTOCK",2.0010000000000000e+03,1.7000000000000000e+02,1.6900000000000000e+02,"W",5573665.0000,8674049.0000,14982352.0000,10886328.0000,1296176.0000,14686876.0000,142.0000,142.0000,263485.0000,263485.0000,32133.0000,228399.0000,32133.0000,,11388097.0000,11388097.0000,29687.0000,654532.0000,3083227.0000,3053540.0000,,149408.0000,8552557.0000,8319196.0000,9.7271447591638383e-01,9086227.0000,8542148.0000,9.4012047024579071e-01,"A2",6.0530000000000001e+01,328855562.0000,547726487.0000,1.6000000000000000e+01,2.8182941903584672e-02,2.5699999999999999e+01,1.3160000000000000e+03,7304
