Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2013 Population,Moody's_Bond_Ratings_July_2013,area lmt,ACGLFY13,EGL,TANF13 Recipients,empl,ACMR,enrollmt
"NORTH STONINGTON","JG",2.0130000000000000e+03,1.0300000000000000e+02,1.0200000000000000e+02,"NL",10295125.0000,1575950.0000,12118814.0000,1730717.0000,55126.0000,41533.0000,0.0000,199830.0000,792133.0000,495644.0000,695474.0000,"N",7005458.0000,12652316.0000,20104955.0000,13413630.0000,3518749.0000,19440204.0000,999615.0000,999615.0000,1916708.0000,1916708.0000,-252342.0000,-841708.0000,-252342.0000,0.0000,"N","N",,540000.0000,540000.0000,12488651.0000,12226257.0000,9.7898940405973389e-01,12977464.0000,12485005.0000,9.6205275545360791e-01,5.2910000000000000e+03,"A1",5.4299999999999997e+01,525171170.0000,750776095.7100,1.0000000000000000e+01,7.0665287831782150e-02,2.5250000000000000e+01,7.8099000000000001e+02
"NORWALK","JG",2.0130000000000000e+03,1.0400000000000000e+02,1.0300000000000000e+02,"F",284791646.0000,6516126.0000,291660504.0000,12708737.0000,1615.0000,0.0000,0.0000,3681569.0000,33434052.0000,29750868.0000,33432437.0000,"N",38613793.0000,267975776.0000,318941728.0000,174748185.0000,26041998.0000,316805003.0000,0.0000,18010326.0000,0.0000,17859449.0000,2136725.0000,571963.0000,2287602.0000,0.0000,"N","Y",,215950691.0000,215950691.0000,270616024.0000,266442259.0000,9.8457680022673011e-01,274034412.0000,267515149.0000,9.7621005715150844e-01,8.7776000000000000e+04,"Aaa",2.2809999999999999e+01,12808832698.0000,16560812571.4800,4.0900000000000000e+02,6.3829787234042548e-02,2.1331000000000000e+01,1.1240670000000000e+04
"NORWICH","JG",2.0130000000000000e+03,1.0500000000000000e+02,1.0400000000000000e+02,"NL",95200000.0000,7582000.0000,104319000.0000,-3542000.0000,0.0000,0.0000,0.0000,920000.0000,11195000.0000,10275000.0000,11195000.0000,"N",43580000.0000,64821000.0000,112150000.0000,75394000.0000,5164000.0000,116624000.0000,7690000.0000,7690000.0000,2656000.0000,2656000.0000,560000.0000,-192000.0000,560000.0000,0.0000,"Y","Y",,33757000.0000,33757000.0000,64618000.0000,62361000.0000,9.6507165186171040e-01,67823000.0000,63598000.0000,9.3770549813485105e-01,4.0347000000000000e+04,"Aa2",2.8329999999999998e+01,2432705109.0000,2919737141.6300,8.4600000000000000e+02,9.4961802533604103e-02,2.6899999999999999e+01,5.4128699999999999e+03
"OLD LYME","MR",2.0130000000000000e+03,1.0600000000000000e+02,1.0500000000000000e+02,"NL",14663770.0000,7070073.0000,21733843.0000,1732053.0000,147304.0000,0.0000,365109.0000,0.0000,5791453.0000,5279040.0000,5644149.0000,"N",1206956.0000,31007655.0000,33184285.0000,24293158.0000,501643.0000,32446939.0000,10519.0000,10519.0000,195000.0000,195000.0000,552865.0000,705390.0000,552865.0000,0.0000,"N","N",30677762.1866,3610000.0000,34287762.1866,30856122.0000,30415824.0000,9.8573061125438899e-01,31589080.0000,30736642.0000,9.7301478865481361e-01,7.5920000000000000e+03,,2.3100000000000001e+01,1602010270.0000,2132599268.9900,1.4000000000000000e+01,6.0524906266738079e-02,1.9260000000000002e+01,1.1666300000000001e+03
"OLD SAYBROOK","JG",2.0130000000000000e+03,1.0700000000000000e+02,1.0600000000000000e+02,"M",73450395.0000,2987774.0000,76610594.0000,-318541.0000,0.0000,0.0000,0.0000,0.0000,3376384.0000,3376384.0000,3376384.0000,"N",3651327.0000,36383563.0000,41005271.0000,24745084.0000,2449919.0000,39840561.0000,0.0000,426776.0000,783000.0000,783000.0000,381710.0000,-100788.0000,808486.0000,0.0000,"N","N",,19040000.0000,19040000.0000,36228621.0000,35986561.0000,9.9331854226524385e-01,36558981.0000,36146745.0000,9.8872408396722000e-01,1.0246000000000000e+04,"Aa2",1.5039999999999999e+01,2481098808.0000,2806949497.1600,1.3000000000000000e+01,6.2862862862862856e-02,1.4619999999999999e+01,1.4766600000000001e+03
"ORANGE","JG",2.0130000000000000e+03,1.0800000000000000e+02,1.0700000000000000e+02,"NH",22882969.0000,11773899.0000,34697741.0000,3802253.0000,13400.0000,0.0000,0.0000,824543.0000,9445690.0000,8607747.0000,9432290.0000,"N",5026798.0000,56152014.0000,62872471.0000,40376009.0000,2448415.0000,60756347.0000,112000.0000,112000.0000,0.0000,0.0000,2228124.0000,203060.0000,2228124.0000,0.0000,"N","N",21671522.0683,18323580.0000,39995102.0683,55824616.0000,55421387.0000,9.9277686030119761e-01,56365321.0000,55847197.0000,9.9080775216378170e-01,1.3953000000000000e+04,"Aa1",1.7190000000000001e+01,1781125417.0000,2124005571.2500,1.2000000000000000e+01,5.7240011334655713e-02,3.1199999999999999e+01,2.4382199999999998e+03
"OXFORD","BP",2.0130000000000000e+03,1.0900000000000000e+02,1.0800000000000000e+02,"NH",62767865.0000,7478272.0000,70256547.0000,1870602.0000,0.0000,0.0000,0.0000,500000.0000,6127712.0000,5627712.0000,6127712.0000,"N",8797397.0000,33941529.0000,44190396.0000,28790894.0000,2891863.0000,41671347.0000,0.0000,0.0000,1119000.0000,1119000.0000,1400049.0000,1259963.0000,1400049.0000,0.0000,"N","N",,26804955.0000,26804955.0000,33952365.0000,33320400.0000,9.8138671635981767e-01,37833877.0000,33686013.0000,8.9036640363344211e-01,1.2874000000000000e+04,"Aa2",3.2890000000000001e+01,1402989404.0000,1971212881.3900,1.5000000000000000e+01,6.0501792114695342e-02,2.4100000000000001e+01,2.1486399999999999e+03
"PLAINFIELD","JG",2.0130000000000000e+03,1.1000000000000000e+02,1.0900000000000000e+02,"W",61457019.0000,1425473.0000,63148236.0000,7364.0000,53943.0000,0.0000,0.0000,200000.0000,6834190.0000,6580247.0000,6780247.0000,"N",22456817.0000,22460749.0000,47189996.0000,36236087.0000,1907444.0000,46602904.0000,0.0000,0.0000,15583.0000,15583.0000,571509.0000,1463790.0000,571509.0000,0.0000,"N","N",,12839078.0000,12839078.0000,22289566.0000,21624701.0000,9.7017146946692456e-01,23635969.0000,22177571.0000,9.3829751595967992e-01,1.5228000000000000e+04,"Aa3",4.2259999999999998e+01,1034874050.0000,1139986602.9500,1.6800000000000000e+02,9.6028037383177570e-02,2.1520000000000000e+01,2.3936300000000001e+03
"PLAINVILLE","JG",2.0130000000000000e+03,1.1100000000000000e+02,1.1000000000000000e+02,"H",83664396.0000,11675814.0000,96424997.0000,4424393.0000,6369.0000,0.0000,171666.0000,757006.0000,6798329.0000,5863288.0000,6791960.0000,"N",15895074.0000,41481988.0000,58926610.0000,36498345.0000,6004097.0000,55833221.0000,1757683.0000,1757683.0000,2154648.0000,2154648.0000,2696424.0000,505127.0000,2696424.0000,0.0000,"N","Y",,56866695.0000,56866695.0000,41281930.0000,40284279.0000,9.7583322775848902e-01,43425289.0000,40933051.0000,9.4260860301931437e-01,1.7820000000000000e+04,"Aa3",9.7599999999999998e+00,1336143552.0000,1911842160.0000,1.0300000000000000e+02,7.5138336083875351e-02,3.0890000000000001e+01,2.4007300000000000e+03
"PLYMOUTH","JG",2.0130000000000000e+03,1.1200000000000000e+02,1.1100000000000000e+02,"L",157424652.0000,16853737.0000,175639214.0000,1347072.0000,0.0000,0.0000,0.0000,1423169.0000,3586778.0000,2163609.0000,3586778.0000,"N",13523084.0000,26663027.0000,40810009.0000,25466681.0000,1785177.0000,39027138.0000,350000.0000,350000.0000,1938414.0000,1938414.0000,194457.0000,163078.0000,194457.0000,0.0000,"N","N",,23850000.0000,23850000.0000,26362764.0000,25390107.0000,9.6310489294673352e-01,29050977.0000,26183326.0000,9.0128899967804865e-01,1.2047000000000000e+04,"Aa3",2.1719999999999999e+01,756780585.0000,1081692950.0000,7.0000000000000000e+01,9.0570534783256371e-02,3.4899999999999999e+01,1.7974600000000000e+03
"POMFRET","JG",2.0130000000000000e+03,1.1300000000000000e+02,1.1200000000000000e+02,"W",11448197.0000,1638719.0000,14032649.0000,-53865.0000,0.0000,0.0000,0.0000,366177.0000,1218181.0000,852004.0000,1218181.0000,"N",4579093.0000,8265535.0000,13019591.0000,10583518.0000,429510.0000,12079037.0000,20037.0000,20037.0000,706100.0000,706100.0000,254491.0000,86793.0000,254491.0000,0.0000,"N","N",,4712000.0000,4712000.0000,8204203.0000,8061838.0000,9.8264730894640218e-01,8412904.0000,8184706.0000,9.7287524022620486e-01,4.1980000000000000e+03,,4.0289999999999999e+01,357238604.0000,454037339.1000,9.0000000000000000e+00,5.7452123230641132e-02,2.2980000000000000e+01,6.7902999999999997e+02
"PORTLAND","MR",2.0130000000000000e+03,1.1400000000000000e+02,1.1300000000000000e+02,"M",59008770.0000,6197212.0000,65672234.0000,753630.0000,0.0000,0.0000,107321.0000,504569.0000,5660128.0000,5048238.0000,5660128.0000,"N",6777356.0000,24748282.0000,32474671.0000,20216816.0000,2637759.0000,30640365.0000,36995.0000,253232.0000,1180446.0000,1180446.0000,690855.0000,841708.0000,907092.0000,0.0000,"N","N",,17931472.0000,17931472.0000,24508177.0000,24153209.0000,9.8551634419810175e-01,25113222.0000,24511885.0000,9.7605496419376214e-01,9.4560000000000000e+03,"Aa3",2.3399999999999999e+01,796696045.0000,1138755292.8599,3.7000000000000000e+01,6.1682242990654203e-02,3.0730000000000000e+01,1.4276900000000001e+03
"PRESTON","JG",2.0130000000000000e+03,1.1500000000000000e+02,1.1400000000000000e+02,"NL",11407896.0000,5254467.0000,17112595.0000,1625141.0000,30701.0000,824.0000,0.0000,892072.0000,3117091.0000,2193494.0000,3085566.0000,"N",5631824.0000,8941779.0000,15862316.0000,11017203.0000,799938.0000,14884066.0000,0.0000,0.0000,423520.0000,423520.0000,554730.0000,756627.0000,554730.0000,0.0000,"N","N",,4828000.0000,4828000.0000,8889980.0000,8737571.0000,9.8285609191471746e-01,9121125.0000,8922183.0000,9.7818887472762406e-01,4.7550000000000000e+03,,3.0890000000000001e+01,456396638.0000,550789647.9200,1.8000000000000000e+01,7.7745783628136569e-02,1.9430000000000000e+01,6.0867999999999995e+02
"PROSPECT","MR",2.0130000000000000e+03,1.1600000000000000e+02,1.1500000000000000e+02,"NH",15479875.0000,1252050.0000,16966114.0000,397462.0000,0.0000,0.0000,0.0000,0.0000,757332.0000,757332.0000,757332.0000,"N",5999797.0000,21841375.0000,28263522.0000,20746911.0000,544885.0000,28080535.0000,175376.0000,273698.0000,17340.0000,17340.0000,341023.0000,-184527.0000,439345.0000,0.0000,"N","N",13747709.9162,1839062.0000,15586771.9162,21675928.0000,21446315.0000,9.8940700485810806e-01,22122949.0000,21668085.0000,9.7943926914987689e-01,9.6710000000000000e+03,"A1",1.4320000000000000e+01,783893087.0000,1121080438.5700,1.8000000000000000e+01,5.9149722735674676e-02,2.7579999999999998e+01,1.4738399999999999e+03
"PUTNAM","MR",2.0130000000000000e+03,1.1700000000000000e+02,1.1600000000000000e+02,"W",25214433.0000,6081639.0000,32023934.0000,57258.0000,0.0000,0.0000,91253.0000,0.0000,3485788.0000,3394535.0000,3485788.0000,"N",11313912.0000,9462249.0000,24142205.0000,18493953.0000,0.0000,23159694.0000,0.0000,0.0000,333263.0000,333263.0000,649248.0000,764504.0000,649248.0000,0.0000,"N","N",,0.0000,0.0000,9382379.0000,9137201.0000,9.7386824812768702e-01,9944943.0000,9320505.0000,9.3721049984901872e-01,9.4650000000000000e+03,,2.0289999999999999e+01,626596465.0000,730010176.1799,1.2800000000000000e+02,9.4382960952182085e-02,1.4940000000000000e+01,1.2218900000000001e+03
"REDDING","MR",2.0130000000000000e+03,1.1800000000000000e+02,1.1700000000000000e+02,"F",34773827.0000,10949394.0000,45723221.0000,1478245.0000,1720.0000,0.0000,208822.0000,180519.0000,6940679.0000,6549618.0000,6938959.0000,"Y",3546997.0000,45701489.0000,50528657.0000,35982664.0000,2265134.0000,48946331.0000,0.0000,2870469.0000,104856.0000,2885815.0000,1477470.0000,308493.0000,1566980.0000,0.0000,"N","N",9416290.3649,18145519.0000,27561809.3649,45072306.0000,44324390.0000,9.8340630719005151e-01,47331033.0000,45232344.0000,9.5565934510662376e-01,9.3120000000000000e+03,"Aa1",3.1500000000000000e+01,1994881936.0000,2284785226.6000,2.0000000000000000e+00,5.8556513844757151e-02,2.3280000000000001e+01,1.6625100000000000e+03
"RIDGEFIELD","JG",2.0130000000000000e+03,1.1900000000000000e+02,1.1800000000000000e+02,"F",92535842.0000,22188988.0000,114766512.0000,6365177.0000,0.0000,0.0000,0.0000,2941188.0000,14651084.0000,11709896.0000,14651084.0000,"N",13105503.0000,113464133.0000,134883793.0000,90046458.0000,13439259.0000,134882642.0000,111555.0000,111555.0000,1084883.0000,1084883.0000,-972177.0000,5348596.0000,-972177.0000,0.0000,"N","N",,90661364.0000,90661364.0000,112820333.0000,111152638.0000,9.8521813439426742e-01,117645310.0000,112683098.0000,9.5782057100278795e-01,2.5164000000000000e+04,"Aaa",3.4430000000000000e+01,5602283978.0000,6861675339.8100,3.0000000000000000e+00,5.5110651855678983e-02,2.0370000000000001e+01,5.2873000000000002e+03
"ROCKY HILL","JG",2.0130000000000000e+03,1.2000000000000000e+02,1.1900000000000000e+02,"H",32976165.0000,-940846.0000,32085721.0000,-311029.0000,0.0000,0.0000,0.0000,1198823.0000,5870683.0000,4671860.0000,5870683.0000,"N",9052449.0000,56453949.0000,67892323.0000,33885126.0000,2235379.0000,65778294.0000,0.0000,7779757.0000,648828.0000,8324556.0000,1465201.0000,53078.0000,1569230.0000,0.0000,"N","N",,13332512.0000,13332512.0000,56093759.0000,55561652.0000,9.9051397143842690e-01,56952846.0000,56113290.0000,9.8525875247744421e-01,1.9915000000000000e+04,"Aa2",1.3449999999999999e+01,2156334725.0000,2741368612.6600,2.9000000000000000e+01,5.7202053869020809e-02,2.5899999999999999e+01,2.5996599999999999e+03
"ROXBURY","JG",2.0130000000000000e+03,1.2100000000000000e+02,1.2000000000000000e+02,"L",11233192.0000,3323453.0000,15991675.0000,-237557.0000,0.0000,0.0000,93357.0000,195422.0000,1831467.0000,1542688.0000,1831467.0000,"N",263073.0000,9199825.0000,9875796.0000,6658466.0000,95531.0000,9324683.0000,0.0000,0.0000,306118.0000,306118.0000,244995.0000,-29919.0000,244995.0000,0.0000,"N","N",965380.0266,0.0000,965380.0266,9129764.0000,9068454.0000,9.9328460188018008e-01,9260831.0000,9153074.0000,9.8836421915052763e-01,2.2290000000000000e+03,,2.6219999999999999e+01,756359718.0000,936257043.4000,0.0000000000000000e+00,5.1459293394777263e-02,1.2100000000000000e+01,2.6910000000000002e+02
"SALEM","JG",2.0130000000000000e+03,1.2200000000000000e+02,1.2100000000000000e+02,"NL",12684639.0000,1893522.0000,17610044.0000,-25779.0000,0.0000,31664.0000,0.0000,0.0000,1286341.0000,1254677.0000,1254677.0000,"N",4367583.0000,10829411.0000,15472354.0000,11116008.0000,347655.0000,14346294.0000,90312.0000,90312.0000,1343730.0000,1343730.0000,-127358.0000,64657.0000,-127358.0000,0.0000,"N","N",,4128816.0000,4128816.0000,10643547.0000,10416770.0000,9.7869347502294113e-01,11047549.0000,10697378.0000,9.6830328609540450e-01,4.2010000000000000e+03,"A1",2.8949999999999999e+01,358888125.0000,512891607.1400,1.5000000000000000e+01,7.3639774859287049e-02,2.9600000000000001e+01,6.9910000000000002e+02
"SALISBURY","MR",2.0130000000000000e+03,1.2300000000000000e+02,1.2200000000000000e+02,"L",13468177.0000,4646370.0000,21297242.0000,583781.0000,0.0000,42674.0000,39963.0000,570520.0000,1867340.0000,1214183.0000,1824666.0000,"N",1044352.0000,11792720.0000,13492129.0000,8054951.0000,591527.0000,12028880.0000,15624.0000,15624.0000,1393090.0000,1393090.0000,85783.0000,154971.0000,85783.0000,0.0000,"N","N",1104076.4651,3394242.0000,4498318.4651,11717501.0000,11645157.0000,9.9382598729882765e-01,11883635.0000,11725620.0000,9.8670314259904479e-01,3.6930000000000000e+03,,5.7320000000000000e+01,1148319453.0000,1561736122.5400,2.0000000000000000e+00,4.8515981735159815e-02,1.0199999999999999e+01,3.8489999999999998e+02
"SCOTLAND","JG",2.0130000000000000e+03,1.2400000000000000e+02,1.2300000000000000e+02,"W",11550794.0000,1090631.0000,12832762.0000,119499.0000,0.0000,0.0000,0.0000,0.0000,833304.0000,833304.0000,833304.0000,"Y",1918623.0000,3957220.0000,5949974.0000,4513899.0000,381078.0000,5778285.0000,5379.0000,5379.0000,46219.0000,46219.0000,130849.0000,-54996.0000,130849.0000,0.0000,"N","N",0.0000,3195000.0000,3195000.0000,3905709.0000,3797579.0000,9.7231488572241298e-01,4091843.0000,3901573.0000,9.5350017094986295e-01,1.6990000000000000e+03,"A1",1.8609999999999999e+01,129257750.0000,151122286.8300,9.0000000000000000e+00,4.5851528384279479e-02,3.0070000000000000e+01,2.1180000000000001e+02
"SEYMOUR","JG",2.0130000000000000e+03,1.2500000000000000e+02,1.2400000000000000e+02,"NH",55775355.0000,2453530.0000,58229885.0000,3926117.0000,0.0000,0.0000,0.0000,951965.0000,5343919.0000,4391954.0000,5343919.0000,"N",14495662.0000,39820165.0000,55528100.0000,33091150.0000,4676033.0000,54186926.0000,0.0000,208308.0000,617593.0000,617593.0000,723581.0000,832224.0000,931889.0000,0.0000,"N","N",,37669689.0000,37669689.0000,39327332.0000,38543280.0000,9.8006343272917673e-01,40974729.0000,39242932.0000,9.5773499807649731e-01,1.6571000000000000e+04,"Aa3",1.4570000000000000e+01,1195045790.0000,1710743807.1400,6.7000000000000000e+01,7.8497148607849718e-02,3.2829999999999998e+01,2.4067600000000002e+03
"SHARON","JG",2.0130000000000000e+03,1.2600000000000000e+02,1.2500000000000000e+02,"L",4754894.0000,5127950.0000,9882844.0000,1235530.0000,0.0000,0.0000,192229.0000,0.0000,2949627.0000,2757398.0000,2949627.0000,"N",609850.0000,9579925.0000,10526550.0000,6450506.0000,311744.0000,9473850.0000,190146.0000,190146.0000,212280.0000,212280.0000,1030566.0000,491497.0000,1030566.0000,0.0000,"N","N",1026141.2183,7750543.0000,8776684.2183,9645672.0000,9374031.0000,9.7183804301037813e-01,10162396.0000,9487876.0000,9.3362588901278798e-01,2.7430000000000000e+03,"Aa2",5.8700000000000003e+01,847351980.0000,986489880.7600,8.0000000000000000e+00,5.3035589672016749e-02,1.1350000000000000e+01,2.4100000000000000e+02
"SHELTON","JG",2.0130000000000000e+03,1.2700000000000000e+02,1.2600000000000000e+02,"F",155507611.0000,-22737.0000,155796721.0000,8803128.0000,63293.0000,0.0000,4874188.0000,212000.0000,17018404.0000,11868923.0000,16955111.0000,"N",14302128.0000,101470466.0000,119137983.0000,70066838.0000,11963674.0000,116942467.0000,225000.0000,2038877.0000,1151019.0000,1151019.0000,1269497.0000,1586559.0000,3083374.0000,0.0000,"N","Y",,56958536.0000,56958536.0000,100574316.0000,99396719.0000,9.8829127508060810e-01,102891488.0000,100378210.0000,9.7557350905450990e-01,4.0999000000000000e+04,"Aa2",3.0570000000000000e+01,4473838501.0000,6393817344.2900,1.3100000000000000e+02,7.1556844868075703e-02,2.2399999999999999e+01,5.2468699999999999e+03
"SHERMAN","JG",2.0130000000000000e+03,1.2800000000000000e+02,1.2700000000000000e+02,"F",11512168.0000,1971414.0000,13494332.0000,-34439.0000,131.0000,10750.0000,0.0000,0.0000,1193244.0000,1182363.0000,1182363.0000,"N",1168586.0000,12249304.0000,13884544.0000,9169574.0000,1237645.0000,13351911.0000,0.0000,0.0000,215049.0000,215049.0000,317584.0000,-605919.0000,317584.0000,0.0000,"N","N",,11750000.0000,11750000.0000,12201952.0000,12113751.0000,9.9277156638544395e-01,12323339.0000,12202760.0000,9.9021539535672920e-01,3.6700000000000000e+03,"Aa2",2.1800000000000001e+01,755549608.0000,901271767.1400,1.0000000000000000e+00,5.9395248380129592e-02,1.6100000000000001e+01,5.7290999999999997e+02
"SIMSBURY","JG",2.0130000000000000e+03,1.2900000000000000e+02,1.2800000000000000e+02,"H",93069141.0000,36628027.0000,129697168.0000,7604952.0000,19665.0000,365516.0000,400120.0000,374590.0000,12000578.0000,10840687.0000,11615397.0000,"N",13789313.0000,81850788.0000,97137998.0000,70434246.0000,7137682.0000,94110370.0000,253545.0000,253545.0000,1877103.0000,1877103.0000,1404070.0000,339882.0000,1404070.0000,0.0000,"N","N",,45062527.0000,45062527.0000,81566288.0000,81089642.0000,9.9415633576459916e-01,82322138.0000,81553226.0000,9.9065971780276163e-01,2.3824000000000000e+04,"Aaa",3.3880000000000003e+01,2599467918.0000,3505330153.7199,2.1000000000000000e+01,5.0363738108561838e-02,3.1370000000000001e+01,4.5999600000000000e+03
"SOMERS","JG",2.0130000000000000e+03,1.3000000000000000e+02,1.2900000000000000e+02,"T",39917453.0000,5666268.0000,46136011.0000,1519732.0000,74786.0000,0.0000,900737.0000,246729.0000,6100866.0000,4878614.0000,6026080.0000,"N",12300540.0000,19088274.0000,32441434.0000,22526248.0000,2188458.0000,31132524.0000,175000.0000,8247953.0000,695579.0000,8570745.0000,788331.0000,617389.0000,986118.0000,0.0000,"N","N",,12964196.0000,12964196.0000,18591286.0000,18369471.0000,9.8806887269659560e-01,18886598.0000,18484095.0000,9.7868843293005969e-01,1.1320000000000000e+04,"Aa2",2.8340000000000000e+01,830716205.0000,1169982972.1099,2.2000000000000000e+01,6.3931487751443930e-02,2.3120000000000001e+01,1.5694300000000001e+03
"SOUTH WINDSOR","JG",2.0130000000000000e+03,1.3100000000000000e+02,1.3200000000000000e+02,"H",117808001.0000,15450828.0000,133258829.0000,-2491418.0000,17508.0000,0.0000,0.0000,1616470.0000,6676726.0000,5042748.0000,6659218.0000,"N",21232260.0000,81674471.0000,104583233.0000,71405984.0000,4418905.0000,102134606.0000,63367.0000,63367.0000,888605.0000,888605.0000,1623389.0000,-1323787.0000,1623389.0000,0.0000,"N","N",,59328865.0000,59328865.0000,81652659.0000,80566157.0000,9.8669361153321411e-01,84620133.0000,81317204.0000,9.6096757493869689e-01,2.5846000000000000e+04,"Aa2",2.7960000000000001e+01,2771257781.0000,3386291507.2199,4.3000000000000000e+01,5.8092802338326636e-02,2.9430000000000000e+01,4.4250600000000004e+03
"SOUTHBURY","JG",2.0130000000000000e+03,1.3200000000000000e+02,1.3000000000000000e+02,"NH",76196565.0000,20340367.0000,96536932.0000,2824423.0000,20420.0000,0.0000,280000.0000,6117464.0000,8416198.0000,1998314.0000,8395778.0000,"N",3816018.0000,55006508.0000,60227211.0000,40999183.0000,1506186.0000,56260975.0000,80000.0000,3332933.0000,3304095.0000,6473123.0000,742141.0000,1300082.0000,826046.0000,0.0000,"N","N",13925069.4991,9572818.0000,23497887.4991,54908421.0000,54441731.0000,9.9150057511214906e-01,55579015.0000,54688449.0000,9.8397657821031914e-01,1.9859000000000000e+04,"Aa2",3.9060000000000002e+01,2605255257.0000,2728456232.0800,2.0000000000000000e+01,6.6574680924456703e-02,2.1199999999999999e+01,2.7909600000000000e+03
"SOUTHINGTON","JG",2.0130000000000000e+03,1.3300000000000000e+02,1.3100000000000000e+02,"H",120862000.0000,7352000.0000,128918000.0000,11378000.0000,71000.0000,0.0000,0.0000,1328000.0000,19886000.0000,18487000.0000,19815000.0000,"N",31920000.0000,102129000.0000,138333000.0000,91796000.0000,8247000.0000,133470000.0000,38000.0000,7667000.0000,2031000.0000,9308000.0000,2870000.0000,1600000.0000,3222000.0000,0.0000,"N","N",,64926000.0000,64926000.0000,101940000.0000,100471000.0000,9.8558956248773788e-01,104185000.0000,101556000.0000,9.7476604117675292e-01,4.3661000000000000e+04,"Aa2",3.5990000000000002e+01,3714867214.0000,5316762764.2900,1.4200000000000000e+02,6.3962558502340089e-02,2.7480000000000000e+01,6.7694799999999996e+03
"SPRAGUE","JG",2.0130000000000000e+03,1.3400000000000000e+02,1.3300000000000000e+02,"NL",16981874.0000,430462.0000,17430920.0000,-4026.0000,15146.0000,0.0000,0.0000,0.0000,438316.0000,423170.0000,423170.0000,"N",3608375.0000,5012035.0000,8873509.0000,6351215.0000,2819234.0000,8819213.0000,24647.0000,24647.0000,85763.0000,85763.0000,-6820.0000,-143011.0000,-6820.0000,0.0000,"N","N",,6738107.0000,6738107.0000,4907229.0000,4747266.0000,9.6740258096779264e-01,5188686.0000,4879026.0000,9.4032015041958605e-01,2.9790000000000000e+03,"A1",1.3210000000000001e+01,187971090.0000,277001389.0500,4.4000000000000000e+01,9.5815645845967259e-02,2.6750000000000000e+01,4.5268000000000001e+02
"STAFFORD","JG",2.0130000000000000e+03,1.3500000000000000e+02,1.3400000000000000e+02,"T",81274612.0000,5551052.0000,88277714.0000,1352916.0000,0.0000,0.0000,1298913.0000,229668.0000,4810530.0000,3281949.0000,4810530.0000,"N",14192045.0000,24514358.0000,40410347.0000,28209133.0000,1780155.0000,38795102.0000,1847559.0000,15173949.0000,950000.0000,15060254.0000,2512804.0000,345083.0000,1728940.0000,0.0000,"N","Y",,19756423.0000,19756423.0000,24595606.0000,23630709.0000,9.6076953745315319e-01,26193366.0000,24163669.0000,9.2251102817408037e-01,1.1928000000000000e+04,"A1",5.7950000000000003e+01,767123195.0000,1097801514.2900,6.8000000000000000e+01,7.8626634958382874e-02,3.2289999999999999e+01,1.7464700000000000e+03
"STAMFORD","JG",2.0130000000000000e+03,1.3600000000000000e+02,1.3500000000000000e+02,"F",355081659.0000,-63753300.0000,317067599.0000,-7323275.0000,159247.0000,0.0000,10912936.0000,3345960.0000,14418143.0000,0.0000,14258896.0000,"N",48397667.0000,432104549.0000,512394133.0000,255459497.0000,51310199.0000,460093162.0000,2865332.0000,2865332.0000,52869315.0000,52869315.0000,2296988.0000,3493577.0000,2296988.0000,0.0000,"N","Y",,417857437.0000,417857437.0000,432391167.0000,425843754.0000,9.8485766246006590e-01,444285963.0000,431965361.0000,9.7226875700324566e-01,1.2645600000000000e+05,"Aa1",3.7710000000000001e+01,24294406240.0000,28845672604.2400,7.8800000000000000e+02,6.4133580705009283e-02,1.7890000000000001e+01,1.5490559999999999e+04
"STERLING","JG",2.0130000000000000e+03,1.3700000000000000e+02,1.3600000000000000e+02,"W",24053499.0000,1086732.0000,25498352.0000,-456857.0000,0.0000,20518.0000,0.0000,0.0000,2558746.0000,2538228.0000,2538228.0000,"N",4210875.0000,6844370.0000,11189963.0000,8274645.0000,946424.0000,10926938.0000,55798.0000,119798.0000,228364.0000,228364.0000,90459.0000,195132.0000,154459.0000,0.0000,"N","N",,9270000.0000,9270000.0000,6883006.0000,6593762.0000,9.5797708152513594e-01,7114193.0000,6738950.0000,9.4725431261142334e-01,3.7800000000000000e+03,"A1",2.7230000000000000e+01,321796785.0000,345122762.8000,2.8000000000000000e+01,9.5166163141993956e-02,2.1340000000000000e+01,6.6401999999999998e+02
