Municipality,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2012 Population,Moody's_Bond_Ratings_July2012,ACGLFY12,EGL,TANF12 Recipients,empl,ACMR,enrollmt
"EASTON",2.0120000000000000e+03,4.7000000000000000e+01,4.6000000000000000e+01,"F",55882832.0000,6836931.0000,62719763.0000,2813881.0000,0.0000,0.0000,0.0000,382200.0000,4177219.0000,3795019.0000,4177219.0000,2366020.0000,37864061.0000,41954673.0000,26784954.0000,3446341.0000,41656388.0000,95000.0000,7203387.0000,138805.0000,7134433.0000,254480.0000,367239.0000,0.0000,9223132.5000,27729042.0000,36952174.5000,38033479.0000,37508478.0000,9.8619634559331271e-01,38754638.0000,37671054.0000,9.7203988849024991e-01,7.6030000000000000e+03,"Aaa",1671596103.0000,1898190022.8266,1.0000000000000000e+00,5.7299843014128729e-02,2.2949999999999999e+01,1.5091199999999999e+03
"ELLINGTON",2.0120000000000000e+03,4.8000000000000000e+01,4.8000000000000000e+01,"T",46867137.0000,11064602.0000,58661846.0000,8702849.0000,0.0000,0.0000,4274790.0000,970382.0000,8582749.0000,3337577.0000,8582749.0000,14663268.0000,34334410.0000,50471837.0000,33773953.0000,2270638.0000,48844182.0000,76092.0000,8922904.0000,94923.0000,8816643.0000,1608824.0000,1733916.0000,0.0000,,12375544.0000,12375544.0000,34331008.0000,33828181.0000,9.8535356142179109e-01,35374829.0000,34220317.0000,9.6736346061206402e-01,1.5779000000000000e+04,"Aa3",1242143466.0000,1775579565.7142,5.0000000000000000e+01,6.4036656236030401e-02,2.7500000000000000e+01,2.7663400000000001e+03
"ENFIELD",2.0120000000000000e+03,4.9000000000000000e+01,4.9000000000000000e+01,"H",191750000.0000,26465000.0000,220198000.0000,185000.0000,3732000.0000,0.0000,0.0000,2569000.0000,18085000.0000,11784000.0000,14353000.0000,43580000.0000,76401000.0000,128435000.0000,71140000.0000,3952000.0000,125862000.0000,52000.0000,572000.0000,3444000.0000,3444000.0000,-819000.0000,-299000.0000,0.0000,,28772000.0000,28772000.0000,76341000.0000,74515000.0000,9.7608100496456685e-01,80774000.0000,75642000.0000,9.3646470398890735e-01,4.4660000000000000e+04,"Aa2",3210138866.0000,4158566581.4077,2.5400000000000000e+02,8.1006200800387007e-02,2.3879999999999999e+01,5.9176800000000003e+03
"MANCHESTER",2.0120000000000000e+03,7.8000000000000000e+01,7.7000000000000000e+01,"H",103203000.0000,3386000.0000,108625000.0000,1312000.0000,147000.0000,0.0000,32000.0000,3310000.0000,14125000.0000,10636000.0000,13978000.0000,47260000.0000,121049000.0000,172232000.0000,112033000.0000,9255000.0000,170786000.0000,1538000.0000,10653000.0000,4611000.0000,13621000.0000,-1627000.0000,-1522000.0000,0.0000,,76529000.0000,76529000.0000,123354000.0000,120953000.0000,9.8053569401884011e-01,127244000.0000,122343000.0000,9.6148344912137307e-01,5.8289000000000000e+04,"Aa1",4281588907.0000,5655669334.3373,6.5600000000000000e+02,8.2932949781191659e-02,3.1980000000000000e+01,7.2475600000000004e+03
"MANSFIELD",2.0120000000000000e+03,7.9000000000000000e+01,7.8000000000000000e+01,"T",79717286.0000,8712325.0000,88737800.0000,12378544.0000,0.0000,0.0000,0.0000,253527.0000,2495095.0000,2241568.0000,2495095.0000,19796256.0000,25991047.0000,46692221.0000,32491645.0000,876998.0000,44580373.0000,57500.0000,57500.0000,1871010.0000,1871010.0000,298338.0000,298338.0000,0.0000,6771762.5614,3908322.0000,10680084.5614,26035701.0000,25624839.0000,9.8421928412835902e-01,26408470.0000,25732504.0000,9.7440343950255359e-01,2.5648000000000000e+04,"Aa2",973722578.0000,1443630904.8322,3.9000000000000000e+01,8.0312550346383113e-02,2.6680000000000000e+01,1.9786500000000001e+03
"MARLBOROUGH",2.0120000000000000e+03,8.0000000000000000e+01,7.9000000000000000e+01,"H",25984416.0000,6851821.0000,32836237.0000,931943.0000,0.0000,0.0000,0.0000,506299.0000,2713603.0000,2207304.0000,2713603.0000,4225526.0000,17204707.0000,21696992.0000,14996229.0000,2537058.0000,21707628.0000,334492.0000,6956691.0000,185124.0000,6716969.0000,138732.0000,229086.0000,0.0000,6784350.4069,20320335.0000,27104685.4069,17135312.0000,16966547.0000,9.9015104014446886e-01,17338640.0000,17098950.0000,9.8617596305131194e-01,6.4330000000000000e+03,"Aa2",626848218.0000,792883432.8984,1.2000000000000000e+01,6.3208616780045357e-02,2.7199999999999999e+01,1.2188199999999999e+03
"MERIDEN",2.0120000000000000e+03,8.1000000000000000e+01,8.0000000000000000e+01,"NH",122786716.0000,-62881538.0000,60856726.0000,-2498166.0000,133633.0000,520001.0000,0.0000,0.0000,17257240.0000,16603606.0000,16603606.0000,74930580.0000,109910284.0000,191847102.0000,111433666.0000,12196166.0000,193275571.0000,434448.0000,434448.0000,15000.0000,15000.0000,-1009021.0000,-1009021.0000,0.0000,,70429000.0000,70429000.0000,109965111.0000,107069552.0000,9.7366838469339612e-01,117351834.0000,108884017.0000,9.2784248263218450e-01,6.0638000000000000e+04,"A1",3639460109.0000,4637734807.2376,1.3620000000000000e+03,1.0299331052128610e-01,2.9829999999999998e+01,9.1420300000000007e+03
"MIDDLEBURY",2.0120000000000000e+03,8.2000000000000000e+01,8.1000000000000000e+01,"NH",38754182.0000,8789618.0000,47543800.0000,-1321826.0000,69000.0000,0.0000,0.0000,68866.0000,4088896.0000,3951030.0000,4019896.0000,1594083.0000,26411238.0000,28926020.0000,18677886.0000,802511.0000,28401295.0000,75659.0000,75659.0000,82371.0000,82371.0000,518013.0000,518013.0000,0.0000,7017398.2904,3669598.0000,10686996.2904,25962334.0000,25629684.0000,9.8718720743674282e-01,26829407.0000,26172276.0000,9.7550706208303450e-01,7.5720000000000000e+03,"Aa2",1084493849.0000,1307481072.3498,1.0000000000000000e+01,6.6965462694437122e-02,2.3789999999999999e+01,1.3482900000000000e+03
"MIDDLEFIELD",2.0120000000000000e+03,8.3000000000000000e+01,8.2000000000000000e+01,"M",5536131.0000,5307241.0000,10843372.0000,475620.0000,0.0000,0.0000,0.0000,170862.0000,1656960.0000,1486098.0000,1656960.0000,2358073.0000,12618106.0000,15237540.0000,11332311.0000,476243.0000,14882229.0000,267902.0000,267902.0000,408403.0000,408403.0000,214810.0000,214810.0000,0.0000,5049943.0000,4746019.0000,9795962.0000,12572924.0000,12362261.0000,9.8324470902711258e-01,12842420.0000,12527332.0000,9.7546506032352154e-01,4.4160000000000000e+03,,447557390.0000,607342308.9365,1.0000000000000000e+00,6.4908722109533468e-02,2.8160000000000000e+01,6.8801999999999998e+02
"MIDDLETOWN",2.0120000000000000e+03,8.4000000000000000e+01,8.3000000000000000e+01,"M",297304000.0000,3040000.0000,301464000.0000,1102000.0000,0.0000,0.0000,0.0000,2649000.0000,16858000.0000,14209000.0000,16858000.0000,35880000.0000,93366000.0000,137606000.0000,76965000.0000,12889000.0000,123518000.0000,444000.0000,444000.0000,13121000.0000,13121000.0000,1411000.0000,1411000.0000,0.0000,,61770000.0000,61770000.0000,101814000.0000,99672000.0000,9.7896163592433261e-01,105936000.0000,101473000.0000,9.5787078991088959e-01,4.7325000000000000e+04,"Aa2",3578426400.0000,4963496157.5113,4.3200000000000000e+02,7.8797383620854533e-02,2.6100000000000001e+01,5.2969200000000001e+03
"MILFORD",2.0120000000000000e+03,8.5000000000000000e+01,8.4000000000000000e+01,"NH",145526000.0000,-36260000.0000,109518000.0000,-7427000.0000,21000.0000,0.0000,1212000.0000,4198000.0000,21069000.0000,15638000.0000,21048000.0000,26930000.0000,155213000.0000,192599000.0000,114635000.0000,12013000.0000,192821000.0000,596000.0000,10064000.0000,2964000.0000,12296000.0000,-2590000.0000,-2454000.0000,0.0000,,136103000.0000,136103000.0000,155888000.0000,153158000.0000,9.8248742687057378e-01,163483000.0000,155326000.0000,9.5010490387379731e-01,5.2981000000000000e+04,"Aa1",5410068779.0000,6852065503.6054,1.8300000000000000e+02,7.3070163579829664e-02,2.8890000000000001e+01,6.9081499999999996e+03
"MONROE",2.0120000000000000e+03,8.6000000000000000e+01,8.5000000000000000e+01,"F",38087484.0000,633908.0000,38911152.0000,-1181217.0000,76893.0000,0.0000,0.0000,555927.0000,4622970.0000,3990150.0000,4546077.0000,12747056.0000,66287184.0000,80259000.0000,56657002.0000,5132059.0000,79974017.0000,162379.0000,9372667.0000,285996.0000,9368298.0000,161366.0000,289352.0000,0.0000,,46469674.0000,46469674.0000,65702612.0000,64923280.0000,9.8813849288061795e-01,66829482.0000,65679160.0000,9.8278720759798799e-01,1.9794000000000000e+04,"Aa2",2289778986.0000,3220913936.0607,2.8000000000000000e+01,7.1232069168795445e-02,2.8789999999999999e+01,3.6611900000000001e+03
"MONTVILLE",2.0120000000000000e+03,8.7000000000000000e+01,8.6000000000000000e+01,"NL",49703439.0000,14765686.0000,64556428.0000,4678430.0000,780022.0000,0.0000,0.0000,2637413.0000,5928650.0000,2511215.0000,5148628.0000,21184224.0000,33987794.0000,57496725.0000,39577389.0000,4166665.0000,57750668.0000,106903.0000,128332.0000,0.0000,0.0000,-147040.0000,-125611.0000,0.0000,,46177600.0000,46177600.0000,35053257.0000,33078939.0000,9.4367661755368415e-01,36258207.0000,33590245.0000,9.2641770730692774e-01,1.9686000000000000e+04,"Aa3",1519656255.0000,2002452063.0849,8.0000000000000000e+01,8.8718850170613178e-02,2.3000000000000000e+01,2.6335300000000002e+03
"MORRIS",2.0120000000000000e+03,8.8000000000000000e+01,8.7000000000000000e+01,"L",5431121.0000,2130757.0000,7762698.0000,180613.0000,0.0000,0.0000,0.0000,150000.0000,1501964.0000,1351964.0000,1501964.0000,727128.0000,7353138.0000,8270527.0000,5803371.0000,0.0000,8052492.0000,0.0000,0.0000,125000.0000,125000.0000,93035.0000,93035.0000,0.0000,1240332.6551,0.0000,1240332.6551,7311252.0000,7248510.0000,9.9141843284843689e-01,7401766.0000,7308049.0000,9.8733856217556726e-01,2.3560000000000000e+03,,351448296.0000,502130422.8571,7.0000000000000000e+00,6.2897526501766790e-02,2.0829999999999998e+01,3.5586000000000001e+02
"NAUGATUCK",2.0120000000000000e+03,8.9000000000000000e+01,8.8000000000000000e+01,"NH",105427433.0000,-20015374.0000,96571687.0000,-1605066.0000,0.0000,0.0000,0.0000,894875.0000,12439399.0000,11544524.0000,12439399.0000,37395247.0000,66475472.0000,111502134.0000,62380519.0000,8623006.0000,105891700.0000,97603.0000,97603.0000,4720707.0000,4720707.0000,987330.0000,987330.0000,0.0000,,78869531.0000,78869531.0000,66594092.0000,63735946.0000,9.5708108761359789e-01,75677386.0000,65610814.0000,8.6698044776546590e-01,3.1774000000000000e+04,"Aa2",2025742873.0000,2503021520.1333,2.3800000000000000e+02,9.4342866968533279e-02,3.2810000000000002e+01,4.7538900000000003e+03
"NEW BRITAIN",2.0120000000000000e+03,9.0000000000000000e+01,8.9000000000000000e+01,"H",147800000.0000,-47512000.0000,108397000.0000,-6841000.0000,0.0000,0.0000,0.0000,41000.0000,12200000.0000,12159000.0000,12200000.0000,106402000.0000,110013000.0000,229634000.0000,132786000.0000,31817000.0000,241343000.0000,11709000.0000,12135000.0000,273000.0000,273000.0000,-273000.0000,153000.0000,0.0000,,225411000.0000,225411000.0000,107582000.0000,103302000.0000,9.6021639307690876e-01,120018000.0000,106917000.0000,8.9084137379393091e-01,7.3153000000000000e+04,"A2",2920843957.0000,3797502495.1254,2.7050000000000000e+03,1.1926383013122793e-01,3.6630000000000003e+01,1.1011870000000001e+04
"NEW CANAAN",2.0120000000000000e+03,9.1000000000000000e+01,9.0000000000000000e+01,"F",97372387.0000,35294704.0000,133663575.0000,4465020.0000,213800.0000,172708.0000,750000.0000,5682297.0000,23256418.0000,16437613.0000,22869910.0000,10348019.0000,114303054.0000,129853184.0000,79172586.0000,12927969.0000,128498109.0000,381558.0000,8512762.0000,275006.0000,7561522.0000,1461627.0000,2306315.0000,0.0000,,126252541.0000,126252541.0000,113812002.0000,113298408.0000,9.9548734763491820e-01,115204428.0000,113806824.0000,9.8786848713835895e-01,2.0110000000000000e+04,"Aaa",8200262034.0000,10871994421.4201,1.0000000000000000e+01,6.0753341433778855e-02,1.3853000000000000e+01,4.2079300000000003e+03
"NEW FAIRFIELD",2.0120000000000000e+03,9.2000000000000000e+01,9.1000000000000000e+01,"F",45841095.0000,16638595.0000,63104679.0000,4078583.0000,8338.0000,0.0000,0.0000,930916.0000,7838001.0000,6898747.0000,7829663.0000,9316070.0000,40109394.0000,51999749.0000,33498893.0000,3065804.0000,52193922.0000,0.0000,0.0000,413350.0000,413350.0000,-607523.0000,-607523.0000,0.0000,,31170000.0000,31170000.0000,39870215.0000,39559732.0000,9.9221265799544844e-01,39993500.0000,39543782.0000,9.8875522272369265e-01,1.4112000000000000e+04,"Aa1",1684115996.0000,2439853271.8422,2.5000000000000000e+01,7.1805555555555553e-02,2.3949999999999999e+01,2.8071599999999999e+03
"NEW HARTFORD",2.0120000000000000e+03,9.3000000000000000e+01,9.2000000000000000e+01,"L",11155435.0000,3546323.0000,14733687.0000,382770.0000,0.0000,17542.0000,0.0000,858333.0000,3959704.0000,3083829.0000,3942162.0000,4965034.0000,17308285.0000,22604284.0000,16544942.0000,833961.0000,21834518.0000,0.0000,0.0000,353000.0000,353000.0000,416766.0000,416766.0000,-455891.0000,2518882.7309,7835000.0000,10353882.7309,17191649.0000,16965763.0000,9.8686071359414096e-01,17552043.0000,17192161.0000,9.7949628997604443e-01,6.9030000000000000e+03,"Aa3",707807479.0000,955598366.5494,6.0000000000000000e+00,6.3723030607124934e-02,2.4199999999999999e+01,1.1360899999999999e+03
"NEW HAVEN",2.0120000000000000e+03,9.4000000000000000e+01,9.3000000000000000e+01,"NH",933256161.0000,-136664640.0000,810361744.0000,1795237.0000,5000000.0000,0.0000,0.0000,0.0000,8791796.0000,3791796.0000,3791796.0000,237628410.0000,226146445.0000,500541567.0000,203686746.0000,65158164.0000,512434181.0000,0.0000,6212093.0000,2355303.0000,2355303.0000,-14247917.0000,-8035824.0000,0.0000,,509502604.0000,509502604.0000,226835431.0000,220502270.0000,9.7208037134198844e-01,234445307.0000,223014860.0000,9.5124471824040391e-01,1.3074100000000000e+05,"A2",5151303390.0000,6779089378.9722,4.2170000000000000e+03,1.1550902150751920e-01,4.3899999999999999e+01,1.8002230000000000e+04
"NEW LONDON",2.0120000000000000e+03,9.5000000000000000e+01,9.5000000000000000e+01,"NL",183990139.0000,20931037.0000,205471499.0000,6703730.0000,0.0000,0.0000,0.0000,0.0000,1262989.0000,1262989.0000,1262989.0000,38557674.0000,39049980.0000,83400738.0000,43863439.0000,5602372.0000,87324773.0000,416629.0000,416629.0000,213153.0000,213153.0000,-3720559.0000,-3720559.0000,0.0000,,39082915.0000,39082915.0000,39140385.0000,38412589.0000,9.8140549716105241e-01,39889964.0000,38661321.0000,9.6919919506570629e-01,2.7707000000000000e+04,,1560289376.0000,1994278344.1703,6.9000000000000000e+02,1.2562022525005906e-01,2.5309999999999999e+01,3.5085400000000000e+03
"NEW MILFORD",2.0120000000000000e+03,9.6000000000000000e+01,9.6000000000000000e+01,"L",103208378.0000,32281363.0000,135489741.0000,-30192955.0000,34105.0000,0.0000,179109.0000,1441711.0000,13553775.0000,11898850.0000,13519670.0000,22747545.0000,70524083.0000,98019043.0000,64012160.0000,6116802.0000,98840403.0000,1481147.0000,1965820.0000,1399212.0000,1399212.0000,-739425.0000,-254752.0000,0.0000,,28433571.0000,28433571.0000,70093601.0000,68789048.0000,9.8138841518500386e-01,72284386.0000,69935257.0000,9.6750157080949684e-01,2.7835000000000000e+04,"Aa1",2861601385.0000,4088829950.0000,9.4000000000000000e+01,7.0571630204657732e-02,2.4750000000000000e+01,4.5869799999999996e+03
"NEWINGTON",2.0120000000000000e+03,9.7000000000000000e+01,9.4000000000000000e+01,"H",70426000.0000,31773000.0000,102856000.0000,6454000.0000,0.0000,0.0000,0.0000,4174000.0000,18593000.0000,14419000.0000,18593000.0000,27134000.0000,80895000.0000,109950000.0000,68303000.0000,2424000.0000,103536000.0000,164000.0000,164000.0000,4958000.0000,4958000.0000,1620000.0000,1620000.0000,0.0000,,14586000.0000,14586000.0000,80441000.0000,79582000.0000,9.8932136597008991e-01,81807000.0000,80332000.0000,9.8196975808916109e-01,3.0602000000000000e+04,"Aa2",2678772631.0000,3880511001.6183,7.2000000000000000e+01,7.0419231896804463e-02,3.0020000000000000e+01,4.4768999999999996e+03
"NEWTOWN",2.0120000000000000e+03,9.8000000000000000e+01,9.7000000000000000e+01,"F",160006067.0000,17480920.0000,179292731.0000,5227675.0000,0.0000,0.0000,0.0000,810891.0000,9190641.0000,8379750.0000,9190641.0000,14748930.0000,94848822.0000,111645165.0000,74459845.0000,9609016.0000,110779170.0000,272536.0000,643075.0000,487946.0000,487946.0000,650585.0000,1021124.0000,0.0000,,85277396.0000,85277396.0000,94762206.0000,93813987.0000,9.8999370065319081e-01,96244174.0000,94187398.0000,9.7862960515407404e-01,2.8042000000000000e+04,"Aa1",3924457541.0000,4662225678.3910,4.5000000000000000e+01,6.1021524472543866e-02,2.4370000000000001e+01,5.4238299999999999e+03
"NORFOLK",2.0120000000000000e+03,9.9000000000000000e+01,9.8000000000000000e+01,"L",4564723.0000,2186520.0000,6751243.0000,-271608.0000,0.0000,0.0000,0.0000,400000.0000,1587792.0000,1187792.0000,1587792.0000,972549.0000,6237766.0000,7415526.0000,4437501.0000,236652.0000,7494291.0000,3266.0000,3266.0000,104775.0000,104775.0000,-180274.0000,-180274.0000,0.0000,561828.7731,2039524.0000,2601352.7731,6213689.0000,6100542.0000,9.8179068826907812e-01,6370333.0000,6176952.0000,9.6964350215287021e-01,1.6850000000000000e+03,,308799240.0000,434258316.6213,6.0000000000000000e+00,6.5628476084538381e-02,2.0109999999999999e+01,2.2802000000000001e+02
"NORTH BRANFORD",2.0120000000000000e+03,1.0000000000000000e+02,9.9000000000000000e+01,"NH",48337843.0000,8602541.0000,57482207.0000,1955420.0000,495.0000,0.0000,1445294.0000,0.0000,7071993.0000,5626204.0000,7071498.0000,12310884.0000,36908932.0000,49859783.0000,32241566.0000,5449371.0000,50011604.0000,461772.0000,853122.0000,310120.0000,310120.0000,-169.0000,391181.0000,0.0000,,48194641.0000,48194641.0000,34811049.0000,34234823.0000,9.8344703717489235e-01,35723541.0000,34652050.0000,9.7000602487866472e-01,1.4379000000000000e+04,"Aa2",1252555301.0000,1790264872.8571,5.0000000000000000e+01,6.8982508006898258e-02,2.7770000000000000e+01,2.2778699999999999e+03
"NORTH CANAAN",2.0120000000000000e+03,1.0100000000000000e+02,1.0000000000000000e+02,"L",10038190.0000,2055185.0000,13077878.0000,112982.0000,43939.0000,0.0000,0.0000,0.0000,843848.0000,799909.0000,799909.0000,2769732.0000,7328797.0000,10616484.0000,8163226.0000,117522.0000,10491014.0000,0.0000,0.0000,127500.0000,127500.0000,-2030.0000,-2030.0000,0.0000,931867.5969,914792.0000,1846659.5969,7247567.0000,7039380.0000,9.7127491198080684e-01,7674510.0000,7128811.0000,9.2889461346717905e-01,3.2590000000000000e+03,,345140940.0000,380117948.3391,4.0000000000000000e+00,7.1722516166960612e-02,2.1000000000000000e+01,4.2683999999999997e+02
"NORTH HAVEN",2.0120000000000000e+03,1.0200000000000000e+02,1.0100000000000000e+02,"NH",58308056.0000,757965.0000,60380348.0000,-3194439.0000,28729.0000,0.0000,0.0000,6028404.0000,13535428.0000,7478295.0000,13506699.0000,10631965.0000,74561137.0000,88460684.0000,49716236.0000,6810334.0000,89172255.0000,52288.0000,110981.0000,286912.0000,286912.0000,-946195.0000,-887502.0000,0.0000,,48011130.0000,48011130.0000,74623024.0000,73406669.0000,9.8370000390228085e-01,77096854.0000,74307852.0000,9.6382469769778156e-01,2.4033000000000000e+04,"Aa1",2826410341.0000,3934550278.7284,4.8000000000000000e+01,7.2021742412803860e-02,2.6539999999999999e+01,3.6079000000000001e+03
"NORTH STONINGTON",2.0120000000000000e+03,1.0300000000000000e+02,1.0200000000000000e+02,"NL",5856679.0000,4481830.0000,10388097.0000,-297784.0000,0.0000,38419.0000,397061.0000,251389.0000,1044475.0000,357606.0000,1006056.0000,6324903.0000,12674628.0000,19461754.0000,13260002.0000,1086089.0000,18999983.0000,185525.0000,185525.0000,1489004.0000,1489004.0000,-841708.0000,-841708.0000,0.0000,,3897000.0000,3897000.0000,12701312.0000,12383351.0000,9.7496628694736420e-01,13055651.0000,12559171.0000,9.6197202268963833e-01,5.3030000000000000e+03,"A1",625589856.0000,773412110.3221,4.0000000000000000e+00,7.2370645924923913e-02,2.0289999999999999e+01,8.1051999999999998e+02
"NORWALK",2.0120000000000000e+03,1.0400000000000000e+02,1.0300000000000000e+02,"F",274568182.0000,3197797.0000,278951767.0000,2109019.0000,22729.0000,0.0000,0.0000,2591791.0000,31146450.0000,28531930.0000,31123721.0000,35204996.0000,261268852.0000,306767702.0000,173117163.0000,26423151.0000,306355382.0000,0.0000,19297925.0000,0.0000,19138282.0000,412320.0000,571963.0000,0.0000,,208890443.0000,208890443.0000,261927248.0000,258424733.0000,9.8662790898333719e-01,266267901.0000,258157441.0000,9.6954022633017267e-01,8.7190000000000000e+04,"Aaa",12768816416.0000,16955393389.7092,5.1300000000000000e+02,6.9437170138189439e-02,2.0742000000000001e+01,1.1227330000000000e+04
"NORWICH",2.0120000000000000e+03,1.0500000000000000e+02,1.0400000000000000e+02,"NL",92031000.0000,14373000.0000,107861000.0000,8769000.0000,0.0000,0.0000,0.0000,264000.0000,10635000.0000,10371000.0000,10635000.0000,42703000.0000,59244000.0000,105596000.0000,72021000.0000,4990000.0000,110308000.0000,7222000.0000,7222000.0000,2702000.0000,2702000.0000,-192000.0000,-192000.0000,0.0000,,37740000.0000,37740000.0000,59108000.0000,57049000.0000,9.6516545983623203e-01,62127000.0000,58081000.0000,9.3487533600527950e-01,4.0502000000000000e+04,"Aa2",2390861539.0000,2942693727.2090,8.5800000000000000e+02,1.0038958570885595e-01,2.5120000000000001e+01,5.3810000000000000e+03
"OLD LYME",2.0120000000000000e+03,1.0600000000000000e+02,1.0500000000000000e+02,"NL",13302576.0000,6699214.0000,20001790.0000,2022995.0000,47467.0000,0.0000,274846.0000,0.0000,5238588.0000,4916275.0000,5191121.0000,1162359.0000,30236684.0000,32363383.0000,23285508.0000,507643.0000,31229689.0000,166696.0000,166696.0000,595000.0000,595000.0000,705390.0000,705390.0000,0.0000,32393754.6636,3995000.0000,36388754.6636,29967309.0000,29561728.0000,9.8646588520844503e-01,30683185.0000,29920187.0000,9.7513302481473163e-01,7.5920000000000000e+03,,1596444820.0000,2120679355.2659,8.0000000000000000e+00,6.7033254778737894e-02,1.8800000000000001e+01,1.1865000000000000e+03
"OLD SAYBROOK",2.0120000000000000e+03,1.0700000000000000e+02,1.0600000000000000e+02,"M",72485608.0000,4215192.0000,76929135.0000,-938730.0000,0.0000,0.0000,0.0000,0.0000,2567898.0000,2567898.0000,2567898.0000,3610035.0000,34871775.0000,39517560.0000,24144507.0000,2488725.0000,39309348.0000,0.0000,0.0000,309000.0000,309000.0000,-100788.0000,-100788.0000,0.0000,,19245000.0000,19245000.0000,34709525.0000,34501352.0000,9.9400242440655695e-01,35053484.0000,34657783.0000,9.8871150724989276e-01,1.0238000000000000e+04,"Aa2",2481624770.0000,3026981891.2800,1.4000000000000000e+01,7.0053582059932520e-02,1.4060000000000000e+01,1.5393099999999999e+03
"ORANGE",2.0120000000000000e+03,1.0800000000000000e+02,1.0700000000000000e+02,"NH",22862063.0000,8002419.0000,30895488.0000,855501.0000,22377.0000,0.0000,0.0000,463446.0000,7217566.0000,6731743.0000,7195189.0000,4104403.0000,52873997.0000,58516854.0000,39615890.0000,2279792.0000,58478795.0000,83000.0000,3852049.0000,0.0000,3687048.0000,121059.0000,203060.0000,0.0000,22248573.1336,20145370.0000,42393943.1336,52769717.0000,52211458.0000,9.8942084529276519e-01,53301783.0000,52604390.0000,9.8691614124803295e-01,1.3935000000000000e+04,"Aa1",1752048366.0000,2268631410.0718,8.0000000000000000e+00,6.0623149584096994e-02,3.0199999999999999e+01,2.5074400000000001e+03
"OXFORD",2.0120000000000000e+03,1.0900000000000000e+02,1.0800000000000000e+02,"NH",62968956.0000,5411344.0000,68385945.0000,-3747455.0000,0.0000,0.0000,0.0000,0.0000,4727663.0000,4727663.0000,4727663.0000,8938426.0000,32541059.0000,42718153.0000,27912746.0000,3072257.0000,41125061.0000,40000.0000,40000.0000,373129.0000,373129.0000,1259963.0000,1259963.0000,0.0000,,27816662.0000,27816662.0000,32456789.0000,31847304.0000,9.8122164826594527e-01,36523748.0000,32215884.0000,8.8205306859526023e-01,1.2819000000000000e+04,"Aa2",1396510989.0000,1995523927.1428,1.1000000000000000e+01,6.5452475811041549e-02,2.3210000000000001e+01,2.2163299999999999e+03
"PLAINFIELD",2.0120000000000000e+03,1.1000000000000000e+02,1.0900000000000000e+02,"W",62185367.0000,955505.0000,63140872.0000,-237203.0000,40287.0000,0.0000,0.0000,200000.0000,6262681.0000,6022394.0000,6222394.0000,22623295.0000,21769554.0000,47856935.0000,35711515.0000,2726756.0000,46512915.0000,0.0000,149000.0000,29230.0000,29230.0000,1314790.0000,1463790.0000,0.0000,,14170339.0000,14170339.0000,21383467.0000,20703464.0000,9.6819959083342289e-01,22911557.0000,21393585.0000,9.3374644944470597e-01,1.5267000000000000e+04,"Aa3",1030619800.0000,1382986124.6411,1.9100000000000000e+02,1.0240129300392518e-01,2.0789999999999999e+01,2.4742500000000000e+03
"PLAINVILLE",2.0120000000000000e+03,1.1100000000000000e+02,1.1000000000000000e+02,"H",79132236.0000,11840470.0000,92000604.0000,2651643.0000,131039.0000,0.0000,171312.0000,829164.0000,4101905.0000,2970390.0000,3970866.0000,15944124.0000,40212765.0000,57075385.0000,36497815.0000,6517468.0000,56024576.0000,292462.0000,13241745.0000,747336.0000,13787427.0000,595935.0000,505127.0000,0.0000,,60379701.0000,60379701.0000,40514611.0000,39509492.0000,9.7519119707208834e-01,42237967.0000,40023033.0000,9.4756059163548279e-01,1.7819000000000000e+04,"Aa3",1400251680.0000,1936121473.7725,9.8000000000000000e+01,8.1073283323716105e-02,2.8980000000000000e+01,2.4443200000000002e+03
