Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,2011 Nonspendable_Fund_Bal,2011 Restricted_Fund_Bal,2011 Committed_Fund_Bal,2011 Assigned_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2011 Population,Moody's_Bond_Ratings_July2011,area lmt,ACGLFY11,EGL,TANF11 Recipients,empl,ACMR,enrollmt,RPA Identifier
"HARTFORD","BP",2.0110000000000000e+03,6.5000000000000000e+01,6.4000000000000000e+01,"H",954780000.0000,47155000.0000,1064401000.0000,8296000.0000,0.0000,0.0000,0.0000,2525000.0000,25086000.0000,"Y",22561000.0000,25086000.0000,272915000.0000,274013000.0000,562686000.0000,304370000.0000,38194000.0000,523968000.0000,4159000.0000,4159000.0000,37427000.0000,37427000.0000,5450000.0000,2335000.0000,5450000.0000,0.0000,"N","Y",,311299000.0000,311299000.0000,268745000.0000,256253000.0000,9.5351727473999515e-01,296060000.0000,263161000.0000,8.8887725461055189e-01,1.2486700000000000e+05,"A1",1.7309999999999999e+01,3578545726.0000,7713607784.4227,6.4680000000000000e+03,1.6218200081129633e-01,7.2790000000000006e+01,2.0984820000000000e+04,"Capital Region COG"
"HARTLAND","BP",2.0110000000000000e+03,6.6000000000000000e+01,6.5000000000000000e+01,"H",7388172.0000,1438864.0000,8855898.0000,429826.0000,0.0000,0.0000,0.0000,273559.0000,894114.0000,"N",620555.0000,894114.0000,1677101.0000,4603459.0000,6350654.0000,4371558.0000,419465.0000,5947116.0000,2182.0000,2182.0000,282314.0000,282314.0000,123406.0000,9427.0000,123406.0000,0.0000,"N","N",,1559352.0000,1559352.0000,4619597.0000,4544274.0000,9.8369489806145427e-01,4688076.0000,4577478.0000,9.7640865890399386e-01,2.1160000000000000e+03,"A1",3.3020000000000003e+01,195997260.0000,258031633.4574,4.0000000000000000e+00,6.4935064935064929e-02,2.3500000000000000e+01,3.1904000000000002e+02,"Litchfield Hills Cncl of Elected Ofcls"
"HARWINTON","BP",2.0110000000000000e+03,6.7000000000000000e+01,6.6000000000000000e+01,"L",16505832.0000,4664386.0000,21465902.0000,398379.0000,0.0000,0.0000,0.0000,0.0000,2412676.0000,"N",2412676.0000,2412676.0000,2949577.0000,12873309.0000,16068074.0000,11020375.0000,200000.0000,15837359.0000,0.0000,0.0000,205218.0000,205218.0000,25497.0000,-104529.0000,25497.0000,0.0000,"N","N",7603234.1122,400000.0000,8003234.1122,12918512.0000,12685087.0000,9.8193096852021344e-01,13544844.0000,12812451.0000,9.4592828090157410e-01,5.6080000000000000e+03,,3.0739999999999998e+01,556873275.0000,817316050.3732,7.0000000000000000e+00,6.9702602230483274e-02,2.3500000000000000e+01,9.1819000000000005e+02,"Litchfield Hills Cncl of Elected Ofcls"
"HEBRON","BP",2.0110000000000000e+03,6.8000000000000000e+01,6.7000000000000000e+01,"T",47141777.0000,4882063.0000,52119825.0000,-1239140.0000,0.0000,0.0000,0.0000,77095.0000,3122212.0000,"N",3045117.0000,3122212.0000,8184027.0000,25122507.0000,34007447.0000,26052515.0000,1875270.0000,34628340.0000,950000.0000,1042709.0000,726627.0000,726627.0000,-397520.0000,28469.0000,-304811.0000,0.0000,"N","N",13510636.9217,8814125.0000,22324761.9217,25010852.0000,24675434.0000,9.8658910140286304e-01,25671834.0000,24983183.0000,9.7317484212464134e-01,9.6730000000000000e+03,"Aa2",3.6890000000000001e+01,861303505.0000,1116961988.0058,9.0000000000000000e+00,6.2564632885211996e-02,2.8940000000000001e+01,2.1227800000000002e+03,"Capital Region COG"
"KENT","JG",2.0110000000000000e+03,6.9000000000000000e+01,6.8000000000000000e+01,"L",9472150.0000,4173180.0000,13702709.0000,1441653.0000,0.0000,0.0000,0.0000,402326.0000,2942944.0000,"Y",2540618.0000,2942944.0000,868557.0000,9146492.0000,10427780.0000,6345040.0000,766950.0000,9680321.0000,37290.0000,37290.0000,477100.0000,477100.0000,307649.0000,130227.0000,307649.0000,0.0000,"N","N",623731.0038,5300000.0000,5923731.0038,9101526.0000,8966513.0000,9.8516589415884770e-01,9384732.0000,9042828.0000,9.6356805926903399e-01,2.9610000000000000e+03,"Aa2",4.8469999999999999e+01,653173014.0000,844999864.5455,4.0000000000000000e+00,6.4316635745207171e-02,1.4020000000000000e+01,3.5694999999999999e+02,"Northwestern CT COG"
"KILLINGLY","JG",2.0110000000000000e+03,7.0000000000000000e+01,6.9000000000000000e+01,"W",95726718.0000,20510460.0000,116841650.0000,-17185.0000,0.0000,0.0000,447673.0000,1930018.0000,10893794.0000,"Y",8516103.0000,10893794.0000,18514143.0000,28297862.0000,49426661.0000,36148345.0000,2876368.0000,48523701.0000,504700.0000,504700.0000,992021.0000,992021.0000,415639.0000,305368.0000,415639.0000,0.0000,"N","N",,26094448.0000,26094448.0000,27768617.0000,27144886.0000,9.7753827639309510e-01,29112312.0000,28033911.0000,9.6295721892510633e-01,1.7330000000000000e+04,"Aa2",4.8520000000000003e+01,1302646359.0000,1697988947.0598,1.9900000000000000e+02,1.0750209555741827e-01,1.9100000000000001e+01,2.5913000000000002e+03,"Northeastern CT COG"
"KILLINGWORTH","BP",2.0110000000000000e+03,7.1000000000000000e+01,7.0000000000000000e+01,"M",25651376.0000,4859431.0000,30510807.0000,-1651733.0000,0.0000,0.0000,0.0000,70891.0000,2551642.0000,"N",2480751.0000,2551642.0000,2353509.0000,17152051.0000,19855469.0000,16134904.0000,310945.0000,19871639.0000,0.0000,0.0000,771865.0000,771865.0000,-788035.0000,-1160017.0000,-788035.0000,0.0000,"N","N",8317434.7845,2745000.0000,11062434.7845,17066433.0000,16968821.0000,9.9428046856657160e-01,17174939.0000,17046671.0000,9.9253167653171870e-01,6.5400000000000000e+03,"Aa2",3.5320000000000000e+01,813710635.0000,1030768606.1272,6.0000000000000000e+00,6.8008705114254622e-02,2.1000000000000000e+01,1.1422400000000000e+03,"Lower CT River Valley COG"
"LEBANON","BP",2.0110000000000000e+03,7.2000000000000000e+01,7.1000000000000000e+01,"NL",32470721.0000,2916720.0000,38632835.0000,430691.0000,23561.0000,0.0000,0.0000,0.0000,3144590.0000,"N",3121029.0000,3121029.0000,7575467.0000,14320970.0000,23497185.0000,18947268.0000,1027849.0000,22821605.0000,998.0000,998.0000,1346309.0000,1346309.0000,-669731.0000,56645.0000,-669731.0000,0.0000,"N","N",,4265813.0000,4265813.0000,14532159.0000,14245466.0000,9.8027182334022078e-01,14984028.0000,14564905.0000,9.7202868280812071e-01,7.2920000000000000e+03,,5.4100000000000001e+01,656321929.0000,902316814.7883,2.9000000000000000e+01,8.2556288378439840e-02,2.2100000000000001e+01,1.2580000000000000e+03,"Windham Region COG"
"LEDYARD","JG",2.0110000000000000e+03,7.3000000000000000e+01,7.2000000000000000e+01,"NL",43422064.0000,5697588.0000,49372665.0000,-263336.0000,0.0000,0.0000,0.0000,0.0000,3526873.0000,"N",3526873.0000,3526873.0000,17568699.0000,29840426.0000,50107766.0000,30952093.0000,1366778.0000,48377905.0000,464304.0000,464304.0000,1949953.0000,1949953.0000,244212.0000,-335920.0000,244212.0000,0.0000,"N","N",,14562550.0000,14562550.0000,29777543.0000,29380101.0000,9.8665296193174834e-01,30219160.0000,29645412.0000,9.8101376742437585e-01,1.5019000000000000e+04,"Aa2",3.8140000000000001e+01,1173556592.0000,1647387295.2509,6.2000000000000000e+01,7.3393407635760022e-02,2.5649999999999999e+01,2.5382600000000002e+03,"Southeastern CT COG"
"LISBON","BP",2.0110000000000000e+03,7.4000000000000000e+01,7.3000000000000000e+01,"NL",6812382.0000,2155255.0000,9320646.0000,609723.0000,0.0000,19178.0000,0.0000,166346.0000,1934037.0000,"Y",1748513.0000,1914859.0000,4200991.0000,6933719.0000,12525406.0000,9285039.0000,1385574.0000,12107313.0000,38215.0000,110115.0000,152577.0000,152577.0000,303731.0000,260436.0000,375631.0000,0.0000,"N","N",,4372864.0000,4372864.0000,6815329.0000,6714235.0000,9.8516667353843079e-01,7056593.0000,6858728.0000,9.7196026467730245e-01,4.3300000000000000e+03,"A1",1.6250000000000000e+01,403394340.0000,559215409.8764,1.5000000000000000e+01,8.0197643481565939e-02,1.6899999999999999e+01,7.1370000000000005e+02,"Southeastern CT COG"
"LITCHFIELD","JG",2.0110000000000000e+03,7.5000000000000000e+01,7.4000000000000000e+01,"L",36130000.0000,12830000.0000,48970000.0000,2392000.0000,31000.0000,34000.0000,0.0000,439000.0000,4177000.0000,"Y",3673000.0000,4112000.0000,2846000.0000,24221000.0000,27523000.0000,17177000.0000,3335000.0000,27192000.0000,424000.0000,424000.0000,649000.0000,649000.0000,106000.0000,10000.0000,106000.0000,0.0000,"N","N",,29720000.0000,29720000.0000,24097000.0000,23651000.0000,9.8149147196746478e-01,24651000.0000,23979000.0000,9.7273944261896073e-01,8.4170000000000000e+03,"Aa2",5.6060000000000002e+01,1100825786.0000,1538582915.7532,1.8000000000000000e+01,7.7489077948953780e-02,2.1899999999999999e+01,1.2038699999999999e+03,"Litchfield Hills Cncl of Elected Ofcls"
"LYME","JG",2.0110000000000000e+03,7.6000000000000000e+01,7.5000000000000000e+01,"NL",6722725.0000,803254.0000,7674909.0000,-19602.0000,0.0000,0.0000,0.0000,572661.0000,1178652.0000,"N",605991.0000,1178652.0000,358166.0000,8201003.0000,8734285.0000,5895593.0000,416482.0000,8863808.0000,225935.0000,225935.0000,67735.0000,67735.0000,28677.0000,51925.0000,28677.0000,0.0000,"N","N",5823686.3860,472158.0000,6295844.3860,8125571.0000,8052740.0000,9.9103681452048109e-01,8253476.0000,8109125.0000,9.8251027809373892e-01,2.4010000000000000e+03,,3.1850000000000001e+01,604304941.0000,873380784.9855,1.0000000000000000e+00,5.5727554179566562e-02,1.3550000000000001e+01,3.0925000000000000e+02,"Lower CT River Valley COG"
"MADISON","BP",2.0110000000000000e+03,7.7000000000000000e+01,7.6000000000000000e+01,"NH",73287084.0000,16544950.0000,90050586.0000,4447698.0000,0.0000,0.0000,0.0000,1156217.0000,9530278.0000,"N",8374061.0000,9530278.0000,6871183.0000,65332472.0000,74561234.0000,51565751.0000,4532918.0000,71450711.0000,94100.0000,6782457.0000,2880473.0000,9426824.0000,324150.0000,194685.0000,466156.0000,0.0000,"N","N",,42850623.0000,42850623.0000,65697255.0000,65262107.0000,9.9337646603347429e-01,66200470.0000,65355370.0000,9.8723422960592278e-01,1.8239000000000000e+04,"Aaa",3.6180000000000000e+01,3425700292.0000,4474726705.0280,1.0000000000000000e+01,5.9532319003369756e-02,1.9300000000000001e+01,3.6810799999999999e+03,"South Central Regional COG"
"MANCHESTER","BP",2.0110000000000000e+03,7.8000000000000000e+01,7.7000000000000000e+01,"H",99265000.0000,6333000.0000,107313000.0000,1295000.0000,39000.0000,0.0000,40000.0000,5515000.0000,15647000.0000,"N",10053000.0000,15608000.0000,39487000.0000,118721000.0000,162409000.0000,102847000.0000,9240000.0000,160915000.0000,1551000.0000,1551000.0000,2898000.0000,2898000.0000,147000.0000,-777000.0000,147000.0000,0.0000,"N","Y",,77251000.0000,77251000.0000,124351000.0000,122311000.0000,9.8359482432791057e-01,128396000.0000,124239000.0000,9.6762360198137010e-01,5.8287000000000000e+04,"Aa1",2.7250000000000000e+01,4254433514.0000,6156673188.2852,7.2000000000000000e+02,8.3676107650722767e-02,3.1280000000000001e+01,7.5029600000000000e+03,"Capital Region COG"
"MANSFIELD","JG",2.0110000000000000e+03,7.9000000000000000e+01,7.8000000000000000e+01,"T",68336430.0000,7699696.0000,76359256.0000,1513966.0000,0.0000,0.0000,0.0000,329652.0000,2196757.0000,"Y",1867105.0000,2196757.0000,17875797.0000,25422441.0000,44095898.0000,30739549.0000,810303.0000,42349335.0000,72500.0000,72500.0000,1584110.0000,1584110.0000,234953.0000,119481.0000,234953.0000,0.0000,"N","N",8055280.8942,4619813.0000,12675093.8942,24957082.0000,24661497.0000,9.8815626762776199e-01,25574524.0000,25096368.0000,9.8130342523677083e-01,2.6524000000000000e+04,"Aa2",4.4460000000000001e+01,968670393.0000,1385350301.4286,4.2000000000000000e+01,7.4639465353499829e-02,2.5710000000000001e+01,1.9756700000000001e+03,"Windham Region COG"
"MARLBOROUGH","BP",2.0110000000000000e+03,8.0000000000000000e+01,7.9000000000000000e+01,"H",24596929.0000,7307365.0000,31904294.0000,5039163.0000,0.0000,0.0000,0.0000,618963.0000,2484517.0000,"Y",1865554.0000,2484517.0000,3973599.0000,16708647.0000,20921710.0000,14575527.0000,2388245.0000,21266675.0000,186342.0000,186342.0000,62181.0000,62181.0000,-220804.0000,10763.0000,-220804.0000,0.0000,"N","N",7326788.1814,20027406.0000,27354194.1814,16646398.0000,16496734.0000,9.9100922614009346e-01,16817174.0000,16605803.0000,9.8743124142022909e-01,6.4100000000000000e+03,"Aa2",2.3280000000000001e+01,624260557.0000,823874004.7291,1.3000000000000000e+01,6.4829821717990274e-02,2.6579999999999998e+01,1.2294500000000000e+03,"Capital Region COG"
"MERIDEN","JG",2.0110000000000000e+03,8.1000000000000000e+01,8.0000000000000000e+01,"NH",101927895.0000,-40973019.0000,62301799.0000,1202020.0000,133373.0000,825001.0000,0.0000,0.0000,18266261.0000,"Y",17307887.0000,17307887.0000,62681718.0000,108758729.0000,182973034.0000,101978309.0000,12596778.0000,180116507.0000,598460.0000,598460.0000,10000.0000,10000.0000,3444987.0000,51117.0000,3444987.0000,0.0000,"Y","Y",,77888161.0000,77888161.0000,108579493.0000,105858662.0000,9.7494157575408835e-01,115453819.0000,107928869.0000,9.3482285761374428e-01,6.0770000000000000e+04,"A1",2.3739999999999998e+01,3630226863.0000,5064112331.2051,1.4160000000000000e+03,1.0621339291105610e-01,2.9530000000000001e+01,9.2032800000000007e+03,"South Central Regional COG"
"MIDDLEBURY","JG",2.0110000000000000e+03,8.2000000000000000e+01,8.1000000000000000e+01,"NH",39333093.0000,7779088.0000,48647121.0000,-535386.0000,85415.0000,0.0000,0.0000,0.0000,3570883.0000,"Y",3485468.0000,3485468.0000,951269.0000,25375843.0000,27259887.0000,17927638.0000,957081.0000,27196180.0000,75659.0000,75659.0000,324678.0000,324678.0000,-185312.0000,272320.0000,-185312.0000,0.0000,"N","N",7397068.1304,4305938.0000,11703006.1304,25304424.0000,24822090.0000,9.8093874810191295e-01,26077295.0000,25191424.0000,9.6602903023492270e-01,7.5630000000000000e+03,"Aa2",1.7750000000000000e+01,1080733649.0000,1417532059.6121,1.1000000000000000e+01,7.5298210735586485e-02,2.3629999999999999e+01,1.3752900000000000e+03,"COG of Central Naugatuck Valley"
"MIDDLEFIELD","BP",2.0110000000000000e+03,8.3000000000000000e+01,8.2000000000000000e+01,"M",5224360.0000,5143392.0000,10367752.0000,649267.0000,842.0000,0.0000,0.0000,147333.0000,1442150.0000,"N",1293975.0000,1441308.0000,2103521.0000,12273365.0000,14636725.0000,10837057.0000,567174.0000,14565313.0000,254350.0000,254350.0000,32919.0000,32919.0000,292843.0000,169574.0000,292843.0000,0.0000,"N","N",5768210.1393,5034109.0000,10802319.1393,12175681.0000,11991729.0000,9.8489185122376322e-01,12474833.0000,12179842.0000,9.7635311029814986e-01,4.4360000000000000e+03,,1.2699999999999999e+01,445995522.0000,624654715.3715,3.0000000000000000e+00,7.2202166064981949e-02,2.7430000000000000e+01,7.0744000000000005e+02,"Lower CT River Valley COG"
"MIDDLETOWN","JG",2.0110000000000000e+03,8.4000000000000000e+01,8.3000000000000000e+01,"M",285332000.0000,13887000.0000,300362000.0000,-8118000.0000,0.0000,0.0000,0.0000,2675000.0000,15447000.0000,"N",12772000.0000,15447000.0000,31675000.0000,94362000.0000,132626000.0000,73414000.0000,13065000.0000,120923000.0000,525000.0000,945000.0000,13161000.0000,13161000.0000,-933000.0000,110000.0000,-513000.0000,0.0000,"N","N",,71855000.0000,71855000.0000,101269000.0000,99118000.0000,9.7875954141938792e-01,105230000.0000,100948000.0000,9.5930818207735435e-01,4.7749000000000000e+04,"Aa2",4.0899999999999999e+01,3547137206.0000,5170605909.2326,4.7400000000000000e+02,8.5654288240495133e-02,2.6399999999999999e+01,5.3853599999999997e+03,"Lower CT River Valley COG"
"MILFORD","BP",2.0110000000000000e+03,8.5000000000000000e+01,8.4000000000000000e+01,"NH",132115000.0000,-15420000.0000,116945000.0000,-12216000.0000,438000.0000,0.0000,2699000.0000,7545000.0000,23523000.0000,"Y",12841000.0000,23085000.0000,22384000.0000,153080000.0000,186446000.0000,109306000.0000,10926000.0000,180806000.0000,456000.0000,456000.0000,2002000.0000,2002000.0000,4094000.0000,-1443000.0000,4094000.0000,0.0000,"N","N",,130576000.0000,130576000.0000,153575000.0000,150811000.0000,9.8200227901676707e-01,161764000.0000,152858000.0000,9.4494448703048883e-01,5.2675000000000000e+04,"Aa1",2.2559999999999999e+01,5430956411.0000,7186613467.4913,2.0400000000000000e+02,8.1463761556862996e-02,2.8440000000000001e+01,7.0242900000000000e+03,"South Central Regional COG"
"MONROE","JG",2.0110000000000000e+03,8.6000000000000000e+01,8.5000000000000000e+01,"F",42622828.0000,-3052383.0000,40092369.0000,-2316343.0000,88057.0000,0.0000,0.0000,982162.0000,4333618.0000,"Y",3263399.0000,4245561.0000,11739302.0000,64441364.0000,77483724.0000,55364249.0000,5281764.0000,77756260.0000,98371.0000,11326632.0000,120926.0000,11226844.0000,-295091.0000,162999.0000,-172748.0000,0.0000,"N","Y",,45895344.0000,45895344.0000,64320324.0000,63383773.0000,9.8543926799871218e-01,65534887.0000,64170815.0000,9.7918555959362530e-01,1.9675000000000000e+04,"Aa2",2.6129999999999999e+01,2283352447.0000,3277578057.1429,2.6000000000000000e+01,7.5547275267815558e-02,2.8260000000000002e+01,3.7998200000000002e+03,"Greater Bridgeport RPA"
"MONTVILLE","BP",2.0110000000000000e+03,8.7000000000000000e+01,8.6000000000000000e+01,"NL",53880685.0000,5916860.0000,59877998.0000,2400889.0000,1080000.0000,0.0000,0.0000,1902001.0000,6054261.0000,"Y",3072260.0000,4974261.0000,20724108.0000,34028260.0000,57144044.0000,39300580.0000,4718493.0000,58726270.0000,333018.0000,596644.0000,30000.0000,30000.0000,-1279208.0000,-1966315.0000,-1015582.0000,0.0000,"N","N",,38315599.0000,38315599.0000,33858360.0000,33200666.0000,9.8057513713009137e-01,35141226.0000,33725335.0000,9.5970854858621035e-01,1.9533000000000000e+04,"Aa2",4.2009999999999998e+01,1504954214.0000,2100781523.7073,1.0100000000000000e+02,8.7216798673788912e-02,2.2399999999999999e+01,2.7561700000000001e+03,"Southeastern CT COG"
"MORRIS","BP",2.0110000000000000e+03,8.8000000000000000e+01,8.7000000000000000e+01,"L",5468624.0000,1941127.0000,7582085.0000,306537.0000,0.0000,0.0000,0.0000,150000.0000,1408929.0000,"N",1258929.0000,1408929.0000,732109.0000,7233324.0000,8183907.0000,5762292.0000,0.0000,7900391.0000,0.0000,0.0000,100000.0000,100000.0000,183516.0000,156476.0000,183516.0000,0.0000,"N","N",1480725.7782,0.0000,1480725.7782,7221123.0000,7150894.0000,9.9027450439495357e-01,7289670.0000,7198050.0000,9.8743152982233762e-01,2.3730000000000000e+03,,1.7190000000000001e+01,351157044.0000,509508077.9132,5.0000000000000000e+00,8.1141998497370402e-02,2.0600000000000001e+01,3.5217000000000002e+02,"Litchfield Hills Cncl of Elected Ofcls"
"NAUGATUCK","JG",2.0110000000000000e+03,8.9000000000000000e+01,8.8000000000000000e+01,"NH",105480331.0000,-25437625.0000,98176753.0000,-4202077.0000,0.0000,0.0000,0.0000,1222243.0000,11452069.0000,"N",10229826.0000,11452069.0000,31580238.0000,64486598.0000,104071405.0000,55962948.0000,7453333.0000,98635533.0000,0.0000,5245000.0000,7339619.0000,9864619.0000,-1903747.0000,476775.0000,816253.0000,0.0000,"N","N",,92712645.0000,92712645.0000,64609812.0000,61925713.0000,9.5845678981390625e-01,72866029.0000,63583314.0000,8.7260572412969017e-01,3.1810000000000000e+04,"Aa2",1.6390000000000001e+01,2014923359.0000,2657203651.4545,2.3700000000000000e+02,1.0695280977720602e-01,3.2020000000000003e+01,4.8546800000000003e+03,"COG of Central Naugatuck Valley"
"NEW BRITAIN","JG",2.0110000000000000e+03,9.0000000000000000e+01,8.9000000000000000e+01,"H",137210000.0000,-27443000.0000,112650000.0000,7430000.0000,0.0000,0.0000,5000.0000,379000.0000,12047000.0000,"Y",11663000.0000,12047000.0000,92313000.0000,106904000.0000,211415000.0000,118812000.0000,26301000.0000,215871000.0000,6737000.0000,9588000.0000,217000.0000,2121000.0000,2064000.0000,-988000.0000,3011000.0000,0.0000,"N","Y",,198146000.0000,198146000.0000,107140000.0000,102721000.0000,9.5875490013067011e-01,118633000.0000,105818000.0000,8.9197778021292562e-01,7.3261000000000000e+04,"A1",1.3340000000000000e+01,2912982773.0000,4012522054.7662,2.6150000000000000e+03,1.2327061053201570e-01,3.6630000000000003e+01,1.0871040000000001e+04,"Central CT RPA"
"NEW CANAAN","JG",2.0110000000000000e+03,9.1000000000000000e+01,9.0000000000000000e+01,"F",97881549.0000,19704312.0000,118250154.0000,2676298.0000,145332.0000,0.0000,0.0000,4166418.0000,18951613.0000,"Y",14639863.0000,18806281.0000,7694430.0000,111935834.0000,125014216.0000,77196076.0000,12756239.0000,125237128.0000,0.0000,18073199.0000,1976125.0000,19562325.0000,-2199037.0000,2339499.0000,-1712038.0000,0.0000,"N","N",,129196660.0000,129196660.0000,111010463.0000,110318657.0000,9.9376810094017898e-01,112660965.0000,111184993.0000,9.8689899380854762e-01,1.9938000000000000e+04,"Aaa",2.2129999999999999e+01,8165273370.0000,10795708736.6465,8.0000000000000000e+00,6.0670868977937865e-02,1.3585000000000001e+01,4.1752100000000000e+03,"South Western RPA"
"NEW FAIRFIELD","BP",2.0110000000000000e+03,9.2000000000000000e+01,9.1000000000000000e+01,"F",39559856.0000,19004221.0000,59026096.0000,693025.0000,10969.0000,0.0000,0.0000,1125951.0000,8445524.0000,"Y",7308604.0000,8434555.0000,8392917.0000,38986140.0000,49794050.0000,32264595.0000,2831994.0000,49204303.0000,1000.0000,1000.0000,620975.0000,620975.0000,-30228.0000,-567060.0000,-30228.0000,0.0000,"N","N",,33145000.0000,33145000.0000,38795128.0000,38476133.0000,9.9177744690003344e-01,39191712.0000,38741681.0000,9.8851718955272994e-01,1.4020000000000000e+04,"Aa1",2.0460000000000001e+01,1675283055.0000,2394629950.0000,3.1000000000000000e+01,7.2564742999868537e-02,2.3280000000000001e+01,2.8690000000000000e+03,"Housatonic Council of Elected Ofcls"
"NEW HARTFORD","BP",2.0110000000000000e+03,9.3000000000000000e+01,9.2000000000000000e+01,"L",10921448.0000,3400525.0000,14350917.0000,2329255.0000,0.0000,452090.0000,0.0000,464312.0000,3998829.0000,"N",3082427.0000,3546739.0000,5898852.0000,17002857.0000,23148847.0000,16105201.0000,944170.0000,21983802.0000,957942.0000,4551942.0000,277500.0000,9177500.0000,1845487.0000,4064918.0000,-3460513.0000,0.0000,"N","N",2808741.7662,8436000.0000,11244741.7662,16890187.0000,16648060.0000,9.8566463473731813e-01,17301405.0000,16907783.0000,9.7724913092318222e-01,6.9290000000000000e+03,"Aa3",3.7020000000000003e+01,701838878.0000,964152927.8862,8.0000000000000000e+00,7.3655103066867775e-02,2.4000000000000000e+01,1.1295999999999999e+03,"Litchfield Hills Cncl of Elected Ofcls"
"NEW HAVEN","JG",2.0110000000000000e+03,9.4000000000000000e+01,9.3000000000000000e+01,"NH",889013623.0000,-97426220.0000,808566507.0000,42943018.0000,7000000.0000,0.0000,0.0000,0.0000,16827620.0000,"N",9827620.0000,9827620.0000,227634807.0000,218720737.0000,485922103.0000,193103792.0000,64951701.0000,490946113.0000,4356227.0000,24375539.0000,2132314.0000,18701626.0000,-2800097.0000,151928.0000,649903.0000,0.0000,"N","Y",,502209789.0000,502209789.0000,219290220.0000,213902653.0000,9.7543179536232849e-01,224927111.0000,216276372.0000,9.6153981189043947e-01,1.2958500000000000e+05,"A1",1.8850000000000001e+01,5449495563.0000,7748069514.8498,4.2510000000000000e+03,1.2819228843264896e-01,4.3899999999999999e+01,1.7720410000000000e+04,"South Central Regional COG"
"NEW LONDON","BP",2.0110000000000000e+03,9.5000000000000000e+01,9.5000000000000000e+01,"NL",185683563.0000,13652192.0000,199898426.0000,10127175.0000,0.0000,0.0000,0.0000,4300.0000,4983548.0000,"N",4979248.0000,4983548.0000,35205329.0000,38739813.0000,79226163.0000,39588608.0000,5119394.0000,81326794.0000,1091956.0000,1091956.0000,317104.0000,317104.0000,-1325779.0000,195467.0000,-1325779.0000,0.0000,"N","N",,41820070.0000,41820070.0000,38816170.0000,37971745.0000,9.7824553530139635e-01,39664517.0000,38318713.0000,9.6607032930717396e-01,2.7569000000000000e+04,,5.5400000000000000e+00,1540355202.0000,2104151971.2884,7.2600000000000000e+02,1.1204769736842106e-01,2.5309999999999999e+01,3.5551900000000001e+03,"Southeastern CT COG"
"NEW MILFORD","BP",2.0110000000000000e+03,9.6000000000000000e+01,9.6000000000000000e+01,"L",97634869.0000,67929996.0000,165564865.0000,2841478.0000,36034.0000,0.0000,995250.0000,1031485.0000,13924336.0000,"Y",11861567.0000,13888302.0000,21043666.0000,69341204.0000,94662944.0000,63361649.0000,5590447.0000,94352765.0000,1176892.0000,1458435.0000,1824543.0000,1824543.0000,-337472.0000,940599.0000,-55929.0000,0.0000,"N","N",,32642564.0000,32642564.0000,68492044.0000,67097919.0000,9.7964544611926019e-01,71065827.0000,68632888.0000,9.6576499419334139e-01,2.7972000000000000e+04,"Aa1",6.1579999999999998e+01,3046266025.0000,4366729431.2088,9.1000000000000000e+01,7.0959503830718709e-02,2.2699999999999999e+01,4.6491599999999999e+03,"Housatonic Council of Elected Ofcls"
"NEWINGTON","BP",2.0110000000000000e+03,9.7000000000000000e+01,9.4000000000000000e+01,"H",65734000.0000,29983000.0000,96402000.0000,4229000.0000,0.0000,0.0000,0.0000,3891000.0000,16973000.0000,"N",13082000.0000,16973000.0000,22272000.0000,77704000.0000,101169000.0000,64499000.0000,2372000.0000,96940000.0000,127000.0000,127000.0000,5026000.0000,5026000.0000,-670000.0000,952000.0000,-670000.0000,0.0000,"N","N",,13938000.0000,13938000.0000,77679000.0000,76731000.0000,9.8779592940176886e-01,78712000.0000,77195000.0000,9.8072720804959856e-01,3.0586000000000000e+04,"Aa2",1.3170000000000000e+01,2663897188.0000,4073474409.4287,6.8000000000000000e+01,7.6958445887694696e-02,2.9180000000000000e+01,4.5009399999999996e+03,"Capital Region COG"
