Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2010 Population,Moody's_Bond_Ratings_July2010,area lmt,ACGLFY10,EGL,TANF10 Recipients,empl,ACMR,enrollmt,RPA Identifier
"KENT","JG",2.0100000000000000e+03,6.9000000000000000e+01,6.8000000000000000e+01,"L",8606816.0000,3582094.0000,12261056.0000,902819.0000,0.0000,281000.0000,2604208.0000,"N",2604208.0000,705760.0000,9191889.0000,10238250.0000,6412867.0000,839119.0000,9745923.0000,33400.0000,33400.0000,395500.0000,395500.0000,130227.0000,-55117.0000,130227.0000,0.0000,"N","N",731523.5198,5825000.0000,6556523.5198,9141395.0000,9039494.0000,9.8885279544314630e-01,9406601.0000,9131049.0000,9.7070652831984683e-01,2.9790000000000000e+03,"Aa2",4.8469999999999999e+01,651748430.0000,931212628.5714,4.0000000000000000e+00,7.3446327683615822e-02,1.4109999999999999e+01,3.5494999999999999e+02,"Northwestern CT COG"
"KILLINGLY","JG",2.0100000000000000e+03,7.0000000000000000e+01,6.9000000000000000e+01,"W",95429775.0000,21309425.0000,116858835.0000,24033553.0000,655055.0000,1158780.0000,8457670.0000,"N",7802615.0000,21503559.0000,26596244.0000,50359750.0000,39087800.0000,2832211.0000,50481708.0000,524425.0000,7952798.0000,7525472.0000,7525472.0000,-7123005.0000,-620788.0000,305368.0000,0.0000,"N","N",,24974473.0000,24974473.0000,26462489.0000,25814694.0000,9.7552025434946799e-01,27672584.0000,26347633.0000,9.5212044527536710e-01,1.7411000000000000e+04,"Aa2",4.8520000000000003e+01,1296895370.0000,1738014001.2660,2.2400000000000000e+02,1.1112255406797117e-01,1.8149999999999999e+01,2.5880599999999999e+03,"Northeastern CT COG"
"KILLINGWORTH","BP",2.0100000000000000e+03,7.1000000000000000e+01,7.0000000000000000e+01,"M",26600419.0000,5562121.0000,32162540.0000,-460758.0000,0.0000,1240854.0000,3339677.0000,"N",3339677.0000,2304491.0000,17108256.0000,19965801.0000,16001735.0000,319257.0000,19844579.0000,0.0000,0.0000,1281239.0000,1281239.0000,-1160017.0000,503024.0000,-1160017.0000,0.0000,"N","N",9023334.2813,2941767.0000,11965101.2813,17022510.0000,16920866.0000,9.9402884768462463e-01,17146154.0000,17012384.0000,9.9219825040647602e-01,6.5310000000000000e+03,"Aa2",3.5320000000000000e+01,808160971.0000,1092312963.2178,7.0000000000000000e+00,6.3604240282685506e-02,2.1000000000000000e+01,1.1490200000000000e+03,"CT River Estuary RPA"
"LEBANON","BP",2.0100000000000000e+03,7.2000000000000000e+01,7.1000000000000000e+01,"NL",31181108.0000,4570021.0000,38287573.0000,482064.0000,21013.0000,0.0000,3814321.0000,"N",3793308.0000,7730824.0000,14089190.0000,23625244.0000,18184933.0000,1292142.0000,22285416.0000,4928.0000,4928.0000,1288111.0000,1288111.0000,56645.0000,226357.0000,56645.0000,0.0000,"N","N",,5102825.0000,5102825.0000,13884841.0000,13535667.0000,9.7485214270728771e-01,14368228.0000,13873260.0000,9.6555121480533301e-01,7.3160000000000000e+03,"Aa2",5.4100000000000001e+01,652218798.0000,932756311.4286,1.8000000000000000e+01,8.1458145814581454e-02,2.1300000000000001e+01,1.3040000000000000e+03,"Windham Region COG"
"LEDYARD","JG",2.0100000000000000e+03,7.3000000000000000e+01,7.2000000000000000e+01,"NL",42237973.0000,7324016.0000,49636001.0000,-4303255.0000,235000.0000,44911.0000,3282661.0000,"N",3047661.0000,17198885.0000,29915160.0000,50180445.0000,31074028.0000,1192322.0000,49061088.0000,430598.0000,430598.0000,1885875.0000,1885875.0000,-335920.0000,265388.0000,-335920.0000,0.0000,"N","N",,13217800.0000,13217800.0000,29787129.0000,29402474.0000,9.8708653660445089e-01,30219476.0000,29681660.0000,9.8220300047558728e-01,1.5055000000000000e+04,"Aa2",3.8140000000000001e+01,1178301472.0000,1675024840.0664,4.4000000000000000e+01,7.5820142234457447e-02,2.5649999999999999e+01,2.5970599999999999e+03,"Southeastern CT COG"
"LISBON","BP",2.0100000000000000e+03,7.4000000000000000e+01,7.3000000000000000e+01,"NL",6405640.0000,2006299.0000,8735704.0000,882248.0000,101341.0000,0.0000,1583187.0000,"N",1481846.0000,4140849.0000,6698323.0000,12459612.0000,9423614.0000,1856655.0000,12116688.0000,0.0000,0.0000,82488.0000,82488.0000,260436.0000,35527.0000,260436.0000,0.0000,"N","N",,4912077.0000,4912077.0000,6631822.0000,6481342.0000,9.7730940305695779e-01,6829405.0000,6578265.0000,9.6322666469480134e-01,4.3450000000000000e+03,"A1",1.6250000000000000e+01,393450533.0000,565225684.6431,2.7000000000000000e+01,7.8907435508345974e-02,1.6899999999999999e+01,7.5787000000000000e+02,"Southeastern CT COG"
"LITCHFIELD","KE",2.0100000000000000e+03,7.5000000000000000e+01,7.4000000000000000e+01,"L",35787000.0000,10781000.0000,46578000.0000,1258000.0000,403000.0000,0.0000,4066000.0000,"N",3663000.0000,2703000.0000,23398000.0000,26565000.0000,16656000.0000,3393000.0000,26481000.0000,458000.0000,11998000.0000,532000.0000,12072000.0000,10000.0000,146000.0000,10000.0000,0.0000,"N","N",,31934000.0000,31934000.0000,23154000.0000,22767000.0000,9.8328582534335318e-01,23759000.0000,23176000.0000,9.7546193021591820e-01,8.4620000000000000e+03,"Aa2",5.6060000000000002e+01,1089997487.0000,1557736187.1429,2.3000000000000000e+01,7.8695255474452552e-02,2.1199999999999999e+01,1.2331900000000001e+03,"Litchfield Hills Cncl of Elected Ofcls"
"LYME","JG",2.0100000000000000e+03,7.6000000000000000e+01,7.5000000000000000e+01,"NL",5975466.0000,1713045.0000,7694511.0000,476478.0000,189955.0000,344512.0000,1149975.0000,"N",960020.0000,328690.0000,7722745.0000,8219601.0000,5524057.0000,416318.0000,8304933.0000,141257.0000,141257.0000,4000.0000,4000.0000,51925.0000,-311715.0000,51925.0000,0.0000,"N","N",2968105.5059,1020167.0000,3988272.5059,7634376.0000,7575020.0000,9.9222516679817707e-01,7793667.0000,7661420.0000,9.8303147927669987e-01,2.4090000000000000e+03,,3.1850000000000001e+01,602060440.0000,860149200.0000,2.0000000000000000e+00,7.1611253196930943e-02,1.2750000000000000e+01,3.1506999999999999e+02,"CT River Estuary RPA"
"MADISON","KE",2.0100000000000000e+03,7.7000000000000000e+01,7.6000000000000000e+01,"NH",71944321.0000,12888626.0000,85602888.0000,2586101.0000,630966.0000,250000.0000,9064122.0000,"N",8433156.0000,6933498.0000,63122476.0000,72420792.0000,49706628.0000,4523878.0000,69787527.0000,154100.0000,19754030.0000,2764802.0000,22192610.0000,22563.0000,572455.0000,194685.0000,0.0000,"N","N",,39712482.0000,39712482.0000,63270649.0000,62913828.0000,9.9436040240396462e-01,63845570.0000,63082598.0000,9.8804972686436976e-01,1.8266000000000000e+04,"Aaa",3.6180000000000000e+01,3418584858.0000,4435997612.0158,1.1000000000000000e+01,6.0265878877400293e-02,1.8620000000000001e+01,3.7471500000000001e+03,"South Central Regional COG"
"MANCHESTER","JG",2.0100000000000000e+03,7.8000000000000000e+01,7.7000000000000000e+01,"H",94969000.0000,6886000.0000,106018000.0000,-285000.0000,2451000.0000,3692000.0000,15500000.0000,"N",13049000.0000,40373000.0000,114544000.0000,159424000.0000,101255000.0000,8941000.0000,158275000.0000,1513000.0000,6621000.0000,3546000.0000,8547000.0000,-884000.0000,-2367000.0000,-777000.0000,0.0000,"N","Y",,83909000.0000,83909000.0000,123881000.0000,121712000.0000,9.8249126177541346e-01,127836000.0000,123302000.0000,9.6453268249945245e-01,5.8354000000000000e+04,"Aa1",2.7250000000000000e+01,4267835885.0000,6155739358.1882,8.0600000000000000e+02,8.7777710515164351e-02,3.0320000000000000e+01,7.4705400000000000e+03,"Capital Region COG"
"MANSFIELD","JG",2.0100000000000000e+03,7.9000000000000000e+01,7.8000000000000000e+01,"T",70198169.0000,4314520.0000,74845290.0000,3714417.0000,381593.0000,0.0000,2247488.0000,"Y",1865895.0000,18543734.0000,23989637.0000,43388918.0000,30342499.0000,663947.0000,41586927.0000,2500.0000,2500.0000,1685010.0000,1685010.0000,119481.0000,140394.0000,119481.0000,0.0000,"N","N",8110733.3473,2151816.0000,10262549.3473,23909203.0000,23519555.0000,9.8370301176496766e-01,24467762.0000,23760005.0000,9.7107389715495840e-01,2.6685000000000000e+04,"Aa2",4.4460000000000001e+01,926340907.0000,1457680568.4264,3.5000000000000000e+01,7.5654488980919976e-02,2.5710000000000001e+01,1.9543399999999999e+03,"Windham Region COG"
"MARLBOROUGH","KE",2.0100000000000000e+03,8.0000000000000000e+01,7.9000000000000000e+01,"H",23906939.0000,2958192.0000,26865131.0000,950852.0000,255276.0000,568683.0000,2694280.0000,"N",2439004.0000,3911325.0000,16621819.0000,20792083.0000,14609129.0000,1806995.0000,20701320.0000,23200.0000,23200.0000,103200.0000,103200.0000,10763.0000,-425664.0000,10763.0000,0.0000,"N`","N",7907264.8740,13392494.0000,21299758.8740,16531506.0000,16422984.0000,9.9343544381256010e-01,16705888.0000,16521018.0000,9.8893384176884225e-01,6.4060000000000000e+03,"Aa2",2.3280000000000001e+01,621728229.0000,864120394.7632,1.1000000000000000e+01,7.2432432432432428e-02,2.6480000000000000e+01,1.2192100000000000e+03,"Capital Region COG"
"MERIDEN","JG",2.0100000000000000e+03,8.1000000000000000e+01,8.0000000000000000e+01,"NH",113032614.0000,-51487563.0000,62801599.0000,-3498945.0000,981769.0000,1000000.0000,14302825.0000,"N",13321056.0000,61269332.0000,106582511.0000,175087850.0000,99309776.0000,14398546.0000,176004847.0000,811979.0000,37071102.0000,62875.0000,36102988.0000,-167893.0000,4776336.0000,51117.0000,0.0000,"Y","Y",,68666078.0000,68666078.0000,105882618.0000,103229589.0000,9.7494367772432677e-01,112660089.0000,105475970.0000,9.3623190729061112e-01,6.0936000000000000e+04,"A1",2.3739999999999998e+01,3634871611.0000,5216822520.5305,1.5290000000000000e+03,1.1150328402185256e-01,2.8850000000000001e+01,9.2459400000000005e+03,"South Central Regional COG"
"MIDDLEBURY","JG",2.0100000000000000e+03,8.2000000000000000e+01,8.1000000000000000e+01,"NH",38529544.0000,10717905.0000,49247449.0000,255243.0000,0.0000,526000.0000,3821137.0000,"N",3821137.0000,912785.0000,25389486.0000,27191443.0000,17508656.0000,997159.0000,26796943.0000,70000.0000,70000.0000,192180.0000,192180.0000,272320.0000,328154.0000,272320.0000,0.0000,"N","N",8165929.4369,5065277.0000,13231206.4369,25441931.0000,25007831.0000,9.8293761585942518e-01,25974372.0000,25180638.0000,9.6944164809836408e-01,7.6060000000000000e+03,"Aa2",1.7750000000000000e+01,1073349050.0000,1466080059.2954,1.0000000000000000e+01,7.0884146341463408e-02,2.3629999999999999e+01,1.3708599999999999e+03,"COG of Central Naugatuck Valley"
"MIDDLEFIELD","BP",2.0100000000000000e+03,8.3000000000000000e+01,8.2000000000000000e+01,"M",4909629.0000,4808856.0000,9718485.0000,373079.0000,115138.0000,0.0000,1149307.0000,"N",1034169.0000,2135948.0000,11430072.0000,13821978.0000,10358074.0000,501633.0000,13699867.0000,246042.0000,246042.0000,198579.0000,198579.0000,169574.0000,90682.0000,169574.0000,0.0000,"N","N",6238957.2797,5420380.0000,11659337.2797,11421007.0000,11230161.0000,9.8328991480348449e-01,11639319.0000,11353285.0000,9.7542519454961241e-01,4.4300000000000000e+03,,1.2699999999999999e+01,448088334.0000,633422988.7369,2.0000000000000000e+00,7.6091476091476096e-02,2.5690000000000001e+01,7.3815999999999997e+02,"Midstate RPA"
"MIDDLETOWN","JG",2.0100000000000000e+03,8.4000000000000000e+01,8.3000000000000000e+01,"M",287765000.0000,19626000.0000,308480000.0000,3591000.0000,2111000.0000,1920000.0000,15960000.0000,"N",13849000.0000,32211000.0000,89733000.0000,130568000.0000,72244000.0000,14465000.0000,117250000.0000,599000.0000,1444000.0000,14652000.0000,14652000.0000,-735000.0000,-3076000.0000,110000.0000,0.0000,"N","N",,73021000.0000,73021000.0000,95330000.0000,93258000.0000,9.7826497429980064e-01,99198000.0000,95136000.0000,9.5905159378213267e-01,4.7697000000000000e+04,"Aa2",4.0899999999999999e+01,3502729129.0000,5585366023.4287,5.3500000000000000e+02,8.4043405432961918e-02,2.5500000000000000e+01,5.3403699999999999e+03,"Midstate RPA"
"MILFORD","BP",2.0100000000000000e+03,8.5000000000000000e+01,8.4000000000000000e+01,"NH",143992000.0000,-15090000.0000,129161000.0000,-12100000.0000,3341000.0000,2000000.0000,17803000.0000,"N",14462000.0000,22212000.0000,147150000.0000,175643000.0000,106657000.0000,10048000.0000,176451000.0000,545000.0000,16730000.0000,1466000.0000,17365000.0000,-1729000.0000,658000.0000,-1443000.0000,0.0000,"N","N",,126455000.0000,126455000.0000,146988000.0000,144241000.0000,9.8131139957003288e-01,154308000.0000,146018000.0000,9.4627627861160790e-01,5.2759000000000000e+04,"Aa1",2.2559999999999999e+01,3321676305.0000,6972378127.5877,2.2200000000000000e+02,8.6637607094543809e-02,2.7500000000000000e+01,7.1667600000000002e+03,"South Central Regional COG"
"MONROE","JG",2.0100000000000000e+03,8.6000000000000000e+01,8.5000000000000000e+01,"F",43728675.0000,-1403609.0000,42396413.0000,-1885025.0000,1051566.0000,370000.0000,4600816.0000,"N",3549250.0000,11597967.0000,62534910.0000,75549157.0000,53939216.0000,5016381.0000,74819797.0000,49339.0000,49339.0000,615700.0000,615700.0000,162999.0000,1072905.0000,162999.0000,0.0000,"N","Y",,44017692.0000,44017692.0000,62457178.0000,61590477.0000,9.8612327633502750e-01,63312797.0000,62088702.0000,9.8066591498082134e-01,1.9466000000000000e+04,"Aa2",2.6129999999999999e+01,2118469134.0000,3562432689.3213,2.8000000000000000e+01,7.4759368283338012e-02,2.9500000000000000e+01,3.9576900000000001e+03,"Greater Bridgeport RPA"
"MONTVILLE","BP",2.0100000000000000e+03,8.7000000000000000e+01,8.6000000000000000e+01,"NL",62661415.0000,-5038207.0000,57623208.0000,462690.0000,3248357.0000,432000.0000,7041843.0000,"N",3793486.0000,20243386.0000,32768842.0000,55560056.0000,38609352.0000,4865597.0000,57617236.0000,22500.0000,10931458.0000,80000.0000,10840593.0000,-2114680.0000,-3353430.0000,-1966315.0000,0.0000,"N","N",,41289170.0000,41289170.0000,32151793.0000,31558711.0000,9.8155368815667610e-01,33575947.0000,32182245.0000,9.5849105909060439e-01,1.9594000000000000e+04,"Aa2",4.2009999999999998e+01,1501524675.0000,2036255401.1881,1.2500000000000000e+02,8.7272083554611440e-02,2.1430000000000000e+01,2.7656700000000001e+03,"Southeastern CT COG"
"MORRIS","BP",2.0100000000000000e+03,8.8000000000000000e+01,8.7000000000000000e+01,"L",5390906.0000,1739977.0000,7275548.0000,225398.0000,0.0000,175000.0000,1225413.0000,"N",1225413.0000,722417.0000,7157534.0000,8098106.0000,5809619.0000,0.0000,7866630.0000,0.0000,0.0000,75000.0000,75000.0000,156476.0000,19795.0000,156476.0000,0.0000,"N","N",1746665.2338,0.0000,1746665.2338,7110867.0000,7063372.0000,9.9332078634011856e-01,7180870.0000,7111535.0000,9.9034448472121062e-01,2.3900000000000000e+03,,1.7190000000000001e+01,345781130.0000,580352540.1962,8.0000000000000000e+00,8.4758942457231728e-02,2.0600000000000001e+01,3.5914999999999998e+02,"Litchfield Hills Cncl of Elected Ofcls"
"NAUGATUCK","JG",2.0100000000000000e+03,8.9000000000000000e+01,8.8000000000000000e+01,"NH",103244478.0000,-3821118.0000,102378830.0000,-9724376.0000,0.0000,970000.0000,10635816.0000,"N",10635816.0000,32171552.0000,63441375.0000,103132862.0000,56650313.0000,10122433.0000,99723011.0000,0.0000,240209.0000,3173285.0000,3173285.0000,236566.0000,486821.0000,476775.0000,0.0000,"N","Y",,94542310.0000,94542310.0000,63291382.0000,60673085.0000,9.5863106607468296e-01,71106281.0000,62683722.0000,8.8154971851220854e-01,3.1880000000000000e+04,"Aa2",1.6390000000000001e+01,2009712850.0000,2692330967.6553,2.9100000000000000e+02,1.1133475185462073e-01,3.1520000000000000e+01,5.1047299999999996e+03,"COG of Central Naugatuck Valley"
"NEW BRITAIN","JG",2.0100000000000000e+03,9.0000000000000000e+01,8.9000000000000000e+01,"H",153258000.0000,-50521000.0000,105220000.0000,5088000.0000,1372000.0000,0.0000,9027000.0000,"N",7655000.0000,94014000.0000,103052000.0000,208806000.0000,120254000.0000,26138000.0000,188565000.0000,4278000.0000,4278000.0000,25507000.0000,25507000.0000,-988000.0000,-3125000.0000,-988000.0000,0.0000,"N","Y",,177837000.0000,177837000.0000,102274000.0000,98267000.0000,9.6082093200617946e-01,113416000.0000,101570000.0000,8.9555265570995279e-01,7.3253000000000000e+04,"A1",1.3340000000000000e+01,2920850373.0000,4136232103.8067,2.5850000000000000e+03,1.3033281215099396e-01,3.4979999999999997e+01,1.0873740000000000e+04,"Central CT RPA"
"NEW CANAAN","JG",2.0100000000000000e+03,9.1000000000000000e+01,9.0000000000000000e+01,"F",97952587.0000,17865700.0000,115818287.0000,5497010.0000,2315785.0000,2769936.0000,20647418.0000,"N",18331633.0000,7219666.0000,109306026.0000,121036644.0000,74379919.0000,13080289.0000,118721020.0000,0.0000,26122817.0000,76125.0000,26098942.0000,2239499.0000,2917907.0000,2339499.0000,0.0000,"N","N",,121840248.0000,121840248.0000,109817769.0000,108948122.0000,9.9208099920514681e-01,111458074.0000,109797331.0000,9.8509984121921934e-01,1.9732000000000000e+04,"Aaa",2.2129999999999999e+01,8141691460.0000,11631228942.8571,7.0000000000000000e+00,6.0666666666666667e-02,1.3351000000000001e+01,4.0942900000000000e+03,"South Western RPA"
"NEW FAIRFIELD","BP",2.0100000000000000e+03,9.2000000000000000e+01,9.1000000000000000e+01,"F",39027907.0000,19305164.0000,58333071.0000,-102181.0000,431180.0000,0.0000,8000974.0000,"N",7569794.0000,8513528.0000,37807400.0000,47914872.0000,31846816.0000,2487391.0000,47104937.0000,80410.0000,80410.0000,1457405.0000,1457405.0000,-567060.0000,1094623.0000,-567060.0000,0.0000,"N","N",,23120000.0000,23120000.0000,37690470.0000,37385650.0000,9.9191254447079058e-01,38035321.0000,37597560.0000,9.8849067160495374e-01,1.3871000000000000e+04,"Aa1",2.0460000000000001e+01,1838553506.0000,2522788136.1816,3.9000000000000000e+01,7.6699285903200215e-02,2.0609999999999999e+01,2.9845999999999999e+03,"Housatonic Council of Elected Ofcls"
"NEW HARTFORD","BP",2.0100000000000000e+03,9.3000000000000000e+01,9.2000000000000000e+01,"L",10236647.0000,1760535.0000,12021662.0000,-2579247.0000,3939455.0000,675066.0000,7459342.0000,"N",3519887.0000,4526486.0000,16857985.0000,21731738.0000,15906763.0000,735821.0000,21313898.0000,81500.0000,8981500.0000,360500.0000,5334422.0000,138840.0000,291514.0000,4064918.0000,0.0000,"N","N",3113773.5340,14343000.0000,17456773.5340,16700494.0000,16447947.0000,9.8487787247490999e-01,17102491.0000,16676073.0000,9.7506690692016740e-01,6.9940000000000000e+03,"Aa3",3.7020000000000003e+01,697343191.0000,1007330607.1429,8.0000000000000000e+00,7.8729994837377387e-02,2.3899999999999999e+01,1.1394400000000001e+03,"Litchfield Hills Cncl of Elected Ofcls"
"NEW HAVEN","JG",2.0100000000000000e+03,9.4000000000000000e+01,9.3000000000000000e+01,"NH",790216721.0000,-37143425.0000,765623489.0000,52069528.0000,7000000.0000,0.0000,16177717.0000,"N",9177717.0000,228896975.0000,206824921.0000,477894161.0000,194071482.0000,63714395.0000,479433769.0000,0.0000,3775000.0000,2083464.0000,2083464.0000,-3623072.0000,517531.0000,151928.0000,0.0000,"N","Y",,514673372.0000,514673372.0000,206066188.0000,201314351.0000,9.7694023922061390e-01,212236531.0000,204362746.0000,9.6290089664158707e-01,1.2994600000000000e+05,"A1",1.8850000000000001e+01,5354718975.0000,8460921705.2414,4.4080000000000000e+03,1.3159817669369150e-01,4.2210000000000001e+01,1.7704410000000000e+04,"South Central Regional COG"
"NEW LONDON","BP",2.0100000000000000e+03,9.5000000000000000e+01,9.5000000000000000e+01,"NL",176388714.0000,13382537.0000,189771251.0000,-2200914.0000,11136.0000,0.0000,6309327.0000,"N",6298191.0000,34147546.0000,39338106.0000,79176728.0000,39208343.0000,4422533.0000,79132258.0000,530398.0000,530398.0000,379401.0000,379401.0000,195467.0000,-57641.0000,195467.0000,0.0000,"N","N",,37917819.0000,37917819.0000,39299610.0000,38497317.0000,9.7958521725788117e-01,40657354.0000,39008517.0000,9.5944554089771805e-01,2.7643000000000000e+04,,5.5400000000000000e+00,1545631295.0000,2347432932.8571,7.9000000000000000e+02,1.1071782528670536e-01,2.5489999999999998e+01,3.4675000000000000e+03,"Southeastern CT COG"
"NEW MILFORD","BP",2.0100000000000000e+03,9.6000000000000000e+01,9.6000000000000000e+01,"L",100406466.0000,62316923.0000,162723389.0000,238561.0000,1693723.0000,1318851.0000,13714966.0000,"N",12021243.0000,19563915.0000,68199386.0000,92228186.0000,60425864.0000,5819761.0000,91382527.0000,1027484.0000,1304763.0000,1209823.0000,1209823.0000,663320.0000,951232.0000,940599.0000,0.0000,"N","N",,32968419.0000,32968419.0000,67663773.0000,66290924.0000,9.7971072349157950e-01,69801438.0000,67457394.0000,9.6641839957509190e-01,2.8145000000000000e+04,"Aa1",6.1579999999999998e+01,3035802015.0000,4399655945.1954,1.0200000000000000e+02,7.4226424361493126e-02,2.2520000000000000e+01,4.7759399999999996e+03,"Housatonic Council of Elected Ofcls"
"NEWINGTON","BP",2.0100000000000000e+03,9.7000000000000000e+01,9.4000000000000000e+01,"H",62260000.0000,29240000.0000,92173000.0000,10351000.0000,1745000.0000,2000000.0000,17643000.0000,"N",15898000.0000,22932000.0000,75594000.0000,99848000.0000,63212000.0000,2735000.0000,94743000.0000,99000.0000,3739000.0000,4321000.0000,7892000.0000,883000.0000,1047000.0000,952000.0000,0.0000,"N","N",,15774000.0000,15774000.0000,75091000.0000,74378000.0000,9.9050485411034617e-01,76210000.0000,75057000.0000,9.8487075186983331e-01,3.0599000000000000e+04,"Aa2",1.3170000000000000e+01,2645387187.0000,3955308064.0343,6.5000000000000000e+01,8.2375029335836653e-02,2.8399999999999999e+01,4.5039799999999996e+03,"Capital Region COG"
"NEWTOWN","JG",2.0100000000000000e+03,9.8000000000000000e+01,9.7000000000000000e+01,"F",131727748.0000,9137294.0000,159321276.0000,6691036.0000,1354552.0000,1000000.0000,9257603.0000,"N",7903051.0000,11984235.0000,90659137.0000,104799321.0000,69998613.0000,14752827.0000,106501309.0000,119190.0000,119190.0000,430130.0000,430130.0000,-2012928.0000,-1511555.0000,-2012928.0000,0.0000,"N","N",,74527177.0000,74527177.0000,90216520.0000,89465838.0000,9.9167910710809948e-01,91284871.0000,89897665.0000,9.8480354975798778e-01,2.7605000000000000e+04,"Aa1",5.7759999999999998e+01,3911851782.0000,5018212097.0347,4.2000000000000000e+01,6.6620257570483815e-02,2.3430000000000000e+01,5.5342399999999998e+03,"Housatonic Council of Elected Ofcls"
"NORFOLK","JG",2.0100000000000000e+03,9.9000000000000000e+01,9.8000000000000000e+01,"L",4703074.0000,2467629.0000,7170703.0000,391726.0000,0.0000,300000.0000,1435099.0000,"N",1435099.0000,836224.0000,6094812.0000,7158974.0000,4117544.0000,109530.0000,6897848.0000,4016.0000,4016.0000,167268.0000,167268.0000,97874.0000,-60803.0000,97874.0000,0.0000,"N","N",623901.7177,2255793.0000,2879694.7177,6003951.0000,5883233.0000,9.7989357341523942e-01,6199409.0000,5996302.0000,9.6723768346305272e-01,1.7110000000000000e+03,,4.5310000000000002e+01,309576220.0000,442989642.8571,9.0000000000000000e+00,7.4468085106382975e-02,1.9420000000000002e+01,2.5258000000000001e+02,"Litchfield Hills Cncl of Elected Ofcls"
"NORTH BRANFORD","JG",2.0100000000000000e+03,1.0000000000000000e+02,9.9000000000000000e+01,"NH",44349618.0000,7557641.0000,51907259.0000,8011411.0000,798842.0000,651400.0000,6751991.0000,"N",5953149.0000,10535580.0000,35037180.0000,46203166.0000,30387476.0000,4717918.0000,46830180.0000,532460.0000,797197.0000,187315.0000,187315.0000,-281869.0000,1065826.0000,-17132.0000,0.0000,"N","N",,48047841.0000,48047841.0000,33537433.0000,33093376.0000,9.8675936229227801e-01,34380628.0000,33608410.0000,9.7753915373506262e-01,1.4399000000000000e+04,"Aa2",2.4920000000000002e+01,1295267782.0000,1863009222.2937,3.5000000000000000e+01,7.7648167786025693e-02,2.5949999999999999e+01,2.4329099999999999e+03,"South Central Regional COG"
"NORTH CANAAN","BP",2.0100000000000000e+03,1.0100000000000000e+02,1.0000000000000000e+02,"L",9508096.0000,2971003.0000,12725028.0000,953603.0000,49000.0000,0.0000,1081459.0000,"N",1032459.0000,3087488.0000,7274482.0000,10805880.0000,7902846.0000,265461.0000,10228825.0000,0.0000,0.0000,278429.0000,278429.0000,298626.0000,184882.0000,298626.0000,0.0000,"N","N",1049578.1470,835608.0000,1885186.1470,7232593.0000,7026404.0000,9.7149169046288097e-01,7661232.0000,7181026.0000,9.3732000284027428e-01,3.3200000000000000e+03,"A1",1.9449999999999999e+01,345345110.0000,521255305.5394,7.0000000000000000e+00,9.1169724770642196e-02,2.1000000000000000e+01,4.5539999999999998e+02,"Northwestern CT COG"
"NORTH HAVEN","BP",2.0100000000000000e+03,1.0200000000000000e+02,1.0100000000000000e+02,"NH",50307262.0000,11670199.0000,62205096.0000,-2577277.0000,1025989.0000,2943627.0000,12338890.0000,"N",11312901.0000,8802832.0000,68165768.0000,81029134.0000,45524362.0000,7200174.0000,82807862.0000,429644.0000,6496290.0000,583492.0000,6078301.0000,-1932576.0000,378902.0000,-1360739.0000,0.0000,"N","N",,57518382.0000,57518382.0000,67564323.0000,66776879.0000,9.8834526914448617e-01,70110651.0000,67844763.0000,9.6768125858651632e-01,2.4106000000000000e+04,"Aa1",2.0770000000000000e+01,2883416131.0000,4264040806.6422,4.6000000000000000e+01,8.0787660976340228e-02,2.3480000000000000e+01,3.7366399999999999e+03,"South Central Regional COG"
"NORTH STONINGTON","JG",2.0100000000000000e+03,1.0300000000000000e+02,1.0200000000000000e+02,"NL",5788580.0000,4445580.0000,10276655.0000,433666.0000,352552.0000,0.0000,1856407.0000,"Y",1503855.0000,5581009.0000,12461260.0000,18473700.0000,11909344.0000,1225758.0000,17679149.0000,0.0000,365000.0000,784191.0000,784191.0000,10360.0000,155622.0000,375360.0000,0.0000,"N","N",,2970000.0000,2970000.0000,12430942.0000,12160098.0000,9.7821210975000927e-01,12796981.0000,12425497.0000,9.7097096573012021e-01,5.2980000000000000e+03,"A1",5.4299999999999997e+01,623094839.0000,845341287.8599,1.3000000000000000e+01,7.3577599046767944e-02,1.9940000000000001e+01,8.1552999999999997e+02,"Southeastern CT COG"
