Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2006 Population,Moody's_Bond_Ratings_July_2006,area lmt,ACGLFY06,EGL,TANF06 Recipients,empl,ACMR,enrollmt,RPA Identifier
"DANBURY","VR",2.0060000000000000e+03,3.4000000000000000e+01,3.4000000000000000e+01,"F",136423560.0000,15317419.0000,153135301.0000,18939099.0000,35977718.0000,128855805.0000,181370968.0000,102381921.0000,8269280.0000,177260361.0000,0.0000,984433.0000,713880.0000,713880.0000,3396727.0000,7084180.0000,4381160.0000,0.0000,,80596347.0000,80596347.0000,1348297.0000,0.0000,24307372.0000,"N",22959075.0000,"N","N",129990835.0000,128099912.0000,9.8545341292714983e-01,134958335.0000,129634260.0000,9.6055023204013301e-01,7.9428000000000000e+04,"Aa2",4.2109999999999999e+01,5635667295.0000,11027563560.0441,4.0800000000000000e+02,3.5045179000343131e-02,2.3030000000000001e+01,9.8402399999999998e+03,"Housatonic Council of Elected Ofcls"
"DARIEN","VR",2.0060000000000000e+03,3.5000000000000000e+01,3.5000000000000000e+01,"F",66459323.0000,30854908.0000,97314231.0000,8524769.0000,7049443.0000,82435320.0000,95791482.0000,61983774.0000,9144288.0000,90251706.0000,408612.0000,30623612.0000,3082053.0000,32975978.0000,2866335.0000,3209576.0000,3187410.0000,0.0000,,90051771.0000,90051771.0000,228555.0000,245538.0000,13864816.0000,"N",13636261.0000,"N","N",82211465.0000,81786428.0000,9.9482995467846247e-01,82924907.0000,82004118.0000,9.8889611054975313e-01,2.0431000000000000e+04,"Aaa",1.2859999999999999e+01,6324795732.0000,11659514241.6737,7.0000000000000000e+00,2.8533656494436489e-02,1.3020000000000000e+01,4.4901900000000005e+03,"South Western RPA"
"DEEP RIVER","IT",2.0060000000000000e+03,3.6000000000000000e+01,3.6000000000000000e+01,"M",8109381.0000,1020029.0000,9129410.0000,476116.0000,2086011.0000,10728997.0000,13762750.0000,8564510.0000,1702005.0000,13701889.0000,13584.0000,13584.0000,35310.0000,35310.0000,39135.0000,113747.0000,39135.0000,0.0000,7912506.7107,1178549.0000,9091055.7107,0.0000,349708.0000,1165675.0000,"N",1165675.0000,"N","N",10491964.0000,10305266.0000,9.8220561946266682e-01,10857335.0000,10567037.0000,9.7326249949918653e-01,4.6980000000000000e+03,"Baa1",1.3550000000000001e+01,368594276.0000,838006028.1773,1.0000000000000000e+01,3.5349567949725061e-02,2.8250000000000000e+01,6.8976999999999998e+02,"CT River Estuary RPA"
"LEDYARD","VR",2.0060000000000000e+03,7.3000000000000000e+01,7.2000000000000000e+01,"NL",45271613.0000,3956638.0000,49485456.0000,2111444.0000,14384750.0000,27501648.0000,44999226.0000,27228735.0000,1089959.0000,43318138.0000,360190.0000,360190.0000,2081057.0000,2081057.0000,-39779.0000,512261.0000,-39779.0000,0.0000,,9591003.0000,9591003.0000,305377.0000,0.0000,3595212.0000,"Y",3289835.0000,"N","N",27243560.0000,26995226.0000,9.9088467145997072e-01,27581426.0000,27221771.0000,9.8696024636289659e-01,1.5100000000000000e+04,"A1",3.8140000000000001e+01,813598639.0000,1774281996.1556,6.2000000000000000e+01,3.5672377376202768e-02,3.3170000000000002e+01,2.8213600000000001e+03,"Southeastern CT COG"
"LISBON","IT",2.0060000000000000e+03,7.4000000000000000e+01,7.3000000000000000e+01,"NL",5367680.0000,2608814.0000,7980905.0000,-147917.0000,4079041.0000,5298523.0000,10925801.0000,8285176.0000,730436.0000,11011749.0000,0.0000,0.0000,196976.0000,196976.0000,-282924.0000,172708.0000,-282924.0000,0.0000,,5450000.0000,5450000.0000,727405.0000,0.0000,1754291.0000,"N",1026886.0000,"N","N",5260389.0000,5180160.0000,9.8474846632064661e-01,5351631.0000,5226708.0000,9.7665702287769840e-01,4.1880000000000000e+03,"A3",1.6250000000000000e+01,246897109.0000,550174547.4137,1.2000000000000000e+01,4.1862284820031299e-02,2.1000000000000000e+01,8.2710000000000002e+02,"Southeastern CT COG"
"LITCHFIELD","VR",2.0060000000000000e+03,7.5000000000000000e+01,7.4000000000000000e+01,"L",18926000.0000,9836000.0000,28772000.0000,5222000.0000,2419000.0000,19801000.0000,23766000.0000,15428000.0000,1932000.0000,23300000.0000,466000.0000,466000.0000,338000.0000,338000.0000,594000.0000,563000.0000,594000.0000,0.0000,,21038000.0000,21038000.0000,215000.0000,0.0000,3672000.0000,"N",3457000.0000,"N","N",19599000.0000,19340000.0000,9.8678504005306389e-01,20060000.0000,19600000.0000,9.7706879361914256e-01,8.7500000000000000e+03,"Aa3",5.6060000000000002e+01,850226698.0000,1605433715.7117,2.0000000000000000e+01,3.6384439359267731e-02,2.2900000000000002e+01,1.3225500000000000e+03,"Litchfield Hills Cncl of Elected Ofcls"
"LYME","VR",2.0060000000000000e+03,7.6000000000000000e+01,7.5000000000000000e+01,"NL",3967454.0000,1576835.0000,5550289.0000,476501.0000,358462.0000,6604845.0000,7304520.0000,4976808.0000,973164.0000,7801698.0000,0.0000,311922.0000,4600.0000,4600.0000,-501778.0000,5111.0000,-189856.0000,0.0000,3984905.9984,2486922.0000,6471827.9984,37625.0000,650703.0000,978752.0000,"N",941127.0000,"N","N",6532231.0000,6473162.0000,9.9095730080580435e-01,6624955.0000,6505465.0000,9.8196365107385630e-01,2.0830000000000000e+03,,3.1850000000000001e+01,502907114.0000,838979842.8141,2.0000000000000000e+00,3.3158813263525308e-02,1.3000000000000000e+01,3.0982999999999998e+02,"CT River Estuary RPA"
"MADISON","IT",2.0060000000000000e+03,7.7000000000000000e+01,7.6000000000000000e+01,"NH",51091154.0000,10819004.0000,62613213.0000,1240906.0000,4682324.0000,50731567.0000,58390763.0000,39261170.0000,3811039.0000,55896887.0000,128630.0000,128630.0000,2434000.0000,2434000.0000,188506.0000,-2391199.0000,188506.0000,0.0000,,44261638.0000,44261638.0000,397092.0000,0.0000,7106133.0000,"N",6709041.0000,"N","N",50901907.0000,50676047.0000,9.9556283814671231e-01,51441466.0000,50751827.0000,9.8659371410604824e-01,1.8791000000000000e+04,"Aa1",3.6180000000000000e+01,2398408346.0000,4463041163.5308,1.3000000000000000e+01,2.9118387909319900e-02,2.1230000000000000e+01,3.9694800000000000e+03,"South Central Regional COG"
"MANCHESTER","IT",2.0060000000000000e+03,7.8000000000000000e+01,7.7000000000000000e+01,"H",68196000.0000,-6672000.0000,64273000.0000,6774000.0000,37293000.0000,98509000.0000,141350000.0000,88941000.0000,5144000.0000,135979000.0000,618000.0000,618000.0000,2537000.0000,2537000.0000,3452000.0000,2767000.0000,3452000.0000,0.0000,,37406000.0000,37406000.0000,1561000.0000,5477000.0000,15390000.0000,"N",13829000.0000,"N","Y",106491000.0000,104531000.0000,9.8159468875304012e-01,109834000.0000,106330000.0000,9.6809731048673453e-01,5.5738000000000000e+04,"Aa2",2.7250000000000000e+01,2875133890.0000,5870881342.0075,7.6200000000000000e+02,4.2843481032833919e-02,3.8070000000000000e+01,7.6660900000000001e+03,"Capital Region COG"
"MANSFIELD","VR",2.0060000000000000e+03,7.9000000000000000e+01,7.8000000000000000e+01,"T",63774998.0000,4123470.0000,68414624.0000,1444735.0000,17706288.0000,19380701.0000,38431838.0000,27262086.0000,1046239.0000,38006912.0000,152500.0000,152500.0000,500500.0000,500500.0000,76926.0000,543194.0000,76926.0000,0.0000,11545057.7140,3970000.0000,15515057.7140,71936.0000,0.0000,1733629.0000,"N",1661693.0000,"N","N",19182873.0000,18918210.0000,9.8620316153894150e-01,19614930.0000,19114824.0000,9.7450380908828127e-01,2.4779000000000000e+04,"Aa3",4.4460000000000001e+01,866773933.0000,1239359901.4286,3.8000000000000000e+01,3.8649972781709306e-02,2.2010000000000002e+01,1.9894600000000000e+03,"Windham Region COG"
"MARLBOROUGH","IT",2.0060000000000000e+03,8.0000000000000000e+01,7.9000000000000000e+01,"H",9962705.0000,5371328.0000,15334033.0000,792331.0000,3416317.0000,13728763.0000,17837629.0000,12934219.0000,1365431.0000,18008023.0000,530455.0000,530455.0000,412587.0000,412587.0000,-52526.0000,303239.0000,-52526.0000,0.0000,8066617.0346,13460000.0000,21526617.0346,381622.0000,533552.0000,2764726.0000,"N",2383104.0000,"N","N",13664021.0000,13568600.0000,9.9301662373030608e-01,13830863.0000,13649470.0000,9.8688491094156594e-01,6.3210000000000000e+03,"A1",2.3280000000000001e+01,439158869.0000,831987064.6513,4.0000000000000000e+00,3.3717336330429899e-02,3.0640000000000001e+01,1.1688299999999999e+03,"Capital Region COG"
"MERIDEN","VR",2.0060000000000000e+03,8.1000000000000000e+01,8.0000000000000000e+01,"NH",107105034.0000,-54963310.0000,57426135.0000,9804164.0000,60209360.0000,95955630.0000,167382288.0000,93307731.0000,17959146.0000,167040866.0000,100000.0000,100000.0000,241941.0000,241941.0000,199481.0000,6621929.0000,199481.0000,0.0000,,80476709.0000,80476709.0000,6802430.0000,0.0000,9811633.0000,"N",3009203.0000,"N","N",97076590.0000,93994623.0000,9.6825221199055300e-01,102131295.0000,95513945.0000,9.3520742099666909e-01,5.9552000000000000e+04,"Baa1",2.3740000000000002e+01,2372833648.0000,5016026552.1794,1.5700000000000000e+03,5.6125064069707839e-02,4.0340000000000003e+01,9.6287299999999996e+03,"South Central Regional COG"
"MIDDLEBURY","VR",2.0060000000000000e+03,8.2000000000000000e+01,8.1000000000000000e+01,"NH",33055981.0000,11679468.0000,44735449.0000,3208571.0000,530302.0000,21351451.0000,22999807.0000,13715412.0000,1086428.0000,22900502.0000,731181.0000,731181.0000,565685.0000,565685.0000,264801.0000,1146924.0000,264801.0000,0.0000,9761849.8505,5108257.0000,14870106.8505,0.0000,0.0000,3342683.0000,"Y",3342683.0000,"N","N",21138346.0000,20862160.0000,9.8693436090032782e-01,21710204.0000,21097506.0000,9.7177833980740114e-01,7.1460000000000000e+03,"A1",1.7750000000000000e+01,682565275.0000,1463524858.4229,7.0000000000000000e+00,3.1691985332634891e-02,3.0550000000000001e+01,1.2618500000000001e+03,"COG of Central Naugatuck Valley"
"MIDDLEFIELD","IT",2.0060000000000000e+03,8.3000000000000000e+01,8.2000000000000000e+01,"M",2531239.0000,5042115.0000,7573354.0000,722047.0000,2090009.0000,9934686.0000,12464273.0000,9043502.0000,326044.0000,12081422.0000,224115.0000,224115.0000,512207.0000,512207.0000,94759.0000,10388.0000,94759.0000,0.0000,6947582.1812,3513288.0000,10460870.1812,4543.0000,147000.0000,1172677.0000,"N",1168134.0000,"N","N",9915445.0000,9722744.0000,9.8056557219570073e-01,10112830.0000,9860764.0000,9.7507463291679974e-01,4.2760000000000000e+03,,1.2700000000000001e+01,308279090.0000,662532095.3910,8.0000000000000000e+00,3.9282664389410762e-02,3.2219999999999999e+01,7.4746000000000004e+02,"Midstate RPA"
"MIDDLETOWN","VR",2.0060000000000000e+03,8.4000000000000000e+01,8.3000000000000000e+01,"M",211186000.0000,33312000.0000,245389000.0000,14952000.0000,31264000.0000,77508000.0000,115103000.0000,62910000.0000,11947000.0000,100403000.0000,614000.0000,614000.0000,12582000.0000,12582000.0000,2732000.0000,2264000.0000,2732000.0000,0.0000,,64054000.0000,64054000.0000,1033000.0000,865000.0000,13202000.0000,"N",12169000.0000,"N","N",82693000.0000,81151000.0000,9.8135271425634574e-01,84746000.0000,82190000.0000,9.6983928445000356e-01,4.7528000000000000e+04,"Aa3",4.0899999999999999e+01,2589515228.0000,5095087576.4121,6.0400000000000000e+02,4.1431044431621468e-02,2.9800000000000001e+01,5.2841099999999997e+03,"Midstate RPA"
"MILFORD","IT",2.0060000000000000e+03,8.5000000000000000e+01,8.4000000000000000e+01,"NH",103736000.0000,32553000.0000,136557000.0000,5970000.0000,21078000.0000,122405000.0000,154902000.0000,91148000.0000,9032000.0000,154102000.0000,0.0000,1750000.0000,1895000.0000,1895000.0000,-1095000.0000,1655000.0000,655000.0000,0.0000,,65683000.0000,65683000.0000,1348000.0000,3000000.0000,15646000.0000,"N",14298000.0000,"N","N",122782000.0000,120875000.0000,9.8446840742128328e-01,128597000.0000,122332000.0000,9.5128191170867127e-01,5.5127000000000000e+04,"Aa2",2.2559999999999999e+01,4005631058.0000,9955008582.0651,2.4500000000000000e+02,3.8054765632488739e-02,3.2180000000000000e+01,7.5938800000000001e+03,"South Central Regional COG"
"MONROE","VR",2.0060000000000000e+03,8.6000000000000000e+01,8.5000000000000000e+01,"F",34703010.0000,-5020467.0000,29842155.0000,209687.0000,9778511.0000,49186321.0000,62829564.0000,45238320.0000,4649602.0000,63647780.0000,90000.0000,224977.0000,487600.0000,487600.0000,-1215816.0000,-1272337.0000,-1080839.0000,0.0000,,52111510.0000,52111510.0000,798535.0000,370000.0000,2585736.0000,"N",1787201.0000,"N","N",49057616.0000,48702414.0000,9.9275949324565627e-01,49553293.0000,49022126.0000,9.8928089400637820e-01,1.9599000000000000e+04,"Aa3",2.6129999999999999e+01,2036081872.0000,3624726035.9087,2.3000000000000000e+01,3.4058385804235834e-02,2.4050000000000001e+01,4.2954300000000003e+03,"Greater Bridgeport RPA"
"MONTVILLE","IT",2.0060000000000000e+03,8.7000000000000000e+01,8.6000000000000000e+01,"NL",26910256.0000,13878311.0000,42876217.0000,8782976.0000,17219091.0000,30289355.0000,52145751.0000,33121933.0000,3379227.0000,49622329.0000,0.0000,0.0000,259560.0000,259560.0000,2263862.0000,1937510.0000,2263862.0000,0.0000,,24098259.0000,24098259.0000,2974190.0000,245000.0000,9268603.0000,"N",6294413.0000,"N","N",30121310.0000,29416337.0000,9.7659553983541880e-01,31246059.0000,29860709.0000,9.5566320859856280e-01,1.9660000000000000e+04,"Aa3",4.2009999999999998e+01,1019781100.0000,2076079118.2552,1.1100000000000000e+02,4.1234273119662046e-02,2.9100000000000001e+01,3.0517900000000000e+03,"Southeastern CT COG"
"MORRIS","VR",2.0060000000000000e+03,8.8000000000000000e+01,8.7000000000000000e+01,"L",5039460.0000,1939995.0000,7001024.0000,439403.0000,768670.0000,6627983.0000,7712323.0000,5449241.0000,0.0000,7381020.0000,7336.0000,7336.0000,125000.0000,125000.0000,213639.0000,220641.0000,213639.0000,0.0000,3105485.8144,0.0000,3105485.8144,13422.0000,150000.0000,699462.0000,"Y",686040.0000,"N","N",6516902.0000,6477084.0000,9.9389004161793437e-01,6637581.0000,6585735.0000,9.9218902187408331e-01,2.3810000000000000e+03,,1.7190000000000001e+01,326990666.0000,467397792.8571,8.0000000000000000e+00,3.5046728971962614e-02,1.9900000000000002e+01,4.0356999999999999e+02,"Litchfield Hills Cncl of Elected Ofcls"
"NAUGATUCK","VR",2.0060000000000000e+03,8.9000000000000000e+01,8.8000000000000000e+01,"NH",105670568.0000,928511.0000,108775280.0000,115252.0000,32711200.0000,52643474.0000,94705856.0000,52412764.0000,7136033.0000,90112701.0000,0.0000,4681615.0000,7633175.0000,7684269.0000,-3040020.0000,-490572.0000,1590501.0000,0.0000,,106194072.0000,106194072.0000,455834.0000,0.0000,8731753.0000,"Y",8275919.0000,"N","Y",51984920.0000,49592731.0000,9.5398302046054895e-01,58076760.0000,51234560.0000,8.8218695395542035e-01,3.1933000000000000e+04,"A1",1.6390000000000001e+01,1393412930.0000,2884994064.2604,2.8400000000000000e+02,4.9242200861001353e-02,3.7100000000000001e+01,5.3582300000000005e+03,"COG of Central Naugatuck Valley"
"NEW BRITAIN","VR",2.0060000000000000e+03,9.0000000000000000e+01,8.9000000000000000e+01,"H",103955000.0000,-27256000.0000,79386000.0000,17141000.0000,96815000.0000,95175000.0000,205958000.0000,118050000.0000,24841000.0000,181618000.0000,7180000.0000,7180000.0000,28574000.0000,28574000.0000,2946000.0000,1014000.0000,2946000.0000,0.0000,,184236000.0000,184236000.0000,2990000.0000,0.0000,11970000.0000,"N",8980000.0000,"N","N",94516000.0000,91538000.0000,9.6849210715646028e-01,102876000.0000,93813000.0000,9.1190365099731718e-01,7.0855000000000000e+04,"A3",1.3340000000000000e+01,2052289939.0000,4101710436.8421,2.9800000000000000e+03,6.6605488292235282e-02,4.5890000000000001e+01,1.1248940000000001e+04,"Central CT RPA"
"NEW CANAAN","VR",2.0060000000000000e+03,9.1000000000000000e+01,9.0000000000000000e+01,"F",59124585.0000,21833525.0000,80958110.0000,19046203.0000,5445853.0000,90145112.0000,103087388.0000,60292896.0000,10146627.0000,98863047.0000,0.0000,140000.0000,2121333.0000,2121333.0000,2103008.0000,1295352.0000,2243008.0000,0.0000,,130664812.0000,130664812.0000,2498378.0000,1257295.0000,13690115.0000,"N",11191737.0000,"N","N",89850447.0000,89447765.0000,9.9551830832850507e-01,90664000.0000,89756600.0000,9.8999161740051178e-01,1.9976000000000000e+04,"Aaa",2.2129999999999999e+01,6709116950.0000,11966184456.6611,3.0000000000000000e+00,2.7591688429658225e-02,1.3388999999999999e+01,4.1825600000000004e+03,"South Western RPA"
"NEW FAIRFIELD","IT",2.0060000000000000e+03,9.2000000000000000e+01,9.1000000000000000e+01,"F",23246575.0000,16243103.0000,39740821.0000,2926575.0000,7251829.0000,34188202.0000,43500783.0000,26889297.0000,2380916.0000,41655643.0000,6287.0000,34351.0000,880876.0000,880876.0000,970551.0000,555936.0000,998615.0000,0.0000,,16197410.0000,16197410.0000,678560.0000,0.0000,6129718.0000,"N",5451158.0000,"N","N",34017109.0000,33811366.0000,9.9395177879460594e-01,34329794.0000,34018612.0000,9.9093551216765241e-01,1.4248000000000000e+04,"Aa2",2.0460000000000001e+01,1789222293.0000,2557947818.5714,2.2000000000000000e+01,3.2775919732441469e-02,1.9070000000000000e+01,3.0537200000000003e+03,"Housatonic Council of Elected Ofcls"
"NEW HARTFORD","IT",2.0060000000000000e+03,9.3000000000000000e+01,9.2000000000000000e+01,"L",5087155.0000,5371047.0000,10462882.0000,3208769.0000,4617517.0000,14668467.0000,20410523.0000,14128810.0000,1583379.0000,22539477.0000,9289.0000,2464289.0000,237717.0000,237717.0000,-2357382.0000,196575.0000,97618.0000,0.0000,4133200.0662,7600000.0000,11733200.0662,0.0000,368075.0000,2387363.0000,"N",2387363.0000,"N","N",14605625.0000,14449498.0000,9.8931048825366941e-01,14860446.0000,14594090.0000,9.8207617725605278e-01,6.7940000000000000e+03,"A2",3.7020000000000003e+01,549668263.0000,955389041.8513,9.0000000000000000e+00,3.4970635344367326e-02,2.6500000000000000e+01,1.1502600000000000e+03,"Litchfield Hills Cncl of Elected Ofcls"
"NEW HAVEN","IT",2.0060000000000000e+03,9.4000000000000000e+01,9.3000000000000000e+01,"NH",475295189.0000,-68687186.0000,441124478.0000,70603551.0000,206882655.0000,171146908.0000,411727439.0000,174302677.0000,58427299.0000,411683158.0000,0.0000,0.0000,0.0000,0.0000,44281.0000,30895.0000,44281.0000,0.0000,,514143554.0000,514143554.0000,0.0000,0.0000,13023677.0000,"N",13023677.0000,"Y","Y",168035275.0000,165513357.0000,9.8499173462238809e-01,173716347.0000,167684143.0000,9.6527555348605165e-01,1.2422000000000000e+05,"A3",1.8850000000000001e+01,3978077491.0000,8966234948.5811,5.9310000000000000e+03,6.8256759727412616e-02,4.2530000000000001e+01,1.9406220000000001e+04,"South Central Regional COG"
"NEW LONDON","IT",2.0060000000000000e+03,9.5000000000000000e+01,9.5000000000000000e+01,"NL",70913335.0000,24455725.0000,95369060.0000,16811765.0000,34908845.0000,35760417.0000,76945730.0000,39198927.0000,3632076.0000,73812814.0000,0.0000,0.0000,448007.0000,448007.0000,2684909.0000,-3075599.0000,2684909.0000,0.0000,,24255264.0000,24255264.0000,32442.0000,145757.0000,6939170.0000,"N",6906728.0000,"N","N",36194962.0000,35305137.0000,9.7541577747753960e-01,39457378.0000,35774057.0000,9.0665063958380609e-01,2.5979000000000000e+04,"A1",5.5400000000000000e+00,1227512038.0000,2304168202.7850,8.7500000000000000e+02,5.4318064086435282e-02,2.8609999999999999e+01,3.5309900000000002e+03,"Southeastern CT COG"
"NEW MILFORD","IT",2.0060000000000000e+03,9.6000000000000000e+01,9.6000000000000000e+01,"L",86661171.0000,70939196.0000,157600367.0000,4596654.0000,18745760.0000,60091399.0000,84911303.0000,53410257.0000,7417801.0000,82906975.0000,1044492.0000,1288874.0000,1577749.0000,1577749.0000,1471071.0000,978751.0000,1715453.0000,0.0000,,48176869.0000,48176869.0000,1512255.0000,3089815.0000,15260967.0000,"Y",13748712.0000,"N","N",59863007.0000,58702643.0000,9.8061634291107358e-01,61843441.0000,59444450.0000,9.6120864296668096e-01,2.8694000000000000e+04,"Aa2",6.1579999999999998e+01,2201156246.0000,4822482900.5550,8.8000000000000000e+01,3.3877272445244154e-02,2.7109999999999999e+01,5.0038900000000003e+03,"Housatonic Council of Elected Ofcls"
"NEWINGTON","IT",2.0060000000000000e+03,9.7000000000000000e+01,9.4000000000000000e+01,"H",45677000.0000,22930000.0000,69086000.0000,11077000.0000,14505000.0000,64813000.0000,84886000.0000,50265000.0000,3605000.0000,80046000.0000,95000.0000,95000.0000,3287000.0000,3287000.0000,1648000.0000,1197000.0000,1648000.0000,0.0000,,23437000.0000,23437000.0000,1721000.0000,2000000.0000,13408000.0000,"N",11687000.0000,"N","N",64878000.0000,63971000.0000,9.8601991430068747e-01,66021000.0000,64366000.0000,9.7493221853652623e-01,2.9586000000000000e+04,"Aa3",1.3170000000000000e+01,1771421132.0000,4051823902.0550,9.7000000000000000e+01,3.8426068244697201e-02,3.6430000000000000e+01,4.5868400000000001e+03,"Capital Region COG"
"NEWTOWN","VR",2.0060000000000000e+03,9.8000000000000000e+01,9.7000000000000000e+01,"F",107382867.0000,22570067.0000,133492505.0000,9644576.0000,10091809.0000,76815298.0000,91438830.0000,58894570.0000,7459423.0000,91146093.0000,300000.0000,300000.0000,125000.0000,125000.0000,467737.0000,-442039.0000,467737.0000,0.0000,,61923009.0000,61923009.0000,1966115.0000,2312535.0000,7642611.0000,"N",5676496.0000,"N","N",76226450.0000,75533854.0000,9.9091396752701977e-01,77450449.0000,76250937.0000,9.8451252361364616e-01,2.7034000000000000e+04,"Aa2",5.7759999999999998e+01,2919546421.0000,5446999350.2536,3.7000000000000000e+01,3.0781205774129634e-02,2.6100000000000001e+01,5.7472600000000002e+03,"Housatonic Council of Elected Ofcls"
"NORFOLK","VR",2.0060000000000000e+03,9.9000000000000000e+01,9.8000000000000000e+01,"L",3911983.0000,2095151.0000,6007134.0000,132708.0000,855347.0000,5256884.0000,6481858.0000,3760449.0000,134378.0000,6206979.0000,1558.0000,1558.0000,155810.0000,155810.0000,120627.0000,100387.0000,120627.0000,0.0000,879594.1817,355000.0000,1234594.1817,125000.0000,0.0000,1100103.0000,"N",975103.0000,"N","N",5242386.0000,5158184.0000,9.8393822965344402e-01,5392930.0000,5216653.0000,9.6731331576712476e-01,1.6780000000000000e+03,"A3",4.5310000000000002e+01,202392722.0000,386583624.1839,1.1000000000000000e+01,3.9029535864978905e-02,2.5800000000000001e+01,2.7582999999999998e+02,"Litchfield Hills Cncl of Elected Ofcls"
"NORTH BRANFORD","VR",2.0060000000000000e+03,1.0000000000000000e+02,9.9000000000000000e+01,"NH",38548547.0000,13395712.0000,54373427.0000,786326.0000,9653772.0000,28646777.0000,39211194.0000,25672515.0000,2837878.0000,38424722.0000,335629.0000,352119.0000,444363.0000,444363.0000,677738.0000,579429.0000,694228.0000,0.0000,,25253533.0000,25253533.0000,643951.0000,350000.0000,4715701.0000,"N",4071750.0000,"N","N",27635755.0000,27603788.0000,9.9884327386749516e-01,27997894.0000,27768134.0000,9.9179366848092221e-01,1.4478000000000000e+04,"A1",2.4920000000000002e+01,892270041.0000,1965766156.1936,3.0000000000000000e+01,4.0577965081276340e-02,3.0699999999999999e+01,2.5966599999999999e+03,"South Central Regional COG"
"NORTH CANAAN","IT",2.0060000000000000e+03,1.0100000000000000e+02,1.0000000000000000e+02,"L",6172161.0000,942496.0000,8430588.0000,696164.0000,2597414.0000,5972332.0000,8864191.0000,6432403.0000,383715.0000,8752643.0000,0.0000,195000.0000,0.0000,196476.0000,111548.0000,-429883.0000,110072.0000,0.0000,1147504.8871,1327992.0000,2475496.8871,0.0000,0.0000,263573.0000,"N",263573.0000,"N","N",5928929.0000,5837692.0000,9.8461155463322292e-01,6171877.0000,5932382.0000,9.6119575940998181e-01,3.3880000000000000e+03,"A3",1.9449999999999999e+01,241066630.0000,488683484.0632,1.6000000000000000e+01,3.8461538461538464e-02,2.4400000000000002e+01,5.1175000000000000e+02,"Northwestern CT COG"
"NORTH HAVEN","IT",2.0060000000000000e+03,1.0200000000000000e+02,1.0100000000000000e+02,"NH",57072423.0000,9605058.0000,68764810.0000,12183297.0000,6600214.0000,63125559.0000,75476227.0000,40128977.0000,3945274.0000,72925487.0000,126670.0000,441670.0000,476678.0000,476678.0000,2200732.0000,-812419.0000,2515732.0000,0.0000,,50407232.0000,50407232.0000,2507665.0000,0.0000,9401185.0000,"N",6893520.0000,"N","N",62797689.0000,61733322.0000,9.8305085717405938e-01,66495360.0000,62671979.0000,9.4250153694934502e-01,2.4077000000000000e+04,"Aa2",2.0770000000000000e+01,1949045731.0000,4550897714.5707,7.5000000000000000e+01,3.9416058394160583e-02,3.2170000000000002e+01,3.9576600000000003e+03,"South Central Regional COG"
"NORTH STONINGTON","VR",2.0060000000000000e+03,1.0300000000000000e+02,1.0200000000000000e+02,"NL",4490650.0000,5632016.0000,10122666.0000,441175.0000,5129001.0000,11280220.0000,17219417.0000,11033361.0000,1037897.0000,16853403.0000,0.0000,100249.0000,295000.0000,295000.0000,71014.0000,-60527.0000,171263.0000,0.0000,,4887477.0000,4887477.0000,643350.0000,0.0000,1906139.0000,"N",1262789.0000,"N","N",11255760.0000,10984282.0000,9.7588097116498573e-01,11594097.0000,11222127.0000,9.6791729446458830e-01,5.2090000000000000e+03,"A3",5.4300000000000004e+01,371093846.0000,859732688.6138,1.3000000000000000e+01,3.4630707937480847e-02,3.0000000000000000e+01,8.6055000000000007e+02,"Southeastern CT COG"
"NORWALK","VR",2.0060000000000000e+03,1.0400000000000000e+02,1.0300000000000000e+02,"F",185092240.0000,40208740.0000,225300980.0000,20574941.0000,27086112.0000,206567186.0000,251641490.0000,142256785.0000,17545702.0000,250411344.0000,0.0000,0.0000,0.0000,0.0000,1230146.0000,11146756.0000,1230146.0000,0.0000,,171864977.0000,171864977.0000,289062.0000,0.0000,32647981.0000,"N",32358919.0000,"N","N",208336045.0000,205246526.0000,9.8517050182074828e-01,211692115.0000,207843257.0000,9.8181860481671701e-01,8.4344000000000000e+04,"Aaa",2.2809999999999999e+01,8341002269.0000,15734793669.0274,5.9900000000000000e+02,3.6660473078769913e-02,2.5100000000000001e+01,1.0991540000000001e+04,"South Western RPA"
