MUNICIPALITY,NUMBERED,TOWN CODE,2014 Net GL,2014 GL Tax Exempt Property,Total Assessed Value 2014 GL,Tax Exempt Property as a % of 2014 GL
"THOMPSON",1.4200000000000000e+02,1.4100000000000000e+02,5.8323893000000000e+08,5.5887734000000000e+07,6.3912666400000000e+08,8.7443909240500717e-02
"TOLLAND",1.4300000000000000e+02,1.4200000000000000e+02,1.2551767450000000e+09,1.4637111500000000e+08,1.4015478600000000e+09,1.0443533123442535e-01
"TORRINGTON",1.4400000000000000e+02,1.4300000000000000e+02,1.9284463850000000e+09,2.2337075000000000e+08,2.1518171350000000e+09,1.0380563774068097e-01
"TRUMBULL",1.4500000000000000e+02,1.4400000000000000e+02,4.5206758820000000e+09,3.0641355000000000e+08,4.8270894320000000e+09,6.3477910305267365e-02
"UNION",1.4600000000000000e+02,1.4500000000000000e+02,9.0011560000000000e+07,9.9415200000000000e+06,9.9953080000000000e+07,9.9461867508234866e-02
"VERNON",1.4700000000000000e+02,1.4600000000000000e+02,1.7670870180000000e+09,2.3151018000000000e+08,1.9985971980000000e+09,1.1583633772311533e-01
"VOLUNTOWN",1.4800000000000000e+02,1.4700000000000000e+02,2.0173072800000000e+08,1.8104410000000000e+07,2.1983513800000000e+08,8.2354486933749416e-02
"WALLINGFORD",1.4900000000000000e+02,1.4800000000000000e+02,4.2682110000000000e+09,6.4052450000000000e+08,4.9087355000000000e+09,1.3048665995550177e-01
"WARREN",1.5000000000000000e+02,1.4900000000000000e+02,3.5284314000000000e+08,1.8430120000000000e+07,3.7127326000000000e+08,4.9640310751170175e-02
"WASHINGTON",1.5100000000000000e+02,1.5000000000000000e+02,1.0961647240000000e+09,1.7997283000000000e+08,1.2761375540000000e+09,1.4102933452266384e-01
"WATERBURY",1.5200000000000000e+02,1.5100000000000000e+02,4.0748484770000000e+09,1.6388830910000000e+09,5.7137315680000000e+09,2.8683235666488699e-01
"WATERFORD",1.5300000000000000e+02,1.5200000000000000e+02,3.1583317220000000e+09,2.8056028800000000e+08,3.4388920100000000e+09,8.1584500817168726e-02
"WATERTOWN",1.5400000000000000e+02,1.5300000000000000e+02,1.7370246680000000e+09,1.9319320000000000e+08,1.9302178680000000e+09,1.0008880510477172e-01
"WEST HARTFORD",1.5500000000000000e+02,1.5500000000000000e+02,5.9461704760000000e+09,7.6237280000000000e+08,6.7085432760000000e+09,1.1364207826271464e-01
"WEST HAVEN",1.5600000000000000e+02,1.5600000000000000e+02,2.8533710080000000e+09,6.4956105000000000e+08,3.5029320580000000e+09,1.8543352804018332e-01
"WESTBROOK",1.5700000000000000e+02,1.5400000000000000e+02,1.1601976920000000e+09,9.1447613000000000e+07,1.2516453050000000e+09,7.3061923082114705e-02
"WESTON",1.5800000000000000e+02,1.5700000000000000e+02,2.3417940690000000e+09,1.9915588000000000e+08,2.5409499490000000e+09,7.8378513547021467e-02
"WESTPORT",1.5900000000000000e+02,1.5800000000000000e+02,1.0089688656000000e+10,1.1712194000000000e+09,1.1260908056000000e+10,1.0400754487787107e-01
"WETHERSFIELD",1.6000000000000000e+02,1.5900000000000000e+02,2.2134007300000000e+09,1.9210680000000000e+08,2.4055075300000000e+09,7.9861234107215615e-02
"WILLINGTON",1.6100000000000000e+02,1.6000000000000000e+02,4.3915689000000000e+08,2.5777020000000000e+07,4.6493391000000000e+08,5.5442331577836512e-02
"WILTON",1.6200000000000000e+02,1.6100000000000000e+02,4.2961910500000000e+09,4.3456330000000000e+08,4.7307543500000000e+09,9.1859197888810265e-02
"WINCHESTER",1.6300000000000000e+02,1.6200000000000000e+02,6.9262558700000000e+08,7.4275640000000000e+07,7.6690122700000000e+08,9.6851637975016572e-02
"WINDHAM",1.6400000000000000e+02,1.6300000000000000e+02,8.7791710900000000e+08,5.9861327000000000e+08,1.4765303790000000e+09,4.0541886473437738e-01
