Municipality,numbered,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Total_Net_Pension_Liability,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2016 Population,Moody's_Bond_Ratings_Latest,Date of Latest Moody's Ratings,Moody's_Bond_Ratings_July_2016,ACGLFY16,EGL,TANF16 Recipients,empl,ACMR,enrollmt,TFA16 Recipients
"DERBY",37,37,"NH",49770818.0000,-18911744.0000,30868006.0000,-6852891.0000,0.0000,0.0000,0.0000,0.0000,1038354.0000,1038354.0000,1038354.0000,"N",15541595.0000,27125675.0000,45897112.0000,23611655.0000,1253566.0000,47376519.0000,56350.0000,13198934.0000,8680000.0000,12781743.0000,-10103057.0000,-616429.0000,-1062216.0000,0.0000,,14919251.0000,14919251.0000,8404568.0000,26742066.0000,26191631.0000,9.7941688574098951e-01,27799630.0000,26662463.0000,9.5909416780007506e-01,1.2631000000000000e+04,,"2017-07-18 00:00:00",,748833439.0000,975413502.5358,1.1800000000000000e+02,6.2536613942589345e-02,3.5740000000000002e+01,1.5445999999999999e+03,1.2650000000000000e+02
"DURHAM",38,38,"M",38694185.0000,5534280.0000,44259993.0000,122876.0000,2500.0000,0.0000,0.0000,430623.0000,3699546.0000,3266423.0000,3697046.0000,"N",4549804.0000,25756035.0000,30733291.0000,23363540.0000,0.0000,29810362.0000,626805.0000,765702.0000,744311.0000,744311.0000,805423.0000,192835.0000,944320.0000,0.0000,5918824.7136,138897.0000,6057721.7136,1178670.0000,25213085.0000,24973884.0000,9.9051282300440424e-01,25796046.0000,25388873.0000,9.8421568173665064e-01,7.2550000000000000e+03,,"2017-07-18 00:00:00",,747833507.0000,1046399210.5412,3.0000000000000000e+00,3.4853801169590644e-02,3.3740000000000002e+01,1.1519700000000000e+03,4.0000000000000000e+00
"EAST GRANBY",39,40,"H",24691528.0000,3329783.0000,28896650.0000,-209044.0000,43416.0000,0.0000,0.0000,749671.0000,3795588.0000,3002501.0000,3752172.0000,"N",2989198.0000,17954915.0000,21213635.0000,15333060.0000,675263.0000,20507643.0000,0.0000,0.0000,550000.0000,550000.0000,155992.0000,-186299.0000,155992.0000,0.0000,,5788048.0000,5788048.0000,0.0000,17787323.0000,17609736.0000,9.9001609179751215e-01,18239152.0000,17853473.0000,9.7885433489451701e-01,5.1700000000000000e+03,"Aa2","2017-07-18 00:00:00","Aa2",581485097.0000,895211928.4623,4.0000000000000000e+00,4.2926829268292686e-02,3.0399999999999999e+01,9.0679999999999995e+02,5.0000000000000000e+00
"EAST HADDAM",40,41,"M",62128420.0000,15230572.0000,77798785.0000,2008362.0000,0.0000,0.0000,0.0000,411480.0000,4563643.0000,4152163.0000,4563643.0000,"N",6679889.0000,24855533.0000,32451011.0000,21557488.0000,2078153.0000,30519365.0000,319257.0000,319257.0000,2432076.0000,2432076.0000,-181173.0000,323312.0000,-181173.0000,0.0000,,15530000.0000,15530000.0000,489314.0000,24498985.0000,24228119.0000,9.8894378685484319e-01,24929788.0000,24571317.0000,9.8562077623764788e-01,9.0230000000000000e+03,,"2017-07-18 00:00:00",,852756014.0000,1205467438.7247,2.0000000000000000e+01,4.7056467761313579e-02,2.8680000000000000e+01,1.1068499999999999e+03,2.3500000000000000e+01
"EAST HAMPTON",41,42,"M",84059272.0000,7422392.0000,92305897.0000,8759827.0000,0.0000,0.0000,0.0000,0.0000,4959395.0000,4959395.0000,4959395.0000,"N",11433052.0000,31981176.0000,44057329.0000,31881405.0000,1098387.0000,42726416.0000,56000.0000,56000.0000,1491918.0000,1491918.0000,-105005.0000,191891.0000,-105005.0000,0.0000,,28849267.0000,28849267.0000,10453647.0000,31836966.0000,31191920.0000,9.7973908694691569e-01,33481828.0000,31614989.0000,9.4424321754475293e-01,1.2869000000000000e+04,"Aa3","2017-07-18 00:00:00","Aa3",1141219493.0000,1649862985.5972,3.4000000000000000e+01,4.3421736869474779e-02,2.7780000000000001e+01,1.9840200000000000e+03,3.8500000000000000e+01
"EAST HARTFORD",42,43,"H",102090000.0000,-200467000.0000,-98223000.0000,-21350000.0000,0.0000,0.0000,0.0000,961000.0000,17273000.0000,16312000.0000,17273000.0000,"N",66149000.0000,124808000.0000,202305000.0000,106475000.0000,10871000.0000,200564000.0000,945000.0000,945000.0000,1709000.0000,1709000.0000,977000.0000,1703000.0000,977000.0000,0.0000,,58167000.0000,58167000.0000,180901000.0000,124388000.0000,121082000.0000,9.7342187349261988e-01,128062000.0000,123410000.0000,9.6367384548109514e-01,5.0237000000000000e+04,"Aa3","2017-07-21 00:00:00","Aa2",2689464641.0000,3798403109.1793,7.4900000000000000e+02,6.4658664113704981e-02,4.5859999999999999e+01,8.0920900000000001e+03,8.6300000000000000e+02
"EAST HAVEN",43,44,"NH",54687757.0000,-29130547.0000,27553566.0000,-4183425.0000,0.0000,0.0000,0.0000,0.0000,4984714.0000,4984714.0000,4984714.0000,"N",26073319.0000,64114541.0000,93175378.0000,52743757.0000,5816578.0000,92066517.0000,25015.0000,25015.0000,0.0000,0.0000,1133876.0000,1298862.0000,1133876.0000,0.0000,,26845958.0000,26845958.0000,1655172.0000,63039498.0000,61734456.0000,9.7929802677045430e-01,66060761.0000,62697703.0000,9.4909144325479389e-01,2.8807000000000000e+04,"A3","2017-07-18 00:00:00","A3",1995443160.0000,2668818625.2815,2.3200000000000000e+02,5.7079223671651289e-02,3.1550000000000001e+01,3.4143800000000001e+03,2.4900000000000000e+02
"EAST LYME",44,45,"NL",60613859.0000,3177394.0000,63813779.0000,-1640150.0000,0.0000,0.0000,0.0000,744511.0000,5893895.0000,5149384.0000,5893895.0000,"N",14377198.0000,51942736.0000,72897907.0000,50487799.0000,8385735.0000,74316775.0000,852464.0000,1622193.0000,329800.0000,329800.0000,-896204.0000,-390403.0000,-126475.0000,0.0000,,52494603.0000,52494603.0000,6575595.0000,51695402.0000,51134063.0000,9.8914141338914441e-01,53255143.0000,51697362.0000,9.7074872186522909e-01,1.8886000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",2086779308.0000,3067459764.8127,2.3000000000000000e+01,4.8355224921539000e-02,2.4710000000000001e+01,2.6159499999999998e+03,2.8000000000000000e+01
"EAST WINDSOR",45,47,"H",47177997.0000,10630484.0000,57878358.0000,2406668.0000,0.0000,0.0000,303401.0000,895256.0000,9194640.0000,7995983.0000,9194640.0000,"N",8686073.0000,29484942.0000,38819780.0000,24287205.0000,1063396.0000,37544532.0000,29772.0000,29772.0000,801000.0000,801000.0000,504020.0000,1239267.0000,504020.0000,0.0000,,6357667.0000,6357667.0000,5495643.0000,29107370.0000,28771731.0000,9.8846893415653836e-01,30263882.0000,29179836.0000,9.6418020662385617e-01,1.1355000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",951587151.0000,1390247740.9298,4.7000000000000000e+01,5.3433939020634431e-02,3.0309999999999999e+01,1.2034100000000001e+03,5.1500000000000000e+01
"EASTFORD",46,39,"W",4150743.0000,1141361.0000,5358651.0000,218582.0000,0.0000,1109.0000,437194.0000,52028.0000,1808737.0000,1318406.0000,1807628.0000,"Y",1717920.0000,3575250.0000,5443372.0000,3987911.0000,97261.0000,5227021.0000,0.0000,0.0000,430000.0000,430000.0000,-213649.0000,215443.0000,-213649.0000,0.0000,,153054.0000,153054.0000,0.0000,3559423.0000,3485316.0000,9.7918005249727269e-01,3678872.0000,3547215.0000,9.6421267171024161e-01,1.7500000000000000e+03,,"2017-07-18 00:00:00",,141728950.0000,194982983.1740,1.0000000000000000e+00,3.8988408851422553e-02,2.5109999999999999e+01,1.7850000000000000e+02,1.5000000000000000e+00
"EASTON",47,46,"F",63906406.0000,6376803.0000,70481820.0000,2718832.0000,0.0000,0.0000,0.0000,640000.0000,6945761.0000,6305761.0000,6945761.0000,"N",2808762.0000,41275805.0000,45911791.0000,29448104.0000,3071256.0000,44255566.0000,26568.0000,26568.0000,913992.0000,913992.0000,768801.0000,1076706.0000,768801.0000,0.0000,5739430.0558,19737400.0000,25476830.0558,4746391.0000,40356348.0000,39838185.0000,9.8716030994677717e-01,41765322.0000,40666423.0000,9.7368872194975531e-01,7.5610000000000000e+03,,"2017-07-18 00:00:00",,1330424935.0000,1953053184.8121,6.0000000000000000e+00,3.6902286902286904e-02,3.0379999999999999e+01,1.3939000000000001e+03,5.5000000000000000e+00
"ELLINGTON",48,48,"T",62378909.0000,883399.0000,66992763.0000,2368019.0000,0.0000,0.0000,5964646.0000,4472781.0000,12187762.0000,1750335.0000,12187762.0000,"N",15048775.0000,40924360.0000,57771273.0000,39371523.0000,2807112.0000,56547756.0000,0.0000,0.0000,49000.0000,49000.0000,1174517.0000,-31539.0000,1174517.0000,0.0000,,20450149.0000,20450149.0000,2853323.0000,40405603.0000,40168926.0000,9.9414247078554918e-01,41269018.0000,40706789.0000,9.8637648707803027e-01,1.6071000000000000e+04,"Aa3","2017-07-18 00:00:00","Aa3",1311375929.0000,1881408137.2072,2.6000000000000000e+01,4.3618047368985106e-02,3.0500000000000000e+01,2.7327100000000000e+03,3.2000000000000000e+01
"ENFIELD",49,49,"H",267221000.0000,-17670000.0000,251252000.0000,9749000.0000,3521000.0000,0.0000,1889000.0000,3110000.0000,26590000.0000,18070000.0000,23069000.0000,"N",45301000.0000,86628000.0000,140213000.0000,75996000.0000,6008000.0000,137704000.0000,391000.0000,1530000.0000,3251000.0000,3251000.0000,-351000.0000,2337000.0000,788000.0000,0.0000,,60012000.0000,60012000.0000,18430000.0000,86125000.0000,84487000.0000,9.8098113207547166e-01,91156000.0000,85956000.0000,9.4295493439817457e-01,4.4368000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",2877277903.0000,4163607597.3267,2.9600000000000000e+02,5.5397113473338519e-02,2.9890000000000001e+01,5.5527799999999997e+03,3.3950000000000000e+02
"ESSEX",50,50,"M",15237632.0000,1306880.0000,16544512.0000,639566.0000,75414.0000,0.0000,275000.0000,475844.0000,3805263.0000,2979005.0000,3729849.0000,"N",1341581.0000,22025103.0000,24056846.0000,16305340.0000,956475.0000,23163580.0000,0.0000,0.0000,426322.0000,426322.0000,466944.0000,99432.0000,466944.0000,0.0000,4404185.4142,7899791.0000,12303976.4142,2945424.0000,21881159.0000,21677932.0000,9.9071223786637630e-01,22353002.0000,21927546.0000,9.8096649389643498e-01,6.5390000000000000e+03,"Aa2","2017-07-18 00:00:00","Aa2",1036820170.0000,1561401317.4866,5.0000000000000000e+00,3.8878842676311032e-02,2.1079999999999998e+01,8.1341999999999996e+02,5.5000000000000000e+00
"FAIRFIELD",51,51,"F",274649000.0000,5641000.0000,287333000.0000,8992000.0000,0.0000,0.0000,0.0000,825000.0000,28260000.0000,27435000.0000,28260000.0000,"N",26820000.0000,270365000.0000,312899000.0000,180029000.0000,24749000.0000,308062000.0000,0.0000,0.0000,1700000.0000,1700000.0000,3137000.0000,3140000.0000,3137000.0000,0.0000,,195829000.0000,195829000.0000,49620000.0000,269553000.0000,266010000.0000,9.8685601718400462e-01,276300000.0000,268830000.0000,9.7296416938110752e-01,6.1160000000000000e+04,"Aaa","2017-07-18 00:00:00","Aaa",10975624915.0000,16170416830.2226,2.7000000000000000e+01,4.4230175342277731e-02,2.4789999999999999e+01,1.0125969999999999e+04,3.4000000000000000e+01
"FARMINGTON",52,52,"H",100438073.0000,-15558559.0000,84879514.0000,1146620.0000,0.0000,0.0000,0.0000,370383.0000,11275021.0000,10904638.0000,11275021.0000,"N",13153469.0000,89179689.0000,104543428.0000,67188409.0000,6849514.0000,100499242.0000,0.0000,0.0000,3630815.0000,3630815.0000,413371.0000,1187460.0000,413371.0000,0.0000,,39426591.0000,39426591.0000,33095114.0000,88868429.0000,88652994.0000,9.9757579826239529e-01,89372865.0000,88955769.0000,9.9533308012448740e-01,2.5524000000000000e+04,"Aaa","2017-07-18 00:00:00","Aaa",3532450005.0000,5115009588.9913,3.5000000000000000e+01,3.7896529699808390e-02,2.5100000000000001e+01,4.0484699999999998e+03,3.9000000000000000e+01
"FRANKLIN",53,53,"NL",8015774.0000,1594698.0000,9611529.0000,155502.0000,0.0000,0.0000,0.0000,56274.0000,932804.0000,876530.0000,932804.0000,"Y",1656383.0000,4780592.0000,6669080.0000,4455436.0000,257012.0000,6312120.0000,0.0000,0.0000,407827.0000,407827.0000,-50867.0000,138451.0000,-50867.0000,0.0000,,1418702.0000,1418702.0000,0.0000,4759484.0000,4679291.0000,9.8315090459385934e-01,4849866.0000,4737193.0000,9.7676781172923133e-01,1.9550000000000000e+03,,"2017-07-18 00:00:00",,191400520.0000,302603371.8101,3.0000000000000000e+00,4.8643592142188961e-02,2.4719999999999999e+01,2.5513999999999999e+02,2.0000000000000000e+00
"GLASTONBURY",54,54,"H",228343977.0000,13031950.0000,241384454.0000,-858685.0000,217267.0000,0.0000,0.0000,1001234.0000,27062231.0000,25843730.0000,26844964.0000,"N",19628137.0000,140255321.0000,165595208.0000,110736179.0000,10005360.0000,158639207.0000,0.0000,30971.0000,5631300.0000,5631300.0000,1324701.0000,-1209852.0000,1355672.0000,0.0000,,73062844.0000,73062844.0000,55489150.0000,139990757.0000,139364464.0000,9.9552618320365249e-01,141048099.0000,140178023.0000,9.9383135252322685e-01,3.4584000000000000e+04,"Aaa","2017-07-18 00:00:00","Aaa",3871305346.0000,5895699481.5045,6.2000000000000000e+01,3.5980739721678395e-02,3.6100000000000001e+01,6.2125100000000002e+03,7.3000000000000000e+01
"GOSHEN",55,55,"L",5285706.0000,3605497.0000,9813387.0000,601796.0000,17109.0000,0.0000,25284.0000,500886.0000,2259211.0000,1715932.0000,2242102.0000,"N",299172.0000,10099665.0000,10588537.0000,7108614.0000,0.0000,9705151.0000,51100.0000,51100.0000,707520.0000,707520.0000,226966.0000,177541.0000,226966.0000,0.0000,1493651.5747,0.0000,1493651.5747,95101.0000,10033284.0000,9999809.0000,9.9666360485759198e-01,10119835.0000,10057544.0000,9.9384466248708603e-01,2.8910000000000000e+03,,"2017-07-18 00:00:00",,523351320.0000,747314239.1235,2.0000000000000000e+00,4.1894353369763208e-02,1.9100000000000001e+01,3.5529000000000002e+02,4.5000000000000000e+00
"GRANBY",56,56,"H",48090657.0000,9500389.0000,57844685.0000,-613097.0000,0.0000,0.0000,7541.0000,1662011.0000,4681934.0000,3012382.0000,4681934.0000,"N",10183360.0000,34955039.0000,45927999.0000,31216353.0000,3756355.0000,44629350.0000,1005517.0000,1005517.0000,1891992.0000,1891992.0000,412174.0000,-331295.0000,412174.0000,0.0000,,22766095.0000,22766095.0000,3981170.0000,34856873.0000,34534519.0000,9.9075206774859004e-01,35426903.0000,34837308.0000,9.8335742190052566e-01,1.1247000000000000e+04,,"2017-07-18 00:00:00",,965474890.0000,1397925266.0440,4.0000000000000000e+00,3.7702241353718274e-02,3.6219999999999999e+01,1.9206199999999999e+03,4.5000000000000000e+00
"GREENWICH",57,57,"F",490342269.0000,-64541808.0000,426445527.0000,18320751.0000,0.0000,0.0000,0.0000,30870368.0000,56174828.0000,25304460.0000,56174828.0000,"N",29010055.0000,350698456.0000,411612235.0000,167235645.0000,31711448.0000,397295357.0000,7004529.0000,7004529.0000,19080000.0000,19080000.0000,2241407.0000,6633285.0000,2241407.0000,0.0000,,151193490.0000,151193490.0000,163699528.0000,349798076.0000,347270028.0000,9.9277283617763523e-01,355642189.0000,348878893.0000,9.8098286365007159e-01,6.2359000000000000e+04,"Aaa","2017-07-18 00:00:00","Aaa",31086586390.0000,50031483545.4049,9.7000000000000000e+01,3.8855871824279707e-02,1.1271000000000001e+01,8.6817000000000007e+03,1.0500000000000000e+02
"GRISWOLD",58,58,"NL",88519928.0000,2609180.0000,91561843.0000,4829182.0000,13757.0000,0.0000,0.0000,420203.0000,4217006.0000,3783046.0000,4203249.0000,"N",14602820.0000,19096517.0000,36019820.0000,28599440.0000,1749362.0000,34848180.0000,0.0000,17248790.0000,1244560.0000,18135719.0000,-72920.0000,-32694.0000,284711.0000,0.0000,,14815200.0000,14815200.0000,2848256.0000,18841208.0000,18375139.0000,9.7526331644977327e-01,19799047.0000,18811525.0000,9.5012275085765496e-01,1.1719000000000000e+04,,"2017-07-18 00:00:00",,705810105.0000,963919193.4995,9.8000000000000000e+01,6.2887089090042883e-02,2.6570000000000000e+01,1.7870200000000000e+03,1.1650000000000000e+02
"GROTON",59,59,"NL",162347720.0000,17012268.0000,179700955.0000,-3084193.0000,0.0000,0.0000,666693.0000,2026112.0000,12790032.0000,10097227.0000,12790032.0000,"N",43716941.0000,80035498.0000,126267855.0000,84010289.0000,6380310.0000,128364974.0000,908951.0000,908951.0000,2788400.0000,2788400.0000,-3976568.0000,-1722244.0000,-3976568.0000,0.0000,,49831703.0000,49831703.0000,20245383.0000,79533483.0000,78407602.0000,9.8584393694917150e-01,81560783.0000,79385868.0000,9.7333381411995512e-01,3.9261000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",3820151399.0000,5265116791.6845,2.2600000000000000e+02,4.6510356889107506e-02,2.0949999999999999e+01,4.9037399999999998e+03,2.6200000000000000e+02
"GROTON (City of)",60,501,,21611939.0000,7956547.0000,30172486.0000,-75869.0000,34814.0000,0.0000,0.0000,400000.0000,3898189.0000,3463375.0000,3863375.0000,"N",221886.0000,7041746.0000,13031733.0000,0.0000,762294.0000,16192308.0000,3587412.0000,3587412.0000,0.0000,0.0000,426837.0000,-682538.0000,426837.0000,0.0000,,4455000.0000,4455000.0000,3161967.0000,7015746.0000,6958218.0000,9.9180015924179699e-01,7081340.0000,7007460.0000,9.8956694636890763e-01,,"Aa3","2017-07-18 00:00:00","Aa3",,,,,5.8700000000000001e+00,,
"GUILFORD",61,60,"NH",59118743.0000,-10650600.0000,48468143.0000,3706471.0000,58117.0000,668304.0000,312053.0000,1386953.0000,10641657.0000,8216230.0000,9915236.0000,"N",10848990.0000,85373805.0000,98649042.0000,64614449.0000,6104992.0000,97058562.0000,0.0000,17849056.0000,684440.0000,17706045.0000,906040.0000,1069941.0000,1733491.0000,0.0000,,85615000.0000,85615000.0000,9827026.0000,81926925.0000,81553813.0000,9.9544579513999820e-01,82408133.0000,81860963.0000,9.9336024273235268e-01,2.2277000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",3051805195.0000,4434076489.7841,4.0000000000000000e+01,3.6318291637440575e-02,2.8239999999999998e+01,3.4502199999999998e+03,4.6500000000000000e+01
"HADDAM",62,61,"M",19108187.0000,7998063.0000,27209248.0000,-780446.0000,0.0000,0.0000,0.0000,128000.0000,4801377.0000,4673377.0000,4801377.0000,"N",2134441.0000,28685674.0000,31270809.0000,23465940.0000,254285.0000,29688179.0000,0.0000,0.0000,1047200.0000,1047200.0000,535430.0000,496686.0000,535430.0000,0.0000,5702680.6347,2380000.0000,8082680.6347,1505490.0000,28544380.0000,28250410.0000,9.8970130022091918e-01,29617903.0000,28454271.0000,9.6071187078977194e-01,8.2600000000000000e+03,"Aa3","2017-07-18 00:00:00","Aa3",912861548.0000,1270545274.8717,6.0000000000000000e+00,3.6757401152394197e-02,3.1199999999999999e+01,1.2611600000000001e+03,5.5000000000000000e+00
"HAMDEN",63,62,"NH",133799179.0000,-641037317.0000,-505760408.0000,-33260768.0000,0.0000,0.0000,0.0000,0.0000,2960701.0000,2960701.0000,2960701.0000,"Y",44146760.0000,166677729.0000,217509730.0000,94446338.0000,22139790.0000,222551036.0000,363255.0000,2558255.0000,0.0000,0.0000,-4678051.0000,827547.0000,-2483051.0000,0.0000,,292220000.0000,292220000.0000,294331489.0000,166314670.0000,164088676.0000,9.8661576877132973e-01,171004573.0000,165839427.0000,9.6979527559184042e-01,6.1125000000000000e+04,"Baa1","2017-07-18 00:00:00","Baa1",4075516582.0000,5578004423.6514,4.1700000000000000e+02,4.7185124014010309e-02,4.0869999999999997e+01,6.4340200000000004e+03,4.5250000000000000e+02
"HAMPTON",64,63,"W",7348919.0000,217418.0000,10757583.0000,871965.0000,6962.0000,0.0000,0.0000,0.0000,819404.0000,812442.0000,812442.0000,"N",1868853.0000,3838258.0000,5830313.0000,4090389.0000,0.0000,5405816.0000,0.0000,0.0000,161844.0000,161844.0000,262653.0000,-194195.0000,262653.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3819867.0000,3770000.0000,9.8694535699803165e-01,3876420.0000,3805912.0000,9.8181105246593503e-01,1.8370000000000000e+03,,"2017-07-18 00:00:00",,125742991.0000,179533473.7293,7.0000000000000000e+00,4.8828125000000000e-02,3.0510000000000002e+01,1.7478000000000000e+02,7.5000000000000000e+00
"HARTFORD",65,64,"H",898847000.0000,-317247000.0000,654885000.0000,-112897000.0000,0.0000,0.0000,0.0000,8663000.0000,14131000.0000,5468000.0000,14131000.0000,"N",282708000.0000,266870000.0000,565580000.0000,323155000.0000,77504000.0000,565754000.0000,5438000.0000,5438000.0000,13059000.0000,13059000.0000,-7795000.0000,5045000.0000,-7795000.0000,0.0000,,698625000.0000,698625000.0000,412004000.0000,262887000.0000,251535000.0000,9.5681794839607892e-01,301531000.0000,258550000.0000,8.5745744218670716e-01,1.2324300000000000e+05,"Caa3","2017-09-26 00:00:00","Baa1",3619341714.0000,6496073222.4192,4.8770000000000000e+03,9.2018919777898264e-02,7.4290000000000006e+01,2.1523950000000001e+04,5.4615000000000000e+03
"HARTLAND",66,65,"H",7388690.0000,2269764.0000,9728035.0000,37688.0000,0.0000,0.0000,0.0000,530127.0000,1245239.0000,715112.0000,1245239.0000,"N",2157298.0000,4981951.0000,7258256.0000,5502205.0000,119913.0000,7075983.0000,19.0000,19.0000,279693.0000,279693.0000,-97401.0000,145912.0000,-97401.0000,0.0000,,615256.0000,615256.0000,0.0000,5005582.0000,4924809.0000,9.8386341488362394e-01,5222048.0000,4950734.0000,9.4804452199596789e-01,2.1170000000000000e+03,"A1","2017-07-18 00:00:00","A1",196621980.0000,280259619.5570,2.0000000000000000e+00,4.1994750656167978e-02,2.5500000000000000e+01,2.7535000000000002e+02,2.0000000000000000e+00
"HARWINTON",67,66,"L",17687021.0000,4704078.0000,22703662.0000,-213938.0000,0.0000,0.0000,0.0000,0.0000,2661611.0000,2661611.0000,2661611.0000,"N",3075342.0000,14835273.0000,18192161.0000,12727809.0000,0.0000,17472439.0000,17260.0000,17260.0000,987997.0000,987997.0000,-251015.0000,-206673.0000,-251015.0000,0.0000,5911174.7003,0.0000,5911174.7003,191919.0000,14792710.0000,14704261.0000,9.9402077104195241e-01,14919232.0000,14750265.0000,9.8867455107608759e-01,5.4660000000000000e+03,,"2017-07-18 00:00:00",,537388702.0000,772997338.9007,2.0000000000000000e+00,4.2626011200995642e-02,2.7300000000000001e+01,8.3961000000000001e+02,3.0000000000000000e+00
"HEBRON",68,67,"T",47427008.0000,9505490.0000,57195808.0000,858964.0000,0.0000,0.0000,0.0000,372486.0000,7022518.0000,6650032.0000,7022518.0000,"N",8840024.0000,28191796.0000,38063202.0000,28289109.0000,1168294.0000,36813102.0000,72845.0000,172845.0000,735201.0000,735201.0000,587744.0000,862061.0000,687744.0000,0.0000,9239865.1892,5750332.0000,14990197.1892,0.0000,28344010.0000,27747672.0000,9.7896070457214768e-01,29563364.0000,27925977.0000,9.4461432061655770e-01,9.5290000000000000e+03,,"2017-07-18 00:00:00",,782001450.0000,1102908485.9240,1.1000000000000000e+01,3.7602179836512262e-02,3.6000000000000000e+01,1.6635699999999999e+03,1.4500000000000000e+01
"KENT",69,68,"L",10069900.0000,4681740.0000,14809019.0000,1104924.0000,13115.0000,0.0000,288428.0000,0.0000,2340204.0000,2038661.0000,2327089.0000,"N",943886.0000,10642697.0000,12019962.0000,7278670.0000,693194.0000,11137058.0000,62727.0000,62727.0000,758700.0000,758700.0000,186931.0000,-166443.0000,186931.0000,0.0000,531725.0098,3343174.0000,3874899.0098,0.0000,10576296.0000,10499416.0000,9.9273091449029038e-01,10732106.0000,10603052.0000,9.8797496036658605e-01,2.8190000000000000e+03,"Aa2","2017-07-18 00:00:00","Aa2",594416601.0000,838582023.8425,0.0000000000000000e+00,3.7159920371599202e-02,1.7859999999999999e+01,2.9188000000000000e+02,0.0000000000000000e+00
"KILLINGLY",70,69,"W",99903823.0000,19965750.0000,120544150.0000,4058755.0000,0.0000,0.0000,241652.0000,1326320.0000,11526869.0000,9958897.0000,11526869.0000,"N",22398430.0000,33225714.0000,59682387.0000,44815164.0000,2923075.0000,58180619.0000,931049.0000,13108953.0000,5516567.0000,12872727.0000,-3083750.0000,1027203.0000,1737994.0000,0.0000,,34040613.0000,34040613.0000,0.0000,33021360.0000,32284966.0000,9.7769946483124859e-01,34366491.0000,32899457.0000,9.5731208053798689e-01,1.7069000000000000e+04,"Aa3","2017-07-18 00:00:00","Aa3",1106789534.0000,1657995334.2249,1.5700000000000000e+02,5.8953341740226983e-02,2.7309999999999999e+01,2.4123499999999999e+03,1.8150000000000000e+02
"KILLINGWORTH",71,70,"M",20586951.0000,6305938.0000,26892889.0000,-151399.0000,0.0000,0.0000,0.0000,0.0000,4704214.0000,4704214.0000,4704214.0000,"Y",2670217.0000,18305235.0000,21349428.0000,16417262.0000,510659.0000,20534876.0000,1273231.0000,1273231.0000,1788984.0000,1788984.0000,298799.0000,-173166.0000,298799.0000,0.0000,3992319.3653,3730000.0000,7722319.3653,1396295.0000,18238258.0000,18139035.0000,9.9455962296399136e-01,18369567.0000,18234068.0000,9.9262372379272734e-01,6.4190000000000000e+03,,"2017-07-18 00:00:00","Aa2",722716487.0000,1031946947.5108,4.0000000000000000e+00,3.5244608100999476e-02,2.5230000000000000e+01,9.0340999999999997e+02,5.5000000000000000e+00
"LEBANON",72,71,"NL",32317677.0000,4858988.0000,41836606.0000,1771258.0000,2008.0000,0.0000,0.0000,280098.0000,4986470.0000,4704364.0000,4984462.0000,"Y",8173948.0000,17703245.0000,27215422.0000,20035732.0000,612637.0000,24075581.0000,32021.0000,32021.0000,2138619.0000,2138619.0000,1033243.0000,-282098.0000,1033243.0000,0.0000,,2282455.0000,2282455.0000,656951.0000,17562596.0000,17193843.0000,9.7900350267124514e-01,18073516.0000,17481394.0000,9.6723814004978337e-01,7.1970000000000000e+03,,"2017-07-18 00:00:00",,607415900.0000,874191847.2331,1.2000000000000000e+01,4.9333991119881598e-02,2.8699999999999999e+01,1.0270599999999999e+03,1.5500000000000000e+01
