TANF13%,TANF12%,MUNICIPALITY,numbered,2012 TANF RECIPIENTS,2013 TANF RECIPIENTS,SortID
1.8440463645943098e-03,1.0537407797681770e-03,"OLD LYME",1.0600000000000000e+02,8.0000000000000000e+00,1.4000000000000000e+01,98
1.6992353440951572e-03,2.3527873995163717e-03,"NEWINGTON",9.7000000000000000e+01,7.2000000000000000e+01,5.2000000000000000e+01,99
1.6644087478227211e-03,1.5869943874588736e-03,"SOUTH WINDSOR",1.3100000000000000e+02,4.1000000000000000e+01,4.3000000000000000e+01,100
1.6409062036840990e-03,1.9055684946008892e-03,"EAST LYME",4.4000000000000000e+01,3.6000000000000000e+01,3.1000000000000000e+01,101
1.6071428571428571e-03,1.4285714285714286e-03,"HARWINTON",6.7000000000000000e+01,8.0000000000000000e+00,9.0000000000000000e+00,102
1.5563270681192387e-03,1.9154794684544474e-03,"LITCHFIELD",7.5000000000000000e+01,1.6000000000000000e+01,1.3000000000000000e+01,103
1.5231519090170593e-03,2.0308692120227455e-03,"WOODBURY",1.6900000000000000e+02,2.0000000000000000e+01,1.5000000000000000e+01,104
1.5182186234817814e-03,1.2651821862348178e-03,"WOODSTOCK",1.7000000000000000e+02,1.0000000000000000e+01,1.2000000000000000e+01,105
1.4885032707900819e-03,1.6451878256100905e-03,"FARMINGTON",5.2000000000000000e+01,4.2000000000000000e+01,3.8000000000000000e+01,106
1.4701951349906442e-03,1.4033680834001604e-03,"TOLLAND",1.4300000000000000e+02,2.1000000000000000e+01,2.2000000000000000e+01,107
1.4699173805058543e-03,1.6219777991788738e-03,"ROCKY HILL",1.2000000000000000e+02,3.2000000000000000e+01,2.9000000000000000e+01,108
1.4649331624244644e-03,1.6480498077275224e-03,"COLUMBIA",3.0000000000000000e+01,9.0000000000000000e+00,8.0000000000000000e+00,109
1.4486455164421266e-03,8.6918730986527601e-04,"NEW HARTFORD",9.3000000000000000e+01,6.0000000000000000e+00,1.0000000000000000e+01,110
1.3990362194932380e-03,1.8653816259909840e-03,"MARLBOROUGH",8.0000000000000000e+01,1.2000000000000000e+01,9.0000000000000000e+00,111
1.3907709863775766e-03,1.6047357535125882e-03,"NEWTOWN",9.8000000000000000e+01,4.5000000000000000e+01,3.9000000000000000e+01,112
1.3864381144441643e-03,1.3234182001512478e-03,"SUFFIELD",1.4000000000000000e+02,2.1000000000000000e+01,2.2000000000000000e+01,113
1.3837432486720528e-03,1.6515645226085791e-03,"GUILFORD",6.1000000000000000e+01,3.7000000000000000e+01,3.1000000000000000e+01,114
1.3586956521739130e-03,2.2644927536231884e-04,"MIDDLEFIELD",8.3000000000000000e+01,1.0000000000000000e+00,6.0000000000000000e+00,115
1.3385387618516454e-03,1.5616285554935863e-03,"WOODBRIDGE",1.6800000000000000e+02,1.4000000000000000e+01,1.2000000000000000e+01,116
1.3161043311797080e-03,9.5716678631251495e-04,"HADDAM",6.2000000000000000e+01,8.0000000000000000e+00,1.1000000000000000e+01,117
1.3017066820943013e-03,1.3017066820943013e-03,"WESTBROOK",1.5700000000000000e+02,9.0000000000000000e+00,9.0000000000000000e+00,118
1.2697792537605002e-03,1.3674545809728462e-03,"OLD SAYBROOK",1.0700000000000000e+02,1.4000000000000000e+01,1.3000000000000000e+01,119
1.2630089926240274e-03,1.4145700717389108e-03,"MONROE",8.6000000000000000e+01,2.8000000000000000e+01,2.5000000000000000e+01,120
1.2512661621879282e-03,2.1450277066078771e-03,"BROOKFIELD",1.8000000000000000e+01,3.6000000000000000e+01,2.1000000000000000e+01,121
1.2476606363069245e-03,1.5205864004990642e-03,"MANSFIELD",7.9000000000000000e+01,3.9000000000000000e+01,3.2000000000000000e+01,122
1.2273703590058300e-03,1.2273703590058300e-03,"NORTH CANAAN",1.0100000000000000e+02,4.0000000000000000e+00,4.0000000000000000e+00,123
1.1701380762930026e-03,8.5810125594820187e-04,"OXFORD",1.0900000000000000e+02,1.1000000000000000e+01,1.5000000000000000e+01,124
1.1593082793932953e-03,1.2559173026760700e-03,"CANTON",2.3000000000000000e+01,1.3000000000000000e+01,1.2000000000000000e+01,125
1.1488158359844469e-03,7.9533404029692473e-04,"GRANBY",5.6000000000000000e+01,9.0000000000000000e+00,1.3000000000000000e+01,126
1.1337868480725624e-03,1.7715419501133788e-03,"NEW FAIRFIELD",9.2000000000000000e+01,2.5000000000000000e+01,1.6000000000000000e+01,127
1.0954702305964836e-03,1.4241112997754287e-03,"TRUMBULL",1.4500000000000000e+02,5.2000000000000000e+01,4.0000000000000000e+01,128
1.0641127959563714e-03,1.0641127959563714e-03,"BARKHAMSTED",5.0000000000000000e+00,4.0000000000000000e+00,4.0000000000000000e+00,129
1.0599957600169599e-03,6.3599745601017593e-04,"BURLINGTON",2.0000000000000000e+01,6.0000000000000000e+00,1.0000000000000000e+01,130
1.0087036716813649e-03,9.5106346187100123e-04,"GLASTONBURY",5.4000000000000000e+01,3.3000000000000000e+01,3.5000000000000000e+01,131
1.0061880565477687e-03,9.5587865372038030e-04,"SOUTHBURY",1.3200000000000000e+02,1.9000000000000000e+01,2.0000000000000000e+01,132
9.8274732474339381e-04,9.8274732474339381e-04,"EAST HADDAM",4.0000000000000000e+01,9.0000000000000000e+00,9.0000000000000000e+00,133
9.7601323407775021e-04,9.4292803970223325e-04,"FAIRFIELD",5.1000000000000000e+01,5.7000000000000000e+01,5.9000000000000000e+01,134
9.2445853143159010e-04,1.3206550449022716e-03,"MIDDLEBURY",8.2000000000000000e+01,1.0000000000000000e+01,7.0000000000000000e+00,135
9.2150170648464165e-04,8.5324232081911264e-04,"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,2.7000000000000000e+01,136
9.0252707581227440e-04,1.6546329723225030e-03,"ESSEX",5.0000000000000000e+01,1.1000000000000000e+01,6.0000000000000000e+00,137
