Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Unreserved_Fund_Bal,Fund_Equity_Enterprise,Fund_Equity_Internal_Service,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2003 Population,Moody's_Bond_Ratings_July_2003,area lmt,ACGLFY03,EGL,TANF03 Recipients,empl,ACMR,enrollmt
"MANSFIELD","JG",2.0030000000000000e+03,7.9000000000000000e+01,7.8000000000000000e+01,"T",13988519.0000,15664773.0000,30573247.0000,22573932.0000,1348975.0000,30905145.0000,955090.0000,965090.0000,594000.0000,594000.0000,29192.0000,-452173.0000,39192.0000,0.0000,14070796.5996,6540000.0000,20610796.5996,164300.0000,0.0000,1159485.0000,995185.0000,1324618.0000,1655482.0000,15487465.0000,15204716.0000,9.8174336471462564e-01,15819598.0000,15343117.0000,9.6988033450660383e-01,2.3324000000000000e+04,"Aa3",4.4460000000000001e+01,555760635.0000,962341986.7996,5.3000000000000000e+01,3.4927679158448389e-02,2.7500000000000000e+01,2.0772400000000002e+03
"MARLBOROUGH","BP",2.0030000000000000e+03,8.0000000000000000e+01,7.9000000000000000e+01,"H",3035294.0000,11043082.0000,14570114.0000,10278464.0000,711209.0000,14060133.0000,0.0000,0.0000,304400.0000,304400.0000,205581.0000,659040.0000,205581.0000,0.0000,10368001.7986,12085000.0000,22453001.7986,212908.0000,637900.0000,2864342.0000,2651434.0000,,,10900200.0000,10791458.0000,9.9002385277334359e-01,11048568.0000,10879631.0000,9.8470960218555015e-01,6.0940000000000000e+03,"A1",2.3280000000000001e+01,391284445.0000,559866530.0000,5.0000000000000000e+00,4.3375627028622014e-02,2.7449999999999999e+01,1.1626900000000001e+03
"MERIDEN","BP",2.0030000000000000e+03,8.1000000000000000e+01,8.0000000000000000e+01,"NH",57538170.0000,84906039.0000,152348079.0000,73736502.0000,14408915.0000,147950414.0000,10000.0000,8284210.0000,0.0000,8038900.0000,4407665.0000,1686051.0000,4642975.0000,0.0000,,84963714.0000,84963714.0000,2899946.0000,0.0000,9677472.0000,6777526.0000,107892013.0000,-518707.0000,84705080.0000,81602508.0000,9.6337206694096744e-01,91316813.0000,84472043.0000,9.2504370471185848e-01,5.8962000000000000e+04,"Baa1",2.3740000000000002e+01,2329735372.0000,3417139531.4286,1.9300000000000000e+03,6.7536554980001315e-02,3.6000000000000000e+01,9.5737100000000009e+03
"MIDDLEBURY","JG",2.0030000000000000e+03,8.2000000000000000e+01,8.1000000000000000e+01,"NH",506906.0000,18207773.0000,19383973.0000,11513538.0000,899573.0000,19186377.0000,326598.0000,326598.0000,661414.0000,661414.0000,-137220.0000,-369693.0000,-137220.0000,0.0000,7182067.3614,4931918.0000,12113985.3614,0.0000,21066.0000,1253913.0000,1253913.0000,,,18446039.0000,18009758.0000,9.7634825557942273e-01,19343067.0000,18345372.0000,9.4842105442740798e-01,6.7450000000000000e+03,"A1",1.7750000000000000e+01,642073577.0000,930235267.1429,1.0000000000000000e+01,4.3333333333333335e-02,2.8490000000000002e+01,1.1566500000000001e+03
"MIDDLEFIELD","BP",2.0030000000000000e+03,8.3000000000000000e+01,8.2000000000000000e+01,"M",1946374.0000,7933072.0000,10243357.0000,7732158.0000,272658.0000,10299328.0000,212765.0000,212765.0000,179649.0000,179649.0000,-22855.0000,-393104.0000,-22855.0000,0.0000,8612632.5458,3821262.0000,12433894.5458,25345.0000,26186.0000,703719.0000,678374.0000,,,7933175.0000,7780119.0000,9.8070684183822998e-01,8095453.0000,7862311.0000,9.7120087041454006e-01,4.3010000000000000e+03,,1.2700000000000001e+01,291049840.0000,429162314.2857,6.0000000000000000e+00,5.2338052338052339e-02,2.7160000000000000e+01,7.5815999999999997e+02
"MIDDLETOWN","JG",2.0030000000000000e+03,8.4000000000000000e+01,8.3000000000000000e+01,"M",27793000.0000,65208000.0000,96813000.0000,52983000.0000,12186000.0000,86141000.0000,933000.0000,933000.0000,12521000.0000,12521000.0000,-916000.0000,2427000.0000,-916000.0000,0.0000,,60769000.0000,60769000.0000,1155000.0000,1795000.0000,7679000.0000,6524000.0000,,1417000.0000,68905000.0000,67406000.0000,9.7824541034757995e-01,70938000.0000,68579000.0000,9.6674560884152361e-01,4.6918000000000000e+04,"Aa3",4.0899999999999999e+01,2058166070.0000,3828866438.4087,6.5900000000000000e+02,5.5121510737701697e-02,3.1199999999999999e+01,5.2700100000000002e+03
"MILFORD","BP",2.0030000000000000e+03,8.5000000000000000e+01,8.4000000000000000e+01,"NH",18181000.0000,113006000.0000,136530000.0000,76187000.0000,8425000.0000,133616000.0000,0.0000,417000.0000,1443000.0000,1443000.0000,1471000.0000,-465000.0000,1888000.0000,0.0000,,59629000.0000,59629000.0000,1231000.0000,3000000.0000,12789000.0000,11558000.0000,3698000.0000,3534000.0000,112937000.0000,110869000.0000,9.8168890620434401e-01,119259000.0000,113024000.0000,9.4771883044466243e-01,5.3869000000000000e+04,"Aa2",2.2559999999999999e+01,3898538460.0000,7193657701.4760,2.4800000000000000e+02,4.8253296757775059e-02,2.8840000000000000e+01,7.4399200000000001e+03
"MONROE","JG",2.0030000000000000e+03,8.6000000000000000e+01,8.5000000000000000e+01,"F",8849009.0000,42209095.0000,52936969.0000,37085312.0000,3275671.0000,52988401.0000,86957.0000,15553417.0000,140128.0000,15606588.0000,-104603.0000,-279807.0000,-104603.0000,0.0000,,30166378.0000,30166378.0000,265335.0000,970000.0000,5648843.0000,5383508.0000,,-57890.0000,41844528.0000,41332236.0000,9.8775725227441924e-01,42749581.0000,41904594.0000,9.8023402849258334e-01,1.9614000000000000e+04,"Aa2",2.6129999999999999e+01,1417383475.0000,2776887750.9837,1.7000000000000000e+01,4.3582836251683667e-02,2.9340000000000000e+01,4.1026599999999999e+03
"MONTVILLE","BP",2.0030000000000000e+03,8.7000000000000000e+01,8.6000000000000000e+01,"NL",15851386.0000,24221574.0000,42980493.0000,29770053.0000,3163399.0000,43925563.0000,37713.0000,37713.0000,246881.0000,246881.0000,-1154238.0000,-363823.0000,-1154238.0000,0.0000,,18884246.0000,18884246.0000,1127220.0000,0.0000,4196848.0000,3069628.0000,28831879.0000,-1164696.0000,23976933.0000,23549694.0000,9.8218124895289982e-01,25511619.0000,23952412.0000,9.3888247547127446e-01,1.9718000000000000e+04,"Aa3",4.2009999999999998e+01,963413674.0000,1389907078.5714,8.7000000000000000e+01,4.8046363806318937e-02,2.4699999999999999e+01,3.0121199999999999e+03
"MORRIS","JG",2.0030000000000000e+03,8.8000000000000000e+01,8.7000000000000000e+01,"L",694433.0000,5508585.0000,6388554.0000,4649173.0000,0.0000,6297018.0000,0.0000,0.0000,150000.0000,150000.0000,-58464.0000,-170727.0000,-58464.0000,0.0000,3176758.3322,0.0000,3176758.3322,101068.0000,205000.0000,390567.0000,289499.0000,2293158.0000,,5443466.0000,5363557.0000,9.8532019856466446e-01,5567106.0000,5436104.0000,9.7646856373850255e-01,2.3880000000000000e+03,,1.7190000000000001e+01,217962857.0000,369007071.0214,1.1000000000000000e+01,4.3947571318427137e-02,2.4930000000000000e+01,3.9219999999999999e+02
"NAUGATUCK","JG",2.0030000000000000e+03,8.9000000000000000e+01,8.8000000000000000e+01,"NH",30496992.0000,41633588.0000,78078315.0000,45308404.0000,4404552.0000,77780292.0000,339291.0000,3849291.0000,928655.0000,4438655.0000,-291341.0000,-792526.0000,-291341.0000,0.0000,,23104236.0000,23104236.0000,1268094.0000,0.0000,7875087.0000,6606993.0000,,-4589584.0000,41351841.0000,39558374.0000,9.5662908937959978e-01,45903613.0000,40996637.0000,8.9310261917727474e-01,3.1700000000000000e+04,"A1",1.6390000000000001e+01,1162283520.0000,2014156807.9956,3.2600000000000000e+02,6.5608716248223592e-02,3.5500000000000000e+01,5.6592700000000004e+03
"NEW BRITAIN","JG",2.0030000000000000e+03,9.0000000000000000e+01,8.9000000000000000e+01,"H",87740000.0000,84084000.0000,188087000.0000,102944000.0000,25640000.0000,158684000.0000,5736000.0000,5736000.0000,34717000.0000,34717000.0000,422000.0000,852000.0000,422000.0000,0.0000,,201432000.0000,201432000.0000,1274000.0000,0.0000,7016000.0000,5742000.0000,28043000.0000,6036000.0000,84038000.0000,80822000.0000,9.6173159761060467e-01,91936000.0000,82950000.0000,9.0225809258614686e-01,7.1572000000000000e+04,"A3",1.3340000000000000e+01,1518115151.0000,2838006703.8060,3.2880000000000000e+03,8.1639844943028311e-02,5.4759999999999998e+01,1.0919389999999999e+04
"NEW CANAAN","JG",2.0030000000000000e+03,9.1000000000000000e+01,9.0000000000000000e+01,"F",3703490.0000,73232770.0000,81550119.0000,48461022.0000,6998888.0000,80816377.0000,496243.0000,34117012.0000,72500.0000,33053525.0000,1157485.0000,963991.0000,1797229.0000,0.0000,,77905030.0000,77905030.0000,683670.0000,2277881.0000,9218923.0000,8535253.0000,250920.0000,623292.0000,72782177.0000,72127363.0000,9.9100309956378474e-01,74058579.0000,72541824.0000,9.7951952332220682e-01,1.9839000000000000e+04,"Aaa",2.2129999999999999e+01,5501662950.0000,7861072742.8571,8.0000000000000000e+00,3.1808683538425815e-02,1.3200000000000001e+01,3.9635000000000000e+03
"NEW FAIRFIELD","BP",2.0030000000000000e+03,9.2000000000000000e+01,9.1000000000000000e+01,"F",6083811.0000,30140047.0000,37835420.0000,23386482.0000,2645037.0000,36353839.0000,204930.0000,204930.0000,1118000.0000,1118000.0000,568511.0000,734653.0000,568511.0000,0.0000,,16886086.0000,16886086.0000,909002.0000,289838.0000,4480208.0000,3571206.0000,,844324.0000,30061241.0000,29795027.0000,9.9114427777615699e-01,30396002.0000,30018496.0000,9.8758040613367504e-01,1.4179000000000000e+04,"Aa3",2.0460000000000001e+01,1115879915.0000,1975694843.8594,2.8000000000000000e+01,3.8662907772855415e-02,2.6900000000000002e+01,3.1020999999999999e+03
"NEW HARTFORD","BP",2.0030000000000000e+03,9.3000000000000000e+01,9.2000000000000000e+01,"L",3821669.0000,12110264.0000,16346045.0000,12170714.0000,536230.0000,16418998.0000,75000.0000,75000.0000,275528.0000,275528.0000,-273481.0000,202118.0000,-273481.0000,0.0000,5110709.9684,4952000.0000,10062709.9684,0.0000,0.0000,1889252.0000,1889252.0000,4088497.0000,,11952426.0000,11764794.0000,9.8430176434474470e-01,12342181.0000,11982919.0000,9.7089153043534204e-01,6.5480000000000000e+03,"A2",3.7020000000000003e+01,391492482.0000,672841697.6638,1.6000000000000000e+01,4.4855620970002806e-02,3.0100000000000001e+01,1.1763900000000001e+03
"NEW HAVEN","JG",2.0030000000000000e+03,9.4000000000000000e+01,9.3000000000000000e+01,"NH",193090625.0000,146401025.0000,356779487.0000,156750453.0000,43308425.0000,361934516.0000,0.0000,0.0000,0.0000,0.0000,-5155029.0000,-2673888.0000,-5155029.0000,0.0000,,434454236.0000,434454236.0000,0.0000,0.0000,12503197.0000,12503197.0000,93928592.0000,-9152093.0000,142151239.0000,137971882.0000,9.7059922214255201e-01,156333626.0000,142726891.0000,9.1296347850333870e-01,1.2466200000000000e+05,"A3",1.8850000000000001e+01,3886203355.0000,5632625847.1429,7.3890000000000000e+03,7.7695628810198827e-02,3.6780000000000001e+01,2.0048779999999999e+04
"NEW LONDON","JG",2.0030000000000000e+03,9.5000000000000000e+01,9.5000000000000000e+01,"NL",36003536.0000,28140497.0000,68987770.0000,36410651.0000,2785997.0000,69833464.0000,1137167.0000,23170666.0000,931956.0000,22683268.0000,-640483.0000,1549456.0000,-358296.0000,0.0000,,30202273.0000,30202273.0000,265110.0000,5239865.0000,11288667.0000,11023557.0000,56448117.0000,,28415974.0000,27779227.0000,9.7759193473361150e-01,31455907.0000,28350784.0000,9.0128648968856628e-01,2.6201000000000000e+04,"A1",5.5400000000000000e+00,843321532.0000,1618702517.0562,8.6900000000000000e+02,6.2945897740784781e-02,3.3399999999999999e+01,3.5896300000000001e+03
"NEW MILFORD","BP",2.0030000000000000e+03,9.6000000000000000e+01,9.6000000000000000e+01,"L",16570224.0000,49122646.0000,69502550.0000,44631663.0000,8834499.0000,72118088.0000,2934629.0000,3131479.0000,1176652.0000,1176652.0000,-857561.0000,-3033786.0000,-660711.0000,0.0000,,66278299.0000,66278299.0000,1208759.0000,3772198.0000,11341704.0000,10132945.0000,18709296.0000,2619016.0000,48910477.0000,47733650.0000,9.7593916330032926e-01,51587682.0000,48639810.0000,9.4285705645777995e-01,2.8211000000000000e+04,"Aa2",6.1579999999999998e+01,2077076614.0000,3019657798.5714,7.4000000000000000e+01,4.0196882690730108e-02,2.3530000000000001e+01,5.2334899999999998e+03
"NEWINGTON","BP",2.0030000000000000e+03,9.7000000000000000e+01,9.4000000000000000e+01,"H",14290000.0000,53202000.0000,69210000.0000,42248000.0000,2400000.0000,66951000.0000,222000.0000,222000.0000,1841000.0000,1841000.0000,640000.0000,201883.0000,640000.0000,0.0000,,16770000.0000,16770000.0000,1523000.0000,1650000.0000,10972000.0000,9449000.0000,,1931000.0000,53019000.0000,52420000.0000,9.8870216337539374e-01,54143000.0000,52908000.0000,9.7719003379938307e-01,2.9695000000000000e+04,"Aa3",1.3170000000000000e+01,1730621316.0000,2868380207.1861,1.0200000000000000e+02,4.8946716232961589e-02,3.0440000000000001e+01,4.6381500000000005e+03
"NEWTOWN","JG",2.0030000000000000e+03,9.8000000000000000e+01,9.7000000000000000e+01,"F",9948595.0000,63278954.0000,76555157.0000,47217365.0000,7922824.0000,75553671.0000,525000.0000,525000.0000,375000.0000,580919.0000,1151486.0000,452108.0000,945567.0000,0.0000,,53792826.0000,53792826.0000,3264515.0000,2703634.0000,8295141.0000,5030626.0000,31703026.0000,97963.0000,62421021.0000,61405444.0000,9.8372999999999999e-01,64036697.0000,62381532.0000,9.7415200000000002e-01,2.6299000000000000e+04,"Aa2",5.7759999999999998e+01,1834397833.0000,3919527414.4352,1.9000000000000000e+01,3.7690103592682392e-02,3.3799999999999997e+01,5.3069099999999999e+03
"NORFOLK","JG",2.0030000000000000e+03,9.9000000000000000e+01,9.8000000000000000e+01,"L",877427.0000,4297232.0000,5384570.0000,3351234.0000,151978.0000,5488979.0000,26557.0000,26557.0000,84926.0000,84926.0000,-162778.0000,-39798.0000,-162778.0000,0.0000,1185910.9970,745000.0000,1930910.9970,0.0000,26272.0000,831620.0000,831620.0000,,,4279343.0000,4178745.0000,9.7649218583319919e-01,4437588.0000,4248222.0000,9.5732681808225550e-01,1.6700000000000000e+03,"A3",4.5310000000000002e+01,164331750.0000,274831050.2395,8.0000000000000000e+00,3.9278131634819531e-02,2.6109999999999999e+01,2.5228000000000000e+02
"NORTH BRANFORD","JG",2.0030000000000000e+03,1.0000000000000000e+02,9.9000000000000000e+01,"NH",9042908.0000,23893718.0000,33995777.0000,22233578.0000,3051125.0000,34404166.0000,498631.0000,11915304.0000,244499.0000,11108677.0000,-154257.0000,518976.0000,398238.0000,0.0000,,28927896.0000,28927896.0000,36115.0000,850000.0000,3424052.0000,3387937.0000,,,22745988.0000,22481957.0000,9.8839219470264383e-01,23310848.0000,22685198.0000,9.7316056455775435e-01,1.4228000000000000e+04,"A1",2.4920000000000002e+01,849876368.0000,1224649054.2857,4.3000000000000000e+01,4.5915175778806452e-02,2.6830000000000002e+01,2.5794400000000001e+03
"NORTH CANAAN","BP",2.0030000000000000e+03,1.0100000000000000e+02,1.0000000000000000e+02,"L",2537055.0000,5063213.0000,7845199.0000,5859807.0000,430316.0000,7980645.0000,56976.0000,56976.0000,0.0000,0.0000,-78470.0000,95937.0000,-78470.0000,72557.0000,1109878.6708,1986280.0000,3096158.6708,0.0000,13667.0000,690545.0000,690545.0000,15164.0000,,5067419.0000,4946465.0000,9.7613104422586727e-01,5312318.0000,5056951.0000,9.5192927080043022e-01,3.3750000000000000e+03,"A3",1.9449999999999999e+01,202552270.0000,363751155.0823,1.4611000000000001e+01,4.3757292882147025e-02,2.4800000000000001e+01,5.1370000000000005e+02
"NORTH HAVEN","JG",2.0030000000000000e+03,1.0200000000000000e+02,1.0100000000000000e+02,"NH",6120330.0000,55238799.0000,65959050.0000,35074815.0000,5036268.0000,65474891.0000,51677.0000,51677.0000,217952.0000,217952.0000,317884.0000,2315575.0000,317884.0000,0.0000,,34666161.0000,34666161.0000,2614822.0000,1500000.0000,11116589.0000,8501767.0000,,,53992662.0000,52803340.0000,9.7797252522944689e-01,58073355.0000,54125477.0000,9.3201911616781918e-01,2.3628000000000000e+04,"Aa2",2.0770000000000000e+01,1913096312.0000,3358601082.8205,6.8000000000000000e+01,4.2795319762782495e-02,2.8270000000000000e+01,3.8895799999999999e+03
"NORTH STONINGTON","BP",2.0030000000000000e+03,1.0300000000000000e+02,1.0200000000000000e+02,"NL",4803858.0000,9326453.0000,14500341.0000,9958997.0000,595656.0000,14449639.0000,0.0000,7558060.0000,402350.0000,7454247.0000,-351648.0000,-22387.0000,154515.0000,0.0000,,7271129.0000,7271129.0000,608231.0000,0.0000,1772199.0000,1163968.0000,,,9159357.0000,8909698.0000,9.7274273729040150e-01,9557786.0000,9162521.0000,9.5864471123333372e-01,5.1650000000000000e+03,"A3",5.4300000000000004e+01,330111205.0000,602754771.1943,2.9000000000000000e+01,3.8218572331017053e-02,2.7500000000000000e+01,8.7985000000000002e+02
"NORWALK","JG",2.0030000000000000e+03,1.0400000000000000e+02,1.0300000000000000e+02,"F",21399077.0000,178735767.0000,207814103.0000,121175403.0000,18321063.0000,213611604.0000,6444524.0000,6444524.0000,0.0000,0.0000,647023.0000,-6203115.0000,647023.0000,0.0000,,96827880.0000,96827880.0000,0.0000,0.0000,16127483.0000,16127483.0000,36556265.0000,1778992.0000,175469476.0000,172621534.0000,9.8376958736686493e-01,181321150.0000,177186786.0000,9.7719866656482157e-01,8.4170000000000000e+04,"Aaa",2.2809999999999999e+01,5757194256.0000,11717836040.2958,8.8300000000000000e+02,4.7681336765264357e-02,3.1870000000000001e+01,1.1137880000000001e+04
"NORWICH","JG",2.0030000000000000e+03,1.0500000000000000e+02,1.0400000000000000e+02,"NL",36324179.0000,41486602.0000,87029873.0000,52318721.0000,6652497.0000,85333132.0000,1215373.0000,1215373.0000,2283018.0000,2283018.0000,629096.0000,283612.0000,629096.0000,0.0000,,40945000.0000,40945000.0000,304981.0000,0.0000,9075607.0000,8770626.0000,88364665.0000,-195965.0000,41063766.0000,39437731.0000,9.6040219496672563e-01,44640919.0000,41001886.0000,9.1848212175022648e-01,3.6227000000000000e+04,"A1",2.8330000000000002e+01,1145882067.0000,2155511703.5933,7.5900000000000000e+02,6.0759493670886074e-02,3.5899999999999999e+01,5.7810699999999997e+03
"OLD LYME","BP",2.0030000000000000e+03,1.0600000000000000e+02,1.0500000000000000e+02,"NL",785596.0000,20517851.0000,22742042.0000,16429960.0000,318113.0000,22036505.0000,59036.0000,176461.0000,609137.0000,609137.0000,155436.0000,198770.0000,272861.0000,0.0000,15510679.5563,750000.0000,16260679.5563,794500.0000,425000.0000,4092297.0000,3297797.0000,,,20362777.0000,20025793.0000,9.8345098018801658e-01,20685826.0000,20186137.0000,9.7584389426847151e-01,7.4830000000000000e+03,"Aa2",2.3100000000000001e+01,888177160.0000,1614562129.4423,7.0000000000000000e+00,3.7631831255992329e-02,2.2800000000000001e+01,1.2895200000000000e+03
"OLD SAYBROOK","JG",2.0030000000000000e+03,1.0700000000000000e+02,1.0600000000000000e+02,"M",2251228.0000,23309750.0000,26778144.0000,15160355.0000,2021997.0000,26271977.0000,0.0000,4321830.0000,490536.0000,4812366.0000,15631.0000,27089.0000,15631.0000,0.0000,,19250000.0000,19250000.0000,561020.0000,579299.0000,3344085.0000,2783065.0000,,,22922549.0000,22641487.0000,9.8773862365830256e-01,23601799.0000,23000438.0000,9.7452054396361909e-01,1.0535000000000000e+04,"A1",1.5040000000000001e+01,1107293430.0000,2133757235.8399,2.7000000000000000e+01,4.3257476020312206e-02,2.0570000000000000e+01,1.5977600000000000e+03
"ORANGE","JG",2.0030000000000000e+03,1.0800000000000000e+02,1.0700000000000000e+02,"NH",2422323.0000,37814743.0000,41649906.0000,25358673.0000,1867716.0000,40540609.0000,372959.0000,372959.0000,0.0000,0.0000,1482256.0000,624037.0000,1482256.0000,0.0000,9325910.7040,13121208.0000,22447118.7040,459790.0000,0.0000,4380349.0000,3920559.0000,5963162.0000,973686.0000,37666090.0000,37323390.0000,9.9090163061788472e-01,38123771.0000,37576093.0000,9.8563421231336223e-01,1.3572000000000000e+04,"Aa2",1.7190000000000001e+01,1345083294.0000,2386085475.9052,1.5000000000000000e+01,3.7161177499271350e-02,2.8000000000000000e+01,2.4894800000000000e+03
"OXFORD","JG",2.0030000000000000e+03,1.0900000000000000e+02,1.0800000000000000e+02,"NH",5476362.0000,17903158.0000,24896489.0000,16041246.0000,1867778.0000,24089231.0000,38992.0000,38992.0000,208932.0000,208932.0000,637318.0000,660075.0000,637318.0000,0.0000,,10207000.0000,10207000.0000,0.0000,0.0000,3034183.0000,3034183.0000,,,17955571.0000,16817915.0000,9.3664050004313426e-01,23436815.0000,17535324.0000,7.4819569126607011e-01,1.0729000000000000e+04,"A1",3.2890000000000001e+01,688404274.0000,1212270908.7701,1.1000000000000000e+01,4.7811339040542723e-02,2.5469999999999999e+01,1.8150400000000000e+03
"PLAINFIELD","BP",2.0030000000000000e+03,1.1000000000000000e+02,1.0900000000000000e+02,"W",18492368.0000,14090818.0000,33822103.0000,25109312.0000,2858437.0000,34489133.0000,194600.0000,10123246.0000,0.0000,9635190.0000,-472430.0000,136788.0000,-178974.0000,0.0000,,14422699.0000,14422699.0000,296257.0000,850000.0000,4124398.0000,3828141.0000,7836110.0000,426997.0000,13914972.0000,13518254.0000,9.7148984561377483e-01,14888199.0000,13914328.0000,9.3458772279978253e-01,1.5174000000000000e+04,"A3",4.2259999999999998e+01,499672829.0000,907407990.2344,1.5600000000000000e+02,7.0091155457009113e-02,2.7400000000000002e+01,2.6624200000000001e+03
"PLAINVILLE","JG",2.0030000000000000e+03,1.1100000000000000e+02,1.1000000000000000e+02,"H",12572420.0000,29306832.0000,43204959.0000,27273069.0000,3193919.0000,42547135.0000,366045.0000,366045.0000,1636612.0000,1636612.0000,-612743.0000,458511.0000,-612743.0000,0.0000,,18370325.0000,18370325.0000,574527.0000,1650000.0000,6678883.0000,6104356.0000,,3191610.0000,28971450.0000,28277766.0000,9.7605628989919391e-01,30310160.0000,29066631.0000,9.5897319578649531e-01,1.7461000000000000e+04,"A1",9.7599999999999998e+00,894036376.0000,1514460579.5005,1.2900000000000000e+02,6.0757174842255242e-02,3.2060000000000002e+01,2.6684200000000001e+03
"PLYMOUTH","BP",2.0030000000000000e+03,1.1200000000000000e+02,1.1100000000000000e+02,"L",10614057.0000,18028543.0000,30043827.0000,18004450.0000,2642425.0000,29460121.0000,260000.0000,260000.0000,1085607.0000,1085607.0000,-241901.0000,745951.0000,-241901.0000,0.0000,,15447861.0000,15447861.0000,111753.0000,200000.0000,1530042.0000,1418289.0000,,352763.0000,17638487.0000,16997496.0000,9.6365952476536110e-01,19016202.0000,17558479.0000,9.2334310500067263e-01,1.2067000000000000e+04,"A2",2.1719999999999999e+01,521301328.0000,754577948.5714,1.0100000000000000e+02,6.5598548972188628e-02,3.3600000000000001e+01,2.0256000000000001e+03
"POMFRET","BP",2.0030000000000000e+03,1.1300000000000000e+02,1.1200000000000000e+02,"W",3218253.0000,5105508.0000,8637119.0000,6236495.0000,727785.0000,8136728.0000,11970.0000,11970.0000,529794.0000,529794.0000,-17433.0000,386366.0000,-17433.0000,0.0000,,2482078.0000,2482078.0000,235551.0000,156959.0000,1377789.0000,1142238.0000,,,5078905.0000,5006357.0000,9.8571581866563762e-01,5174452.0000,5049862.0000,9.7592208798149060e-01,3.9960000000000000e+03,"A3",4.0289999999999999e+01,206931845.0000,343563936.4602,8.0000000000000000e+00,4.3212775951150778e-02,2.4240000000000002e+01,7.6796000000000004e+02
"PORTLAND","BP",2.0030000000000000e+03,1.1400000000000000e+02,1.1300000000000000e+02,"M",4697259.0000,16795344.0000,22150011.0000,13979476.0000,1842211.0000,21134542.0000,0.0000,0.0000,909113.0000,909113.0000,106356.0000,189052.0000,106356.0000,0.0000,,24302002.0000,24302002.0000,0.0000,875000.0000,1679241.0000,1679241.0000,,-12109.0000,16454174.0000,16090772.0000,9.7791429700451693e-01,17318684.0000,16426377.0000,9.4847720531190471e-01,9.2640000000000000e+03,"A2",2.3400000000000002e+01,506401330.0000,730262500.0000,5.4000000000000000e+01,5.0615323541087734e-02,3.2170000000000002e+01,1.4617400000000000e+03
"PRESTON","BP",2.0030000000000000e+03,1.1500000000000000e+02,1.1400000000000000e+02,"NL",4438164.0000,5277352.0000,10654218.0000,8362387.0000,636570.0000,10628542.0000,362.0000,362.0000,561887.0000,561887.0000,-535849.0000,77686.0000,-535849.0000,0.0000,,5206815.0000,5206815.0000,597607.0000,0.0000,1387067.0000,789460.0000,,,5182054.0000,5071118.0000,9.7859227248500302e-01,5395145.0000,5166063.0000,9.5753923203176194e-01,4.8010000000000000e+03,"A3",3.0890000000000001e+01,213108631.0000,390519881.8937,1.7000000000000000e+01,4.2909090909090911e-02,2.4000000000000000e+01,7.4887000000000000e+02
"PROSPECT","BP",2.0030000000000000e+03,1.1600000000000000e+02,1.1500000000000000e+02,"NH",4502536.0000,14556290.0000,19610003.0000,14217173.0000,1715788.0000,20617892.0000,40000.0000,863439.0000,135000.0000,135000.0000,-1102889.0000,320316.0000,-279450.0000,0.0000,26018605.1515,4648314.0000,30666919.1515,0.0000,0.0000,507088.0000,507088.0000,,,14486387.0000,14199273.0000,9.8018042732118094e-01,15078773.0000,14432092.0000,9.5711315502925864e-01,9.1610000000000000e+03,"A3",1.4320000000000000e+01,486093055.0000,876095743.8334,1.4000000000000000e+01,5.1117589893100099e-02,2.9600000000000001e+01,1.5516800000000001e+03
"PUTNAM","BP",2.0030000000000000e+03,1.1700000000000000e+02,1.1600000000000000e+02,"W",9016253.0000,5976401.0000,18308304.0000,13038603.0000,1168600.0000,18169123.0000,111000.0000,111000.0000,147542.0000,147542.0000,102639.0000,491382.0000,102639.0000,0.0000,,1500000.0000,1500000.0000,279149.0000,1225964.0000,3085767.0000,2806618.0000,10843828.0000,,5793849.0000,5630217.0000,9.7175763469154963e-01,6068749.0000,5793845.0000,9.5470170211356575e-01,9.0790000000000000e+03,"A3",2.0289999999999999e+01,332206805.0000,615871107.7304,1.2000000000000000e+02,5.9959758551307848e-02,1.7250000000000000e+01,1.4134600000000000e+03
