Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),On-Behalf Payments (OBP) - Teachers Retirement Plan,OBP Allocation From POB Contribution,Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2008 Population,Moody's_Bond_Ratings_July_2008,area lmt,EGL,TANF08 Recipients,empl,ACMR,enrollmt,RPA Identifier,ACGLFY08
"HARWINTON","VR",2.0080000000000000e+03,6.7000000000000000e+01,6.6000000000000000e+01,"L",11193690.0000,5479087.0000,16672777.0000,1511059.0000,3127565.0000,12260176.0000,15880582.0000,10332812.0000,129250.0000,14789592.0000,0.0000,0.0000,795304.0000,795304.0000,295686.0000,637840.0000,295686.0000,0.0000,7674273.5249,0.0000,7674273.5249,0.0000,0.0000,0.0000,82451.0000,2893473.0000,"N",2893473.0000,"N","N",12342644.0000,12090444.0000,9.7956677677813608e-01,12813095.0000,12162159.0000,9.4919759823836469e-01,5.5600000000000000e+03,,3.0740000000000002e+01,886628761.3617,6.0000000000000000e+00,4.8067860508953821e-02,2.5800000000000001e+01,9.4938000000000000e+02,"Litchfield Hills Cncl of Elected Ofcls",478647176.0000
"HEBRON","VR",2.0080000000000000e+03,6.8000000000000000e+01,6.7000000000000000e+01,"T",46007316.0000,7648658.0000,53666834.0000,1654709.0000,7967184.0000,22473200.0000,31413666.0000,23537458.0000,1521701.0000,30424142.0000,1130000.0000,1130000.0000,1021339.0000,1021339.0000,1098185.0000,-1017391.0000,1098185.0000,0.0000,15563771.6324,8673978.0000,24237749.6324,899000.0000,0.0000,242758.0000,0.0000,3854201.0000,"N",3611443.0000,"N","N",22406413.0000,22104424.0000,9.8652220683426661e-01,22782230.0000,22244963.0000,9.7641727785208032e-01,9.2280000000000000e+03,"A1",3.6890000000000001e+01,1209139624.2857,7.0000000000000000e+00,4.2072950523654749e-02,2.6270000000000000e+01,2.0888899999999999e+03,"Capital Region COG",845855414.0000
"KENT","VR",2.0080000000000000e+03,6.9000000000000000e+01,6.8000000000000000e+01,"L",8554801.0000,3267113.0000,11902720.0000,-717009.0000,1721640.0000,8921123.0000,11235879.0000,7088353.0000,713627.0000,10455070.0000,648765.0000,648765.0000,1845200.0000,1845200.0000,-415626.0000,-258192.0000,-415626.0000,0.0000,955800.8478,6837402.0000,7793202.8478,1127889.0000,895661.7132,225508.0000,521598.0000,2529098.0000,"N",2303590.0000,"N","N",8852168.0000,8726768.0000,9.8583397874961254e-01,9077297.0000,8819547.0000,9.7160498328962908e-01,2.9440000000000000e+03,"A1",4.8469999999999999e+01,995505210.7189,3.0000000000000000e+00,4.1172800998128506e-02,1.8789999999999999e+01,3.5343000000000001e+02,"Northwestern CT COG",472178817.0000
"KILLINGLY","VR",2.0080000000000000e+03,7.0000000000000000e+01,6.9000000000000000e+01,"W",36882006.0000,25814958.0000,66966803.0000,6057755.0000,30624872.0000,25467819.0000,59172413.0000,45755940.0000,2871200.0000,56995219.0000,605773.0000,6116342.0000,6837516.0000,6837516.0000,-4054549.0000,-4611478.0000,1456020.0000,0.0000,,19555835.0000,19555835.0000,11776054.0000,9351417.2942,647679.0000,777730.0000,8773090.0000,"N",8125411.0000,"N","N",25298692.0000,24641179.0000,9.7401000020080086e-01,26157455.0000,25135363.0000,9.6092540348439859e-01,1.7826000000000000e+04,"A1",4.8520000000000003e+01,1988488894.0804,1.8200000000000000e+02,7.3277661795407095e-02,2.5800000000000001e+01,2.6412100000000000e+03,"Northeastern CT COG",851335233.0000
"KILLINGWORTH","VR",2.0080000000000000e+03,7.1000000000000000e+01,7.0000000000000000e+01,"M",27472908.0000,4780349.0000,32253257.0000,65507.0000,2775753.0000,16905431.0000,20351121.0000,15427893.0000,283717.0000,19271558.0000,0.0000,0.0000,592626.0000,592626.0000,486937.0000,-2724915.0000,486937.0000,0.0000,10439303.9752,3357041.0000,13796344.9752,0.0000,0.0000,0.0000,911232.0000,3996670.0000,"N",3996670.0000,"N","N",16826193.0000,16761370.0000,9.9614749456398133e-01,16932542.0000,16816244.0000,9.9313168690206111e-01,6.4630000000000000e+03,"A1",3.5320000000000000e+01,1136685332.8571,4.0000000000000000e+00,3.9857064321055527e-02,2.1199999999999999e+01,1.1681400000000001e+03,"CT River Estuary RPA",794724996.0000
"LEBANON","VR",2.0080000000000000e+03,7.2000000000000000e+01,7.1000000000000000e+01,"NL",28906441.0000,5765864.0000,38194711.0000,2472660.0000,12426602.0000,13371837.0000,28054508.0000,21770958.0000,1418001.0000,25859996.0000,10019.0000,10019.0000,2084415.0000,2084415.0000,120116.0000,411650.0000,120116.0000,0.0000,,7248864.0000,7248864.0000,6052936.0000,4806663.6236,0.0000,0.0000,3632459.0000,"N",3632459.0000,"N","N",13283137.0000,12929024.0000,9.7334116180537777e-01,13712778.0000,13206575.0000,9.6308530627419187e-01,7.3580000000000000e+03,"A1",5.4100000000000001e+01,971754519.8843,2.1000000000000000e+01,4.9382716049382713e-02,2.6800000000000001e+01,1.3465200000000000e+03,"Windham Region COG",487343338.0000
"LEDYARD","VR",2.0080000000000000e+03,7.3000000000000000e+01,7.2000000000000000e+01,"NL",45832461.0000,8651179.0000,54557535.0000,-2800096.0000,23634182.0000,29021192.0000,55613368.0000,36681537.0000,1187500.0000,54014970.0000,415056.0000,415056.0000,2269872.0000,2269872.0000,-256418.0000,14399.0000,-256418.0000,0.0000,,8214580.0000,8214580.0000,9141000.0000,7258909.0952,218015.0000,150000.0000,3353193.0000,"N",3135178.0000,"N","N",28926228.0000,28548770.0000,9.8695101207112101e-01,29286604.0000,28776700.0000,9.8258917285186087e-01,1.5078000000000000e+04,"A1",3.8140000000000001e+01,1818274359.0676,4.9000000000000000e+01,4.4664441118913316e-02,2.4879999999999999e+01,2.7574299999999998e+03,"Southeastern CT COG",1165414124.0000
"LISBON","VR",2.0080000000000000e+03,7.4000000000000000e+01,7.3000000000000000e+01,"NL",5848903.0000,1722754.0000,7576068.0000,-305171.0000,4572728.0000,6136106.0000,12144777.0000,9349387.0000,512711.0000,11933664.0000,0.0000,0.0000,21895.0000,21895.0000,189218.0000,-516538.0000,189218.0000,0.0000,,4615000.0000,4615000.0000,399326.0000,0.0000,180421.0000,0.0000,1287224.0000,"Y",1106803.0000,"N","N",6093619.0000,5977385.0000,9.8092529250680094e-01,6244899.0000,6063085.0000,9.7088599831638589e-01,4.2100000000000000e+03,"A3",1.6250000000000000e+01,543292414.2857,1.5000000000000000e+01,5.0705299275638584e-02,1.6000000000000000e+01,8.1481000000000006e+02,"Southeastern CT COG",379753260.0000
"LITCHFIELD","VR",2.0080000000000000e+03,7.5000000000000000e+01,7.4000000000000000e+01,"L",30561000.0000,10380000.0000,40951000.0000,4738000.0000,7408000.0000,22370000.0000,31070000.0000,21225000.0000,3523000.0000,30948000.0000,470000.0000,470000.0000,942000.0000,942000.0000,-350000.0000,588000.0000,-350000.0000,0.0000,,31235000.0000,31235000.0000,5602000.0000,4448573.3237,159000.0000,0.0000,3910000.0000,"N",3751000.0000,"N","N",22337000.0000,22005000.0000,9.8513676859023147e-01,22753000.0000,22243000.0000,9.7758537335735951e-01,8.6250000000000000e+03,"Aa3",5.6060000000000002e+01,1752551589.4172,1.5000000000000000e+01,4.6743816655321083e-02,2.5100000000000001e+01,1.2478000000000000e+03,"Litchfield Hills Cncl of Elected Ofcls",884557135.0000
"LYME","VR",2.0080000000000000e+03,7.6000000000000000e+01,7.5000000000000000e+01,"NL",4875004.0000,1988548.0000,6869552.0000,934268.0000,611423.0000,7290889.0000,8335658.0000,5331077.0000,414000.0000,8541047.0000,35000.0000,380000.0000,109000.0000,109000.0000,-279389.0000,-89598.0000,65611.0000,0.0000,3450149.9120,2051253.0000,5501402.9120,0.0000,0.0000,174729.0000,442298.0000,1409765.0000,"N",1235036.0000,"N","N",7218865.0000,7153057.0000,9.9088388548615325e-01,7350565.0000,7217764.0000,9.8193322554116591e-01,2.0770000000000000e+03,,3.1850000000000001e+01,854830282.4932,3.0000000000000000e+00,3.7931034482758620e-02,1.4000000000000000e+01,3.1898000000000002e+02,"CT River Estuary RPA",514588569.0000
"MADISON","KE",2.0080000000000000e+03,7.7000000000000000e+01,7.6000000000000000e+01,"NH",68961192.0000,9434940.0000,79161338.0000,634211.0000,18061642.0000,57232068.0000,78533301.0000,56099065.0000,4361189.0000,75118956.0000,134100.0000,134100.0000,2983453.0000,2983453.0000,564992.0000,625857.0000,564992.0000,0.0000,,38156163.0000,38156163.0000,15079168.0000,11974434.9353,744317.0000,295000.0000,8296982.0000,"N",7552665.0000,"N","N",57295703.0000,56995624.0000,9.9476262643989199e-01,57833472.0000,57192793.0000,9.8892200350689652e-01,1.8803000000000000e+04,"Aa1",3.6180000000000000e+01,4750966919.5451,5.0000000000000000e+00,3.7771203155818542e-02,2.3350000000000001e+01,3.8685900000000001e+03,"South Central Regional COG",2453739364.0000
"MANCHESTER","VR",2.0080000000000000e+03,7.8000000000000000e+01,7.7000000000000000e+01,"H",85637000.0000,17822000.0000,107707000.0000,17176000.0000,67734000.0000,109727000.0000,183294000.0000,123770000.0000,6985000.0000,178611000.0000,1412000.0000,1412000.0000,4794000.0000,4794000.0000,1301000.0000,1855000.0000,1301000.0000,0.0000,,87240000.0000,87240000.0000,31579000.0000,25077025.5244,2328000.0000,6450000.0000,18644000.0000,"N",16316000.0000,"N","Y",118238000.0000,116029000.0000,9.8131734298618045e-01,122228000.0000,118192000.0000,9.6697974277579601e-01,5.6385000000000000e+04,"Aa2",2.7250000000000000e+01,4902484041.4286,7.4500000000000000e+02,5.4736713350865392e-02,3.6050000000000004e+01,7.4118100000000004e+03,"Capital Region COG",3386234197.0000
"MANSFIELD","VR",2.0080000000000000e+03,7.9000000000000000e+01,7.8000000000000000e+01,"T",66557840.0000,1695208.0000,68691927.0000,562398.0000,23323275.0000,21921177.0000,46625037.0000,34026981.0000,796082.0000,45163427.0000,2500.0000,2500.0000,1372420.0000,1372420.0000,91690.0000,162260.0000,91690.0000,0.0000,10184819.2937,2505000.0000,12689819.2937,5262273.0000,4178794.5894,157377.0000,0.0000,1987579.0000,"N",1830202.0000,"N","N",21769741.0000,21440099.0000,9.8485778953456549e-01,22265263.0000,21654119.0000,9.7255168286132532e-01,2.4622000000000000e+04,"Aa3",4.4460000000000001e+01,1480091334.1089,4.2000000000000000e+01,4.6554224223460276e-02,2.3870000000000001e+01,1.9662500000000000e+03,"Windham Region COG",905412070.0000
"MARLBOROUGH","KE",2.0080000000000000e+03,8.0000000000000000e+01,7.9000000000000000e+01,"H",20845538.0000,3700808.0000,24546346.0000,347877.0000,6119166.0000,15766371.0000,22613354.0000,16356932.0000,1779592.0000,22433047.0000,326057.0000,326057.0000,291183.0000,291183.0000,215181.0000,129274.0000,215181.0000,0.0000,8767120.9976,13645653.0000,22412773.9976,2828078.0000,2245789.4231,234535.0000,861821.0000,3109181.0000,"N",2874646.0000,"N","N",15657751.0000,15569038.0000,9.9433424378762958e-01,15808610.0000,15657205.0000,9.9042262412697890e-01,6.3600000000000000e+03,"A1",2.3280000000000001e+01,916884956.7177,1.4000000000000000e+01,4.2697851509382649e-02,2.5210000000000001e+01,1.1864000000000001e+03,"Capital Region COG",615859586.0000
"MERIDEN","VR",2.0080000000000000e+03,8.1000000000000000e+01,8.0000000000000000e+01,"NH",101766205.0000,-30018673.0000,75967522.0000,-4432153.0000,96756081.0000,102504625.0000,209572564.0000,133749494.0000,16983368.0000,211332506.0000,155746.0000,155746.0000,414011.0000,414011.0000,-2018207.0000,1681946.0000,-2018207.0000,0.0000,,69944215.0000,69944215.0000,36875957.0000,29283362.8337,5514538.0000,0.0000,9475372.0000,"N",3960834.0000,"Y","N",102623084.0000,99847031.0000,9.7294903941885047e-01,108473963.0000,101544471.0000,9.3611838446429763e-01,5.9186000000000000e+04,"A3",2.3740000000000002e+01,5201706481.4286,1.4240000000000000e+03,6.8534062686661013e-02,2.7960000000000001e+01,9.6214300000000003e+03,"South Central Regional COG",3608202587.0000
"MIDDLEBURY","VR",2.0080000000000000e+03,8.2000000000000000e+01,8.1000000000000000e+01,"NH",37455627.0000,11101227.0000,48556854.0000,914715.0000,902091.0000,22952412.0000,24890255.0000,15904783.0000,3939889.0000,26495178.0000,502582.0000,1795762.0000,320293.0000,320293.0000,-1422634.0000,-2432796.0000,-129454.0000,0.0000,9054963.9301,6573958.0000,15628921.9301,0.0000,0.0000,0.0000,0.0000,3220663.0000,"N",3220663.0000,"N","N",22891089.0000,22628202.0000,9.8851574951283450e-01,23314569.0000,22816235.0000,9.7862563961615590e-01,7.3430000000000000e+03,"Aa3",1.7750000000000000e+01,1491853687.1429,1.2000000000000000e+01,4.3588443993917890e-02,2.1900000000000002e+01,1.3349800000000000e+03,"COG of Central Naugatuck Valley",1041751719.0000
"MIDDLEFIELD","VR",2.0080000000000000e+03,8.3000000000000000e+01,8.2000000000000000e+01,"M",4314479.0000,4500342.0000,8814821.0000,128725.0000,2318681.0000,10651060.0000,13423907.0000,10062275.0000,326043.0000,13291203.0000,256100.0000,256100.0000,238200.0000,238200.0000,150604.0000,-434230.0000,150604.0000,0.0000,5732407.2632,5883676.0000,11616083.2632,0.0000,0.0000,30804.0000,150000.0000,889051.0000,"N",858247.0000,"N","N",10684022.0000,10476377.0000,9.8056490336691560e-01,10912259.0000,10562284.0000,9.6792827223034206e-01,4.2490000000000000e+03,,1.2700000000000001e+01,649565171.4286,6.0000000000000000e+00,4.6140939597315439e-02,2.4109999999999999e+01,7.4925000000000000e+02,"Midstate RPA",444842422.0000
"MIDDLETOWN","VR",2.0080000000000000e+03,8.4000000000000000e+01,8.3000000000000000e+01,"M",261139000.0000,29717000.0000,291677000.0000,18580000.0000,55133000.0000,83244000.0000,146238000.0000,89694000.0000,13436000.0000,131652000.0000,615000.0000,737000.0000,14720000.0000,14720000.0000,481000.0000,4570000.0000,603000.0000,0.0000,,84039000.0000,84039000.0000,23576000.0000,18721807.3328,1435000.0000,3715000.0000,18926000.0000,"N",17491000.0000,"N","N",90512000.0000,88446000.0000,9.7717429733074068e-01,92822000.0000,89198000.0000,9.6095753161965913e-01,4.8030000000000000e+04,"Aa3",4.0899999999999999e+01,5745220103.8322,4.7700000000000000e+02,5.2495283193370573e-02,3.1800000000000001e+01,5.1992200000000003e+03,"Midstate RPA",2633192322.0000
"MILFORD","VR",2.0080000000000000e+03,8.5000000000000000e+01,8.4000000000000000e+01,"NH",141359000.0000,7084000.0000,148594000.0000,3266000.0000,49611000.0000,142244000.0000,202351000.0000,128653000.0000,9246000.0000,199076000.0000,1000000.0000,1000000.0000,1530000.0000,1530000.0000,2745000.0000,184000.0000,2745000.0000,0.0000,,69203000.0000,69203000.0000,33119000.0000,26299946.4309,2633000.0000,1750000.0000,18588000.0000,"N",15955000.0000,"N","N",142991000.0000,140289000.0000,9.8110370582763951e-01,148738000.0000,142008000.0000,9.5475265231480855e-01,5.5907000000000000e+04,"Aa2",2.2559999999999999e+01,10214669430.0000,1.5800000000000000e+02,3.7087110155169765e-02,3.1770000000000000e+01,7.3717799999999997e+03,"South Central Regional COG",7097232870.0000
"MONROE","VR",2.0080000000000000e+03,8.6000000000000000e+01,8.5000000000000000e+01,"F",48849072.0000,-3008919.0000,46034749.0000,393465.0000,25538538.0000,57756527.0000,86029299.0000,64456492.0000,5543136.0000,86719803.0000,123682.0000,841482.0000,429726.0000,429726.0000,-996548.0000,703676.0000,-278748.0000,0.0000,,46595026.0000,46595026.0000,18002147.0000,14295585.6681,679098.0000,370000.0000,3364912.0000,"N",2685814.0000,"N","Y",57583056.0000,57014214.0000,9.9012136486816538e-01,58152529.0000,57354980.0000,9.8628522243632777e-01,1.9359000000000000e+04,"Aa3",2.6129999999999999e+01,3845023945.4549,1.4000000000000000e+01,4.6564025535110777e-02,2.7420000000000002e+01,4.1834300000000003e+03,"Greater Bridgeport RPA",2094626144.0000
"MONTVILLE","VR",2.0080000000000000e+03,8.7000000000000000e+01,8.6000000000000000e+01,"NL",51927736.0000,-4812861.0000,47114875.0000,8399189.0000,21898983.0000,31312764.0000,57232675.0000,36705134.0000,3978148.0000,58737124.0000,50818.0000,3351318.0000,30000.0000,30000.0000,-1483631.0000,-73884.0000,1816869.0000,0.0000,,35674785.0000,35674785.0000,2515000.0000,0.0000,3213494.0000,3417654.0000,12361588.0000,"N",9148094.0000,"N","N",30950275.0000,30385745.0000,9.8176009744663006e-01,32260199.0000,30877851.0000,9.5715004733851761e-01,1.9612000000000000e+04,"Aa3",4.2009999999999998e+01,2113241212.8571,8.8000000000000000e+01,5.2726291164297286e-02,2.1000000000000000e+01,2.9313899999999999e+03,"Southeastern CT COG",1468838595.0000
"MORRIS","VR",2.0080000000000000e+03,8.8000000000000000e+01,8.7000000000000000e+01,"L",5322235.0000,1612537.0000,6992268.0000,313657.0000,716550.0000,7085222.0000,8094488.0000,5746376.0000,0.0000,7800124.0000,0.0000,0.0000,100000.0000,100000.0000,194364.0000,155316.0000,194364.0000,0.0000,2283037.8675,0.0000,2283037.8675,0.0000,0.0000,89934.0000,175000.0000,1049142.0000,"N",959208.0000,"N","N",7073357.0000,7002823.0000,9.9002821432595589e-01,7133399.0000,7042654.0000,9.8727885542362059e-01,2.3290000000000000e+03,,1.7190000000000001e+01,666197297.5012,2.0000000000000000e+00,5.1817478731631866e-02,2.0670000000000002e+01,3.8569999999999999e+02,"Litchfield Hills Cncl of Elected Ofcls",365987204.0000
"NAUGATUCK","VR",2.0080000000000000e+03,8.9000000000000000e+01,8.8000000000000000e+01,"NH",104944090.0000,11178920.0000,119322988.0000,7970728.0000,50526650.0000,60733633.0000,119679465.0000,73739126.0000,10348435.0000,115505108.0000,32028.0000,69049.0000,4352393.0000,4352393.0000,-146008.0000,1043999.0000,-108987.0000,0.0000,,97369947.0000,97369947.0000,19297000.0000,15323834.2425,267636.0000,950000.0000,9672220.0000,"Y",9404584.0000,"N","N",60340080.0000,57664453.0000,9.5565754967510819e-01,67343778.0000,60322422.0000,8.9573860854673171e-01,3.1931000000000000e+04,"A1",1.6390000000000001e+01,3202794984.9876,2.3900000000000000e+02,6.8307441671030436e-02,4.1300000000000004e+01,5.1320299999999997e+03,"COG of Central Naugatuck Valley",1451251370.0000
"NEW BRITAIN","VR",2.0080000000000000e+03,9.0000000000000000e+01,8.9000000000000000e+01,"H",147314000.0000,-43784000.0000,106244000.0000,14049000.0000,138925000.0000,95447000.0000,249856000.0000,160456000.0000,25374000.0000,221139000.0000,5370000.0000,5370000.0000,31804000.0000,31804000.0000,2283000.0000,-1113000.0000,2283000.0000,0.0000,,183790000.0000,183790000.0000,45298000.0000,35971344.9509,3661000.0000,0.0000,13410000.0000,"N ",9749000.0000,"N","N",95749000.0000,91654000.0000,9.5723192931518863e-01,104848000.0000,94090000.0000,8.9739432321074319e-01,7.0486000000000000e+04,"A3",1.3340000000000000e+01,4617766549.3230,2.4790000000000000e+03,8.3074801792485345e-02,4.5390000000000001e+01,1.0984910000000000e+04,"Central CT RPA",2089371947.0000
"NEW CANAAN","VR",2.0080000000000000e+03,9.1000000000000000e+01,9.0000000000000000e+01,"F",75570092.0000,31065181.0000,106635273.0000,13581476.0000,6897458.0000,102071289.0000,116169511.0000,67946645.0000,13177740.0000,115635545.0000,0.0000,500000.0000,351125.0000,351125.0000,182841.0000,617056.0000,682841.0000,0.0000,,141318388.0000,141318388.0000,4460000.0000,0.0000,3074066.0000,2232586.0000,15390012.0000,"N",12315946.0000,"N","N",101561528.0000,100830060.0000,9.9279778460993617e-01,102835069.0000,101388498.0000,9.8593309642258320e-01,1.9912000000000000e+04,"Aaa",2.2129999999999999e+01,13048972888.3680,7.0000000000000000e+00,3.8171327119396359e-02,1.4536000000000000e+01,4.1102799999999997e+03,"South Western RPA",6958845074.0000
"NEW FAIRFIELD","VR",2.0080000000000000e+03,9.2000000000000000e+01,9.1000000000000000e+01,"F",37959367.0000,17940051.0000,55899418.0000,1230126.0000,7997963.0000,36330018.0000,46346189.0000,29784853.0000,2458985.0000,44781589.0000,23302.0000,23302.0000,1187360.0000,1187360.0000,400542.0000,943151.0000,400542.0000,0.0000,,12600000.0000,12600000.0000,2449000.0000,0.0000,810158.0000,0.0000,7473411.0000,"N",6663253.0000,"N","N",36304467.0000,35993657.0000,9.9143879457037609e-01,36566220.0000,36156903.0000,9.8880614403129441e-01,1.4059000000000000e+04,"Aa2",2.0460000000000001e+01,2849406053.4055,1.8000000000000000e+01,4.2800528401585207e-02,1.9960000000000001e+01,3.0065999999999999e+03,"Housatonic Council of Elected Ofcls",1827611183.0000
"NEW HARTFORD","VR",2.0080000000000000e+03,9.3000000000000000e+01,9.2000000000000000e+01,"L",9943175.0000,4039050.0000,13996125.0000,1336423.0000,7275891.0000,16340531.0000,24253987.0000,17203654.0000,817610.0000,23410864.0000,130643.0000,130643.0000,235400.0000,235400.0000,738366.0000,590181.0000,738366.0000,0.0000,3732417.9654,6005000.0000,9737417.9654,2471240.0000,1962422.7669,0.0000,361691.0000,3102910.0000,"N",3102910.0000,"N","N",16158191.0000,15931870.0000,9.8599341968417131e-01,16430760.0000,16051351.0000,9.7690861530446549e-01,6.7280000000000000e+03,"A2",3.7020000000000003e+01,1066547118.2648,3.0000000000000000e+00,4.6858638743455500e-02,2.8150000000000002e+01,1.1418099999999999e+03,"Litchfield Hills Cncl of Elected Ofcls",569778071.0000
"NEW HAVEN","VR",2.0080000000000000e+03,9.4000000000000000e+01,9.3000000000000000e+01,"NH",690783952.0000,-108981890.0000,597091294.0000,49589029.0000,289221907.0000,186365020.0000,516854707.0000,256210171.0000,62703859.0000,522068999.0000,6000000.0000,6000000.0000,0.0000,0.0000,785708.0000,1698873.0000,785708.0000,0.0000,,503183683.0000,503183683.0000,86111688.0000,68381677.6315,0.0000,0.0000,15508258.0000,"N",15508258.0000,"N","Y",185890697.0000,182089417.0000,9.7955099388324962e-01,191434145.0000,184580509.0000,9.6419846626629746e-01,1.2366900000000000e+05,"A3",1.8850000000000001e+01,6370284874.2857,4.8780000000000000e+03,8.3154352806414658e-02,4.2210000000000001e+01,1.8546950000000001e+04,"South Central Regional COG",4406528716.0000
"NEW LONDON","VR",2.0080000000000000e+03,9.5000000000000000e+01,9.5000000000000000e+01,"NL",172629259.0000,17158956.0000,189788215.0000,864744.0000,48716788.0000,38090479.0000,92261800.0000,52721171.0000,3721467.0000,92100343.0000,0.0000,0.0000,3402477.0000,3402477.0000,-3241020.0000,2473351.0000,-3241020.0000,0.0000,,26142119.0000,26142119.0000,14145066.0000,11232660.3479,55151.0000,145758.0000,6171501.0000,"N",6116350.0000,"N","N",38187117.0000,37290161.0000,9.7651155493094699e-01,39514512.0000,37799209.0000,9.5659055589500885e-01,2.5891000000000000e+04,"A1",5.5400000000000000e+00,2410966668.1092,8.1800000000000000e+02,6.8653693120162049e-02,3.0449999999999999e+01,3.3808600000000001e+03,"Southeastern CT COG",1260882564.0000
"NEW MILFORD","VR",2.0080000000000000e+03,9.6000000000000000e+01,9.6000000000000000e+01,"L",98580495.0000,66923265.0000,165503760.0000,627821.0000,35086420.0000,65193083.0000,105468489.0000,75142150.0000,6498445.0000,106481971.0000,979756.0000,1303114.0000,2924598.0000,2924598.0000,-2958324.0000,-1064512.0000,-2634966.0000,0.0000,,39183815.0000,39183815.0000,18676343.0000,14830967.7353,896274.0000,3333030.0000,11587038.0000,"N",10690764.0000,"N","N",64337077.0000,63119503.0000,9.8107508054803294e-01,66534820.0000,64298304.0000,9.6638578115939899e-01,2.8338000000000000e+04,"Aa2",6.1579999999999998e+01,5123703742.0761,6.5000000000000000e+01,4.4522016045073186e-02,2.1340000000000000e+01,4.9187799999999997e+03,"Housatonic Council of Elected Ofcls",3021273470.0000
"NEWINGTON","VR",2.0080000000000000e+03,9.7000000000000000e+01,9.4000000000000000e+01,"H",52163000.0000,27626000.0000,80371000.0000,6923000.0000,35474000.0000,70359000.0000,109930000.0000,73635000.0000,2804000.0000,104668000.0000,94000.0000,94000.0000,4418000.0000,4418000.0000,938000.0000,1298000.0000,938000.0000,0.0000,,19108000.0000,19108000.0000,19179000.0000,15230129.9133,1572000.0000,2000000.0000,15644000.0000,"N",14072000.0000,"N","N",69973000.0000,69338000.0000,9.9092507109885242e-01,71034000.0000,69816000.0000,9.8285328152715601e-01,2.9699000000000000e+04,"Aa3",1.3170000000000000e+01,4219375007.6689,7.4000000000000000e+01,4.7741089521993088e-02,2.6910000000000000e+01,4.5532100000000000e+03,"Capital Region COG",2590248718.0000
"NEWTOWN","VR",2.0080000000000000e+03,9.8000000000000000e+01,9.7000000000000000e+01,"F",122076076.0000,14657092.0000,147904156.0000,6897465.0000,24452450.0000,85409590.0000,114050867.0000,79232308.0000,9613705.0000,113912602.0000,4700000.0000,4700000.0000,165000.0000,165000.0000,4673265.0000,466210.0000,4673265.0000,0.0000,,71760665.0000,71760665.0000,16339961.0000,12975636.3110,2341582.0000,2619306.0000,12782086.0000,"N",10440504.0000,"N","N",84992465.0000,84184897.0000,9.9049835770735672e-01,86103550.0000,84796275.0000,9.8481740880602486e-01,2.6737000000000000e+04,"Aa2",5.7759999999999998e+01,5802328235.5010,2.3000000000000000e+01,4.0797824116047147e-02,2.8100000000000001e+01,5.7470699999999997e+03,"Housatonic Council of Elected Ofcls",3041888360.0000
"NORFOLK","VR",2.0080000000000000e+03,9.9000000000000000e+01,9.8000000000000000e+01,"L",4181551.0000,2346154.0000,6527705.0000,428989.0000,1641612.0000,6024753.0000,8008160.0000,4548555.0000,117233.0000,7362981.0000,8743.0000,8743.0000,159112.0000,159112.0000,494810.0000,-196885.0000,494810.0000,0.0000,724594.5575,607000.0000,1331594.5575,708052.0000,562267.2686,0.0000,232000.0000,1398028.0000,"N",1398028.0000,"N","N",5877688.0000,5778067.0000,9.8305098875612318e-01,6104602.0000,5947880.0000,9.7432723705820623e-01,1.6470000000000000e+03,"A3",4.5310000000000002e+01,421545602.7991,9.0000000000000000e+00,4.1313559322033899e-02,2.8120000000000001e+01,2.6587000000000000e+02,"Litchfield Hills Cncl of Elected Ofcls",207233219.0000
"NORTH BRANFORD","VR",2.0080000000000000e+03,1.0000000000000000e+02,9.9000000000000000e+01,"NH",33250331.0000,3286555.0000,36536886.0000,535646.0000,18384827.0000,31157035.0000,50320621.0000,35671506.0000,3174713.0000,49911141.0000,446508.0000,757881.0000,431875.0000,431875.0000,424113.0000,248640.0000,735486.0000,0.0000,,29254585.0000,29254585.0000,9176273.0000,7286919.5427,1168604.0000,350000.0000,5703297.0000,"N",4534693.0000,"N","N",30109078.0000,29649662.0000,9.8474161181554609e-01,30511354.0000,29856743.0000,9.7854533102660735e-01,1.4374000000000000e+04,"A1",2.4920000000000002e+01,1979674513.2772,3.4000000000000000e+01,4.8502139800285310e-02,2.3699999999999999e+01,2.5305599999999999e+03,"South Central Regional COG",1266262435.0000
