Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2007 Population,Moody's_Bond_Ratings_July_2007,area lmt,EGL,TANF07 Recipients,empl,ACMR,enrollmt,RPA Identifier,ACGLFY07
"NORWICH","VR",2.0070000000000000e+03,1.0500000000000000e+02,1.0400000000000000e+02,"NL",44114000.0000,13808000.0000,59647000.0000,2917000.0000,38859000.0000,49920000.0000,94872000.0000,62507000.0000,5041000.0000,98887000.0000,7173000.0000,7173000.0000,2371000.0000,2371000.0000,787000.0000,318000.0000,787000.0000,0.0000,,25098000.0000,25098000.0000,425000.0000,2020000.0000,12076000.0000,"N",11651000.0000,"N","Y",49971000.0000,48177000.0000,9.6409917752296337e-01,52011000.0000,48899000.0000,9.4016650323969930e-01,3.6432000000000000e+04,"A1",2.8329999999999998e+01,3592741013.3928,8.5400000000000000e+02,5.1559982422733262e-02,2.8079999999999998e+01,5.6093800000000001e+03,"Southeastern CT COG",1791749846.0000
"OLD LYME","KE",2.0070000000000000e+03,1.0600000000000000e+02,1.0500000000000000e+02,"NL",7795442.0000,1456952.0000,12429810.0000,817001.0000,752590.0000,26448743.0000,28470621.0000,21001614.0000,128622.0000,27682582.0000,163109.0000,163109.0000,411705.0000,411705.0000,539443.0000,-276013.0000,539443.0000,0.0000,14921207.2601,200000.0000,15121207.2601,413200.0000,0.0000,2817522.0000,"N",2404322.0000,"N","N",26305435.0000,26077615.0000,9.9133943232643751e-01,26669558.0000,26304629.0000,9.8631664611764469e-01,7.3840000000000000e+03,"Aa2",2.3100000000000001e+01,2484347964.3463,1.1000000000000000e+01,3.4986820033549006e-02,1.7800000000000001e+01,1.2480100000000000e+03,"CT River Estuary RPA",1478053400.0000
"OLD SAYBROOK","VR",2.0070000000000000e+03,1.0700000000000000e+02,1.0600000000000000e+02,"M",63055783.0000,5785427.0000,72350417.0000,5736691.0000,2222643.0000,29322921.0000,32998186.0000,18625046.0000,2943951.0000,31959985.0000,65755.0000,65755.0000,1024502.0000,1024502.0000,79454.0000,916961.0000,79454.0000,0.0000,,23705000.0000,23705000.0000,83171.0000,0.0000,3197013.0000,"Y",3113842.0000,"N","N",29199765.0000,28998757.0000,9.9311610898238389e-01,29515735.0000,29081636.0000,9.8529262442558185e-01,1.0539000000000000e+04,"Aa3",1.5039999999999999e+01,3405122465.4992,2.1000000000000000e+01,3.6340394448502560e-02,1.5350000000000000e+01,1.5835000000000000e+03,"CT River Estuary RPA",1902197575.0000
"ORANGE","VR",2.0070000000000000e+03,1.0800000000000000e+02,1.0700000000000000e+02,"NH",20971017.0000,11242767.0000,33714842.0000,2719690.0000,3071146.0000,45896311.0000,51265210.0000,33059930.0000,1817385.0000,51279783.0000,404000.0000,404000.0000,0.0000,0.0000,389427.0000,2418495.0000,389427.0000,0.0000,25820236.9180,16555000.0000,42375236.9180,1064378.0000,410000.0000,10586605.0000,"N",9522227.0000,"N","N",46020121.0000,45704770.0000,9.9314754083328027e-01,46220558.0000,45828427.0000,9.9151609117310957e-01,1.3813000000000000e+04,"Aa2",1.7190000000000001e+01,3153871254.3212,1.1000000000000000e+01,3.3195020746887967e-02,3.1899999999999999e+01,2.5513099999999999e+03,"South Central Regional COG",1440492601.0000
"OXFORD","VR",2.0070000000000000e+03,1.0900000000000000e+02,1.0800000000000000e+02,"NH",55476967.0000,10654144.0000,66132612.0000,10025313.0000,6293732.0000,24760650.0000,33099294.0000,22803753.0000,1677464.0000,32469067.0000,0.0000,0.0000,1167902.0000,1167902.0000,-537675.0000,614020.0000,-537675.0000,0.0000,,7175000.0000,7175000.0000,1043069.0000,270650.0000,4497520.0000,"N",3454451.0000,"N","N",24756757.0000,24082517.0000,9.7276541511475034e-01,29851444.0000,24588795.0000,8.2370537921046638e-01,1.2527000000000000e+04,"A1",3.2890000000000001e+01,1826971397.1429,1.4000000000000000e+01,3.4543246525435167e-02,1.9370000000000001e+01,2.1255700000000002e+03,"COG of Central Naugatuck Valley",1275901683.0000
"PLAINFIELD","KE",2.0070000000000000e+03,1.1000000000000000e+02,1.0900000000000000e+02,"W",57958069.0000,11600903.0000,69558972.0000,4462524.0000,19581678.0000,18398311.0000,41268048.0000,32023371.0000,2594196.0000,40729764.0000,256344.0000,635148.0000,0.0000,0.0000,794628.0000,1076195.0000,1173432.0000,0.0000,,23367362.0000,23367362.0000,55945.0000,830514.0000,6268607.0000,"N",6212662.0000,"N","N",18433387.0000,17902704.0000,9.7121077097768305e-01,19419142.0000,18256074.0000,9.4010713758620235e-01,1.5450000000000000e+04,"A2",4.2259999999999998e+01,1627130810.0046,1.8200000000000000e+02,5.9028612647270981e-02,2.6899999999999999e+01,2.6359400000000001e+03,"Northeastern CT COG",679825610.0000
"PLAINVILLE","VR",2.0070000000000000e+03,1.1100000000000000e+02,1.1000000000000000e+02,"H",32786878.0000,20455493.0000,54422820.0000,4934761.0000,13716585.0000,35455951.0000,51101404.0000,31664818.0000,4316600.0000,49049799.0000,315277.0000,7398193.0000,2152823.0000,9143881.0000,214059.0000,-436479.0000,305917.0000,0.0000,,45311683.0000,45311683.0000,1651887.0000,1300000.0000,6919231.0000,"N",5267344.0000,"N","N",35055339.0000,34290418.0000,9.7817961480846038e-01,36526893.0000,35038359.0000,9.5924827222506992e-01,1.7193000000000000e+04,"A1",9.7599999999999998e+00,2186591339.0952,1.0700000000000000e+02,4.6637853050557843e-02,3.6280000000000001e+01,2.6333000000000002e+03,"Central CT RPA",958411700.0000
"PLYMOUTH","KE",2.0070000000000000e+03,1.1200000000000000e+02,1.1100000000000000e+02,"L",142349741.0000,12133925.0000,162487620.0000,14830203.0000,11224760.0000,23186787.0000,36156238.0000,21655446.0000,2786078.0000,35077296.0000,247557.0000,247557.0000,1038837.0000,1038837.0000,287662.0000,305793.0000,287662.0000,0.0000,,25189670.0000,25189670.0000,534791.0000,0.0000,2405810.0000,"N",1871019.0000,"N","N",22953247.0000,22154884.0000,9.6521786220485495e-01,24319379.0000,22707552.0000,9.3372252638523379e-01,1.2011000000000000e+04,"A2",2.1719999999999999e+01,1193896063.7775,6.8000000000000000e+01,5.4682868998221695e-02,4.1299999999999997e+01,2.0406900000000001e+03,"Central CT RPA",554009711.0000
"POMFRET","KE",2.0070000000000000e+03,1.1300000000000000e+02,1.1200000000000000e+02,"W",8844562.0000,2081329.0000,11143926.0000,457830.0000,4027878.0000,6445582.0000,10868870.0000,8607344.0000,443742.0000,10434376.0000,70045.0000,70045.0000,458000.0000,458000.0000,46539.0000,-100760.0000,46539.0000,0.0000,,275270.0000,275270.0000,160000.0000,262275.0000,1474951.0000,"N",1314951.0000,"N","N",6398292.0000,6362143.0000,9.9435021096255061e-01,6459480.0000,6398352.0000,9.9053669954857049e-01,4.1650000000000000e+03,,4.0289999999999999e+01,529806021.4003,1.3000000000000000e+01,3.9929015084294590e-02,1.9230000000000000e+01,7.8210000000000002e+02,"Northeastern CT COG",331276225.0000
"PORTLAND","KE",2.0070000000000000e+03,1.1400000000000000e+02,1.1300000000000000e+02,"M",50585714.0000,6625867.0000,57211581.0000,1433171.0000,5151017.0000,22015390.0000,28029065.0000,17247657.0000,3412714.0000,27070687.0000,0.0000,0.0000,1095433.0000,1095433.0000,-137055.0000,116371.0000,-137055.0000,0.0000,,27030713.0000,27030713.0000,91904.0000,115100.0000,2431327.0000,"N",2339423.0000,"N","N",22060959.0000,21715104.0000,9.8432275768247424e-01,22546948.0000,21872896.0000,9.7010451259301256e-01,9.5370000000000000e+03,"A2",2.3399999999999999e+01,1221758286.2609,4.8000000000000000e+01,4.1838649155722329e-02,3.8909999999999997e+01,1.4706600000000001e+03,"Midstate RPA",562303490.0000
"PRESTON","KE",2.0070000000000000e+03,1.1500000000000000e+02,1.1400000000000000e+02,"NL",12215558.0000,2357407.0000,14617247.0000,-901148.0000,5270229.0000,7673045.0000,14019914.0000,10401301.0000,662292.0000,13661236.0000,375.0000,21025.0000,263989.0000,263989.0000,95064.0000,-40330.0000,115714.0000,0.0000,,5909742.0000,5909742.0000,223582.0000,0.0000,1636051.0000,"N",1412469.0000,"N","N",7486512.0000,7336912.0000,9.8001739661941367e-01,7634059.0000,7404133.0000,9.6988155318160363e-01,4.9020000000000000e+03,,3.0890000000000001e+01,648586961.1709,1.3000000000000000e+01,4.0966386554621849e-02,2.6199999999999999e+01,7.7902999999999997e+02,"Southeastern CT COG",290611669.0000
"PROSPECT","VR",2.0070000000000000e+03,1.1600000000000000e+02,1.1500000000000000e+02,"NH",14556223.0000,1644706.0000,16200929.0000,414384.0000,4796885.0000,18803650.0000,24229116.0000,17789838.0000,1250024.0000,24549847.0000,68356.0000,587283.0000,13500.0000,52234.0000,-265875.0000,-799617.0000,214318.0000,0.0000,18558048.3660,4022359.0000,22580407.3660,0.0000,0.0000,416989.0000,"N",416989.0000,"N","N",18684832.0000,18448305.0000,9.8734122950637182e-01,19237390.0000,18663254.0000,9.7015520296672264e-01,9.2730000000000000e+03,"A3",1.4320000000000000e+01,1117667588.5714,1.9000000000000000e+01,4.2125237191650851e-02,2.3980000000000000e+01,1.6725699999999999e+03,"COG of Central Naugatuck Valley",779016882.0000
"PUTNAM","KE",2.0070000000000000e+03,1.1700000000000000e+02,1.1600000000000000e+02,"W",25124742.0000,4420663.0000,31536257.0000,353468.0000,9152681.0000,7138500.0000,19529518.0000,15621857.0000,209255.0000,20037564.0000,206805.0000,206805.0000,202000.0000,202000.0000,-503241.0000,154000.0000,-503241.0000,0.0000,,540000.0000,540000.0000,542305.0000,864226.0000,3268987.0000,"N",2726682.0000,"N","N",7062590.0000,6910322.0000,9.7844020394784348e-01,7232130.0000,6992863.0000,9.6691610908542847e-01,9.2920000000000000e+03,"A3",2.0289999999999999e+01,1032338867.2048,1.6700000000000000e+02,5.8040879290397224e-02,1.4220000000000001e+01,1.3267500000000000e+03,"Northeastern CT COG",491708280.0000
"REDDING","VR",2.0070000000000000e+03,1.1800000000000000e+02,1.1700000000000000e+02,"F",27829844.0000,2548571.0000,30380515.0000,-4368229.0000,1970997.0000,33704103.0000,37614131.0000,28727401.0000,2005532.0000,39796728.0000,0.0000,0.0000,160000.0000,160000.0000,-2342597.0000,-331811.0000,-2342597.0000,0.0000,14545656.8574,14684610.0000,29230266.8574,0.0000,1156088.0000,1551971.0000,"N",1551971.0000,"N","N",33561920.0000,33245174.0000,9.9056233969927820e-01,34086824.0000,33430417.0000,9.8074308712363467e-01,8.8400000000000000e+03,"Aa1",3.1500000000000000e+01,2885200068.7239,5.0000000000000000e+00,2.6749411512946714e-02,2.2739999999999998e+01,1.7900300000000000e+03,"Housatonic Council of Elected Ofcls",1513375646.0000
"RIDGEFIELD","KE",2.0070000000000000e+03,1.1900000000000000e+02,1.1800000000000000e+02,"F",60639192.0000,12984360.0000,73677328.0000,7263333.0000,6344113.0000,100065605.0000,115838164.0000,71669217.0000,14501005.0000,112246691.0000,118366.0000,118366.0000,2363896.0000,2363896.0000,1345943.0000,2156757.0000,1345943.0000,0.0000,,123920841.0000,123920841.0000,841150.0000,1000000.0000,9482811.0000,"N",8641661.0000,"N","N",99974730.0000,99045063.0000,9.9070098013768082e-01,101832103.0000,99517414.0000,9.7726955516179415e-01,2.3872000000000000e+04,"Aaa",3.4430000000000000e+01,8370463985.7966,7.0000000000000000e+00,2.9154518950437316e-02,2.4230000000000000e+01,5.6061700000000001e+03,"Housatonic Council of Elected Ofcls",4155503085.0000
"ROCKY HILL","KE",2.0070000000000000e+03,1.2000000000000000e+02,1.1900000000000000e+02,"H",27903888.0000,2837405.0000,30888687.0000,434816.0000,6229295.0000,45423613.0000,54412949.0000,26080002.0000,2807051.0000,53479297.0000,0.0000,0.0000,296739.0000,296739.0000,636913.0000,-158820.0000,636913.0000,0.0000,,25122730.0000,25122730.0000,313096.0000,1079256.0000,4792746.0000,"N",4659650.0000,"N","N",45313396.0000,45036645.0000,9.9389251249233224e-01,45686572.0000,45282154.0000,9.9114798982948427e-01,1.8808000000000000e+04,"Aa3",1.3449999999999999e+01,2988857920.1109,2.8000000000000000e+01,3.8925797698137928e-02,2.8000000000000000e+01,2.5854000000000001e+03,"Capital Region COG",1603322564.0000
"ROXBURY","KE",2.0070000000000000e+03,1.2100000000000000e+02,1.2000000000000000e+02,"L",10395263.0000,2242314.0000,15593216.0000,513058.0000,352451.0000,7682396.0000,8670844.0000,5624865.0000,113465.0000,8009540.0000,0.0000,0.0000,536240.0000,536240.0000,125064.0000,-141570.0000,125064.0000,0.0000,762735.9708,0.0000,762735.9708,0.0000,239704.0000,2211203.0000,"N",2211203.0000,"N","N",7642588.0000,7613839.0000,9.9623831613060920e-01,7693087.0000,7659100.0000,9.9558213757364245e-01,2.3190000000000000e+03,,2.6219999999999999e+01,974583738.1526,0.0000000000000000e+00,2.8508771929824560e-02,1.5400000000000000e+01,3.1735000000000002e+02,"Northwestern CT COG",494831770.0000
"SALEM","KE",2.0070000000000000e+03,1.2200000000000000e+02,1.2100000000000000e+02,"NL",12009726.0000,2726720.0000,14750895.0000,515331.0000,3784890.0000,9412463.0000,13633319.0000,9725709.0000,703095.0000,13597184.0000,363382.0000,363382.0000,32866.0000,32866.0000,366651.0000,206293.0000,366651.0000,0.0000,,2195000.0000,2195000.0000,189084.0000,94800.0000,2214300.0000,"N",2025216.0000,"N","N",9356802.0000,9198734.0000,9.8310662125798964e-01,9488282.0000,9272729.0000,9.7728218870391925e-01,4.1020000000000000e+03,"A3",2.8949999999999999e+01,634977946.0535,1.1000000000000000e+01,3.3538936006168078e-02,3.3399999999999999e+01,8.1909000000000003e+02,"Southeastern CT COG",279603823.0000
"SALISBURY","VR",2.0070000000000000e+03,1.2300000000000000e+02,1.2200000000000000e+02,"L",8423432.0000,4394336.0000,14733664.0000,611649.0000,891190.0000,9982929.0000,11980001.0000,7295626.0000,351963.0000,11296703.0000,0.0000,0.0000,641783.0000,641783.0000,41515.0000,634272.0000,41515.0000,0.0000,1203530.3600,1085000.0000,2288530.3600,204846.0000,427492.0000,1992502.0000,"Y",1787656.0000,"N","N",9976846.0000,9880539.0000,9.9034694932647049e-01,10277218.0000,10060085.0000,9.7887239523380742e-01,3.9870000000000000e+03,"A1",5.7320000000000000e+01,1635933814.2857,4.0000000000000000e+00,3.4658511722731905e-02,8.6999999999999993e+00,4.3696000000000004e+02,"Northwestern CT COG",1144013140.0000
"SCOTLAND","KE",2.0070000000000000e+03,1.2400000000000000e+02,1.2300000000000000e+02,"W",4702685.0000,1558152.0000,6324795.0000,656838.0000,1852761.0000,3227392.0000,5282516.0000,4178934.0000,1278728.0000,5253196.0000,1416.0000,1416.0000,29000.0000,29000.0000,1736.0000,89344.0000,1736.0000,0.0000,0.0000,6805000.0000,6805000.0000,166500.0000,0.0000,899537.0000,"N",733037.0000,"N","N",3163445.0000,3049067.0000,9.6384384745111740e-01,3448532.0000,3151173.0000,9.1377229499392787e-01,1.7250000000000000e+03,"A3",1.8609999999999999e+01,183424133.8705,2.0000000000000000e+00,2.7860696517412936e-02,3.3049999999999997e+01,2.7799000000000001e+02,"Windham Region COG",94855619.0000
"SEYMOUR","VR",2.0070000000000000e+03,1.2500000000000000e+02,1.2400000000000000e+02,"NH",32512696.0000,9934351.0000,42448047.0000,2986839.0000,14266559.0000,32060086.0000,48469035.0000,29210085.0000,4417589.0000,46666333.0000,0.0000,0.0000,1177867.0000,1177867.0000,624835.0000,776132.0000,624835.0000,0.0000,,38484146.0000,38484146.0000,387126.0000,0.0000,4618404.0000,"N",4231278.0000,"N","N",31724332.0000,31091923.0000,9.8006549042545643e-01,32655551.0000,31606988.0000,9.6789020647668755e-01,1.6240000000000000e+04,"A3",1.4570000000000000e+01,1886467487.1429,6.9000000000000000e+01,4.6057598964512995e-02,2.4163000000000000e+01,2.5688200000000002e+03,"Valley COG",1310376022.0000
"SHARON","VR",2.0070000000000000e+03,1.2600000000000000e+02,1.2500000000000000e+02,"L",4449689.0000,3136994.0000,7586683.0000,801371.0000,377628.0000,7994603.0000,8951356.0000,5398079.0000,314892.0000,8169107.0000,9200.0000,15715.0000,302346.0000,302346.0000,489103.0000,-719506.0000,495618.0000,0.0000,921852.8406,1793823.0000,2715675.8406,95499.0000,200000.0000,1726400.0000,"N",1630901.0000,"N","N",7956383.0000,7838252.0000,9.8515267553107988e-01,8214038.0000,7932872.0000,9.6577006339634663e-01,3.0220000000000000e+03,"A1",5.8700000000000003e+01,987294856.0662,2.0000000000000000e+00,2.8920308483290490e-02,1.4900000000000000e+01,3.3340000000000003e+02,"Northwestern CT COG",532251589.0000
"SHELTON","VR",2.0070000000000000e+03,1.2700000000000000e+02,1.2600000000000000e+02,"F",143939885.0000,6941034.0000,150930693.0000,6511832.0000,11460555.0000,83386776.0000,101227508.0000,63138300.0000,7568188.0000,99450347.0000,0.0000,0.0000,0.0000,0.0000,1777161.0000,3388193.0000,1777161.0000,0.0000,,60751758.0000,60751758.0000,1335389.0000,2750000.0000,10452326.0000,"Y",9116937.0000,"N","Y",82901008.0000,82173588.0000,9.9122543841686461e-01,83694961.0000,82492064.0000,9.8562760546599693e-01,4.0011000000000000e+04,"Aa3",3.0570000000000000e+01,8200001471.6270,1.3300000000000000e+02,3.9754686616502111e-02,2.4309999999999999e+01,5.7753299999999999e+03,"Valley COG",3389403980.0000
"SHERMAN","VR",2.0070000000000000e+03,1.2800000000000000e+02,1.2700000000000000e+02,"F",10432950.0000,960112.0000,11393062.0000,175969.0000,1146312.0000,10090927.0000,11960779.0000,8034774.0000,853795.0000,11669525.0000,0.0000,0.0000,131250.0000,131250.0000,160004.0000,-305674.0000,160004.0000,0.0000,,5930000.0000,5930000.0000,0.0000,16734.0000,723170.0000,"N",723170.0000,"N","N",10094608.0000,10013002.0000,9.9191588222147908e-01,10121411.0000,10036822.0000,9.9164256841264520e-01,4.1100000000000000e+03,"A1",2.1800000000000001e+01,1169219958.3258,1.0000000000000000e+00,3.1177291763610983e-02,1.5400000000000000e+01,6.6066999999999996e+02,"Housatonic Council of Elected Ofcls",655154924.0000
"SIMSBURY","KE",2.0070000000000000e+03,1.2900000000000000e+02,1.2800000000000000e+02,"H",58655362.0000,27205737.0000,85861099.0000,6691261.0000,7578276.0000,72405901.0000,83268944.0000,59059976.0000,5379192.0000,81312403.0000,454105.0000,454105.0000,3620532.0000,3620532.0000,-1209886.0000,1180487.0000,-1209886.0000,0.0000,,58575314.0000,58575314.0000,455901.0000,0.0000,8060927.0000,"N",7605026.0000,"N","N",72150521.0000,71632585.0000,9.9282145169817970e-01,72803210.0000,72023805.0000,9.8929435941080068e-01,2.3659000000000000e+04,"Aa1",3.3880000000000003e+01,3991722896.3891,3.4000000000000000e+01,3.1210986267166042e-02,3.5899999999999999e+01,4.9912100000000000e+03,"Capital Region COG",1997656671.0000
"SOMERS","VR",2.0070000000000000e+03,1.3000000000000000e+02,1.2900000000000000e+02,"T",35304308.0000,7664624.0000,43284962.0000,3251097.0000,11112426.0000,15478254.0000,27963882.0000,18362447.0000,2765258.0000,26459338.0000,185307.0000,185307.0000,827492.0000,827492.0000,862359.0000,-104162.0000,862359.0000,0.0000,,20210449.0000,20210449.0000,416886.0000,358844.0000,4428273.0000,"N",4011387.0000,"N","N",15413001.0000,15258285.0000,9.8996198079789910e-01,15725471.0000,15332205.0000,9.7499178244009355e-01,1.0850000000000000e+04,"A1",2.8340000000000000e+01,1218534000.2127,1.9000000000000000e+01,4.5318512184694314e-02,2.1010000000000002e+01,1.7158500000000001e+03,"Capital Region COG",734237910.0000
"SOUTH WINDSOR","KE",2.0070000000000000e+03,1.3100000000000000e+02,1.3200000000000000e+02,"H",107128991.0000,19539732.0000,126876535.0000,-683887.0000,15098435.0000,68655784.0000,86538113.0000,57721839.0000,3803822.0000,82803123.0000,138295.0000,138295.0000,3462014.0000,3462014.0000,411271.0000,687824.0000,411271.0000,0.0000,,27612668.0000,27612668.0000,1338085.0000,1520000.0000,7809975.0000,"N",6471890.0000,"N","Y",67732297.0000,67036593.0000,9.8972862237345949e-01,70742947.0000,68044716.0000,9.6185865708987217e-01,2.5940000000000000e+04,"Aa3",2.7960000000000001e+01,3886167174.3991,3.2000000000000000e+01,3.3374283374283373e-02,3.2539999999999999e+01,5.1879099999999999e+03,"Capital Region COG",2067446761.0000
"SOUTHBURY","VR",2.0070000000000000e+03,1.3200000000000000e+02,1.3000000000000000e+02,"NH",69672171.0000,13575833.0000,83248004.0000,4236799.0000,2557896.0000,51228551.0000,56306739.0000,38623503.0000,1388669.0000,51918258.0000,103240.0000,103240.0000,5850299.0000,5850299.0000,-1358578.0000,849108.0000,-1358578.0000,0.0000,24618231.1698,13361743.0000,37979974.1698,403446.0000,3666019.0000,4760348.0000,"N",4356902.0000,"N","N",51040914.0000,50751632.0000,9.9433235070986381e-01,51424008.0000,50962649.0000,9.9102833446976746e-01,1.9678000000000000e+04,"Aa3",3.9060000000000002e+01,3919921891.7010,2.4000000000000000e+01,3.6776814139861676e-02,2.5100000000000001e+01,3.3020500000000002e+03,"COG of Central Naugatuck Valley",2038901388.0000
"SOUTHINGTON","VR",2.0070000000000000e+03,1.3300000000000000e+02,1.3100000000000000e+02,"H",111260000.0000,-8422000.0000,103818000.0000,4218000.0000,24926000.0000,82036000.0000,111619000.0000,74210000.0000,5605000.0000,109658000.0000,0.0000,0.0000,1947000.0000,1947000.0000,14000.0000,1343000.0000,14000.0000,0.0000,,46490000.0000,46490000.0000,255000.0000,625000.0000,9367000.0000,"N",9112000.0000,"N","N",81627000.0000,80617000.0000,9.8762664314503779e-01,83457000.0000,81570000.0000,9.7738955390200943e-01,4.2142000000000000e+04,"A1",3.5990000000000002e+01,5540318231.4286,1.3800000000000000e+02,4.0006660838433038e-02,2.1399999999999999e+01,6.8700100000000002e+03,"Central CT RPA",3830619780.0000
"SPRAGUE","VR",2.0070000000000000e+03,1.3400000000000000e+02,1.3300000000000000e+02,"NL",7251037.0000,2324511.0000,9576798.0000,791810.0000,3434683.0000,4873241.0000,8754828.0000,6050932.0000,352964.0000,8585562.0000,31749.0000,31749.0000,645906.0000,645906.0000,-444891.0000,-2477147.0000,-444891.0000,0.0000,,2835000.0000,2835000.0000,0.0000,0.0000,1258827.0000,"N",1258827.0000,"N","N",4684931.0000,4570054.0000,9.7547946810742781e-01,4911162.0000,4720476.0000,9.6117293626233469e-01,2.9810000000000000e+03,"A3",1.3210000000000001e+01,347147771.9027,3.2000000000000000e+01,5.1152332771219784e-02,2.4000000000000000e+01,4.6199000000000001e+02,"Southeastern CT COG",194632552.0000
"STAFFORD","VR",2.0070000000000000e+03,1.3500000000000000e+02,1.3400000000000000e+02,"T",57564319.0000,5676418.0000,69301307.0000,15350351.0000,12293570.0000,19170022.0000,32978663.0000,22569847.0000,2791289.0000,32673497.0000,1285.0000,7401285.0000,4387462.0000,7417600.0000,-4081011.0000,18404.0000,288851.0000,0.0000,,23288011.0000,23288011.0000,259931.0000,0.0000,4229776.0000,"Y",3969845.0000,"N","N",19016078.0000,18569098.0000,9.7649462733587866e-01,19865811.0000,18922164.0000,9.5249894404008983e-01,1.1786000000000000e+04,"A3",5.7950000000000003e+01,1126337954.2857,7.6000000000000000e+01,4.5091661738616201e-02,2.4629999999999999e+01,1.9595400000000000e+03,,772196990.0000
"STAMFORD","KE",2.0070000000000000e+03,1.3600000000000000e+02,1.3500000000000000e+02,"F",209551641.0000,52860125.0000,262411766.0000,25303781.0000,35462340.0000,342983578.0000,408263643.0000,216863390.0000,40720490.0000,371990525.0000,3129801.0000,3129801.0000,39665728.0000,39665728.0000,-262809.0000,-2296784.0000,-262809.0000,0.0000,,322245937.0000,322245937.0000,10792469.0000,2804312.0000,18982097.0000,"N",8189628.0000,"Y","N",338789500.0000,333025662.0000,9.8298696388170237e-01,349398731.0000,337405009.0000,9.6567325254538494e-01,1.1847500000000000e+05,"Aaa",3.7710000000000001e+01,35699097438.6560,5.9100000000000000e+02,3.7068978560513215e-02,3.0680000000000000e+01,1.5088430000000000e+04,"South Western RPA",11197766035.0000
"STERLING","VR",2.0070000000000000e+03,1.3700000000000000e+02,1.3600000000000000e+02,"W",16185901.0000,11393315.0000,27583348.0000,14837101.0000,3759447.0000,5716587.0000,10035502.0000,6743121.0000,9243610.0000,8965044.0000,87309.0000,87309.0000,364581.0000,364581.0000,793186.0000,424893.0000,793186.0000,0.0000,,14100000.0000,14100000.0000,176658.0000,0.0000,2183274.0000,"N",2006616.0000,"N","N",5640412.0000,5385230.0000,9.5475826943138198e-01,5938054.0000,5569767.0000,9.3797850272159866e-01,3.7250000000000000e+03,"A3",2.7230000000000000e+01,422045728.8625,2.6000000000000000e+01,4.6444121915820029e-02,3.2250000000000000e+01,6.6015999999999997e+02,"Northeastern CT COG",168755876.0000
"STONINGTON","VR",2.0070000000000000e+03,1.3800000000000000e+02,1.3700000000000000e+02,"NL",76810058.0000,15376694.0000,92384913.0000,5870723.0000,4904887.0000,44099687.0000,53468893.0000,30046705.0000,5186801.0000,50228290.0000,400349.0000,400349.0000,2238489.0000,2238489.0000,1402463.0000,1189942.0000,1402463.0000,0.0000,,45451709.0000,45451709.0000,157017.0000,393000.0000,8655767.0000,"N ",8498750.0000,"N","N",43895316.0000,43527450.0000,9.9161947028698916e-01,44219323.0000,43773309.0000,9.8991359501365506e-01,1.8343000000000000e+04,"Aa3",3.8680000000000000e+01,4556571939.0966,9.9000000000000000e+01,3.2476836374056739e-02,2.0870000000000001e+01,2.6161199999999999e+03,"Southeastern CT COG",2107309078.0000
"STRATFORD","KE",2.0070000000000000e+03,1.3900000000000000e+02,1.3800000000000000e+02,"F",51350697.0000,-42042233.0000,12326596.0000,384706.0000,30242213.0000,131728690.0000,170775083.0000,84310065.0000,21181342.0000,167950297.0000,259300.0000,259300.0000,1487863.0000,1487863.0000,1596223.0000,-762787.0000,1596223.0000,0.0000,,143097083.0000,143097083.0000,1696108.0000,0.0000,9844556.0000,"N",8148448.0000,"N","N",129744920.0000,127684116.0000,9.8411649565932913e-01,134228482.0000,129956974.0000,9.6817733512027648e-01,4.9015000000000000e+04,"A1",1.7579999999999998e+01,8021427678.6965,3.5800000000000000e+02,4.7111871258648838e-02,2.8859999999999999e+01,7.6189800000000005e+03,"Greater Bridgeport RPA",4552340029.0000
